SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,WA,53,,,,,04000US53,Washington,6985464,5434177,253224,93266,535501,44159,264432,360705,34969,325736,5751893,360719,206860,680356,80406,305039,93266,73156,485,341,2208,1098,235,4157,529,254,2709,1175,6746,103,140,441,256,147,129,27,421,51,95,67,2913,1204,200,30,167,100,398,295,12249,69,66,2680,262,128,23,69,7791,185,23,22490,1735,5834,616,1058,1076,2187,369,528,582,9796,2163,535501,79491,538,1148,1719,20669,108503,93143,1815,3304,37321,62568,10165,520,956,2444,83,3738,610,5665,6389,73051,261,3697,17703,44159,6772,13722,1660,480,9528,1948,3786,2772,16,1719,1756,215861,162065,2798,557,11324,2467,614,28325,1035,1420,6770,4859,9542,606,639,1467,742,497,289,87,1574,199,276,373,4969,2582,914,126,303,209,733,723,17963,852,332,6616,737,282,74,242,9827,479,147,37495,4876,13523,1290,2921,1995,5120,1047,1150,909,34488,711442,87483,679,1217,1890,26357,139267,146111,2374,4717,75401,85066,13694,960,1156,2764,307,4311,812,7279,11397,84192,397,13611,84103,22851,20065,2531,1146,15747,2135,4950,3281,16,11381,6985464,6624759,5434177,253224,93266,535501,44159,264432,360705,34969,325736,324990,67199,80379,100351,7839,69222,32758,2957
40,WA,53,,,,,04001US53,Washington -- Urban,5896145,4468670,245589,60458,522695,42452,231033,325248,31964,293284,4753282,346712,155240,657675,75791,268204,60458,44355,392,300,1939,973,71,3403,421,229,1945,936,2311,74,86,349,223,127,112,18,269,42,82,57,2700,949,179,30,167,100,267,234,7430,36,61,2021,257,91,23,69,3347,108,12,11915,1259,4703,515,796,887,1783,278,444,515,7830,1796,522695,78542,538,1148,1698,20358,106475,90365,1635,3255,35497,60641,9951,520,948,2435,83,3738,581,5579,6155,71460,196,3520,17377,42452,6165,13573,1652,480,9058,1906,3605,2552,16,1706,1739,162640,117879,2417,460,9895,2115,442,23377,879,1301,5541,4249,3908,565,530,1204,690,423,259,78,1346,187,259,350,4587,2197,856,103,277,209,549,627,11566,683,223,5520,711,212,74,163,4864,370,136,23477,3977,11243,1141,2336,1729,4126,874,1037,751,28790,687995,86094,679,1217,1869,25969,135845,139505,2189,4569,71240,81937,13301,960,1119,2755,295,4297,781,7056,10987,82167,332,12832,79321,20933,19716,2496,1132,14983,2091,4746,3025,16,10183,5896145,5570897,4468670,245589,60458,522695,42452,231033,325248,31964,293284,292587,62776,64585,93568,7381,64277,30103,2558
40,WA,53,,,,,04043US53,Washington -- Rural,1089319,965507,7635,32808,12806,1707,33399,35457,3005,32452,998611,14007,51620,22681,4615,36835,32808,28801,93,41,269,125,164,754,108,25,764,239,4435,29,54,92,33,20,17,9,152,9,13,10,213,255,21,0,0,0,131,61,4819,33,5,659,5,37,0,0,4444,77,11,10575,476,1131,101,262,189,404,91,84,67,1966,367,12806,949,0,0,21,311,2028,2778,180,49,1824,1927,214,0,8,9,0,0,29,86,234,1591,65,177,326,1707,607,149,8,0,470,42,181,220,0,13,17,53221,44186,381,97,1429,352,172,4948,156,119,1229,610,5634,41,109,263,52,74,30,9,228,12,17,23,382,385,58,23,26,0,184,96,6397,169,109,1096,26,70,0,79,4963,109,11,14018,899,2280,149,585,266,994,173,113,158,5698,23447,1389,0,0,21,388,3422,6606,185,148,4161,3129,393,0,37,9,12,14,31,223,410,2025,65,779,4782,1918,349,35,14,764,44,204,256,0,1198,1089319,1053862,965507,7635,32808,12806,1707,33399,35457,3005,32452,32403,4423,15794,6783,458,4945,2655,399
40,WA,53,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,6832348,5302286,252336,86110,533787,43855,259300,354674,34372,320302,5614438,358854,195964,677304,79663,299208,86110,66861,474,341,2190,1065,235,3961,525,254,2611,1137,2781,100,140,426,254,147,129,27,372,51,95,67,2898,1178,200,30,167,100,398,291,12179,69,66,2572,262,128,23,69,7449,185,23,21192,1640,5700,589,1037,1064,2128,354,528,575,9338,1996,533787,79357,538,1148,1719,20608,108325,92749,1815,3294,37022,62416,10038,520,956,2444,83,3738,610,5637,6343,72862,261,3662,17642,43855,6735,13638,1660,480,9440,1931,3748,2732,16,1719,1756,204584,152519,2772,537,11176,2370,614,27506,1024,1407,6531,4740,4757,592,639,1415,690,497,289,87,1504,199,276,373,4906,2539,914,126,303,209,701,719,17772,808,332,6355,737,282,74,242,9328,479,147,35551,4687,13189,1263,2864,1983,4925,1021,1133,890,33299,708302,87349,679,1217,1890,26241,138817,145364,2374,4698,74862,84842,13507,960,1156,2764,307,4311,810,7242,11336,83855,397,13324,83360,22707,19916,2521,1137,15639,2118,4912,3229,16,11165,6832348,6477674,5302286,252336,86110,533787,43855,259300,354674,34372,320302,319571,66620,77319,99540,7705,68387,32221,2882
40,WA,53,,,,,040C0US53,Washington -- In metropolitan statistical area,6272805,4832585,244741,74635,520462,42793,225044,332545,31668,300877,5124561,347197,173684,658281,76564,261478,74635,57541,368,341,2135,1028,235,3476,450,251,2293,1053,2316,100,126,409,254,147,129,27,361,51,73,47,2544,1052,200,20,167,100,345,287,10873,42,50,2374,255,120,23,69,7315,185,23,15827,1533,4950,477,931,887,1815,325,515,532,8360,1719,520462,78334,538,1148,1690,20121,105140,89113,1808,3158,35610,60774,10026,479,956,2359,83,3707,600,5573,6129,72231,230,3491,17164,42793,6391,13408,1660,480,9210,1838,3666,2696,16,1696,1732,181263,134819,2523,501,10417,2193,606,24776,949,1278,5906,4475,4110,592,586,1308,680,481,289,87,1424,196,250,340,4239,2362,898,95,298,209,641,695,15701,709,282,5929,713,274,74,225,8977,451,51,28029,4145,11657,1049,2636,1706,4362,861,1043,824,29818,688611,86124,679,1217,1861,25596,134949,139216,2362,4501,71872,82459,13465,905,1132,2679,295,4258,800,7101,11005,82915,366,12854,80189,21732,19376,2487,1122,15077,2025,4811,3178,16,10365,6272805,5940260,4832585,244741,74635,520462,42793,225044,332545,31668,300877,299279,63640,68541,95530,7576,63992,30497,2769
40,WA,53,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,2563412,1858867,131736,26713,274193,19239,103395,149269,14182,135087,1988728,182678,68689,335430,33639,119780,26713,18965,117,115,1169,566,23,1406,176,97,848,427,1177,31,59,176,61,89,5,18,97,0,25,37,1161,529,47,0,88,100,124,59,2804,17,30,785,197,38,0,25,838,11,11,5382,603,2226,253,319,531,777,131,215,217,4081,621,274193,43083,421,441,689,9370,63250,44171,791,1533,18397,24764,5528,286,513,1443,41,2133,192,3621,2667,39163,149,1977,9570,19239,2900,5854,1031,142,2614,1587,1754,1871,0,580,906,72095,51759,1004,189,5176,1044,336,11075,381,583,2816,2287,2097,248,178,589,416,147,43,44,582,29,100,62,1698,988,124,17,190,168,241,232,4059,358,67,2015,485,79,0,56,1438,59,11,10048,1823,4840,514,867,897,1720,353,489,325,13348,350644,47126,499,460,735,12487,78111,64769,1001,2147,34853,33522,7626,566,594,1572,95,2444,294,4345,4994,44730,218,7456,35699,8956,9133,1635,602,4862,1618,2196,2050,0,4647,2563412,2414143,1858867,131736,26713,274193,19239,103395,149269,14182,135087,134436,31746,26904,43098,4075,28613,13527,1306
40,WA,53,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,3709393,2973718,113005,47922,246269,23554,121649,183276,17486,165790,3135833,164519,104995,322851,42925,141698,47922,38576,251,226,966,462,212,2070,274,154,1445,626,1139,69,67,233,193,58,124,9,264,51,48,10,1383,523,153,20,79,0,221,228,8069,25,20,1589,58,82,23,44,6477,174,12,10445,930,2724,224,612,356,1038,194,300,315,4279,1098,246269,35251,117,707,1001,10751,41890,44942,1017,1625,17213,36010,4498,193,443,916,42,1574,408,1952,3462,33068,81,1514,7594,23554,3491,7554,629,338,6596,251,1912,825,16,1116,826,109168,83060,1519,312,5241,1149,270,13701,568,695,3090,2188,2013,344,408,719,264,334,246,43,842,167,150,278,2541,1374,774,78,108,41,400,463,11642,351,215,3914,228,195,74,169,7539,392,40,17981,2322,6817,535,1769,809,2642,508,554,499,16470,337967,38998,180,757,1126,13109,56838,74447,1361,2354,37019,48937,5839,339,538,1107,200,1814,506,2756,6011,38185,148,5398,44490,12776,10243,852,520,10215,407,2615,1128,16,5718,3709393,3526117,2973718,113005,47922,246269,23554,121649,183276,17486,165790,164843,31894,41637,52432,3501,35379,16970,1463
40,WA,53,,,,,040E0US53,Washington -- In micropolitan statistical area,559543,469701,7595,11475,13325,1062,34256,22129,2704,19425,489877,11657,22280,19023,3099,37730,11475,9320,106,0,55,37,0,485,75,3,318,84,465,0,14,17,0,0,0,0,11,0,22,20,354,126,0,10,0,0,53,4,1306,27,16,198,7,8,0,0,134,0,0,5365,107,750,112,106,177,313,29,13,43,978,277,13325,1023,0,0,29,487,3185,3636,7,136,1412,1642,12,41,0,85,0,31,10,64,214,631,31,171,478,1062,344,230,0,0,230,93,82,36,0,23,24,23321,17700,249,36,759,177,8,2730,75,129,625,265,647,0,53,107,10,16,0,0,80,3,26,33,667,177,16,31,5,0,60,24,2071,99,50,426,24,8,0,17,351,28,96,7522,542,1532,214,228,277,563,160,90,66,3481,19691,1225,0,0,29,645,3868,6148,12,197,2990,2383,42,55,24,85,12,53,10,141,331,940,31,470,3171,975,540,34,15,562,93,101,51,0,800,559543,537414,469701,7595,11475,13325,1062,34256,22129,2704,19425,20292,2980,8778,4010,129,4395,1724,113
40,WA,53,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,163795,131369,3599,2097,8103,540,9616,8471,1271,7200,139001,5315,5025,11080,1380,11481,2097,1675,53,0,38,3,0,186,16,0,60,4,36,0,0,0,0,0,0,0,0,0,0,20,109,0,0,10,0,0,0,0,221,0,0,65,4,0,0,0,28,0,0,822,15,169,87,40,20,22,0,0,0,189,49,8103,882,0,0,0,222,2250,2182,5,120,800,782,4,41,0,85,0,31,10,22,102,307,31,46,181,540,53,171,0,0,117,43,73,36,0,23,24,5171,3445,130,0,270,13,0,627,16,0,171,19,59,0,29,13,0,0,0,0,33,0,0,20,192,2,0,10,0,0,0,20,372,20,0,116,13,0,0,0,28,0,9,1263,182,314,87,51,20,93,25,38,0,1230,11400,927,0,0,0,288,2686,3326,5,174,1633,1086,4,55,14,85,0,31,10,87,130,535,31,293,1419,318,354,34,15,282,43,85,51,0,237,163795,155324,131369,3599,2097,8103,540,9616,8471,1271,7200,7468,1184,1976,2189,35,2084,991,12
40,WA,53,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,395748,338332,3996,9378,5222,522,24640,13658,1433,12225,350876,6342,17255,7943,1719,26249,9378,7645,53,0,17,34,0,299,59,3,258,80,429,0,14,17,0,0,0,0,11,0,22,0,245,126,0,0,0,0,53,4,1085,27,16,133,3,8,0,0,106,0,0,4543,92,581,25,66,157,291,29,13,43,789,228,5222,141,0,0,29,265,935,1454,2,16,612,860,8,0,0,0,0,0,0,42,112,324,0,125,297,522,291,59,0,0,113,50,9,0,0,0,0,18150,14255,119,36,489,164,8,2103,59,129,454,246,588,0,24,94,10,16,0,0,47,3,26,13,475,175,16,21,5,0,60,4,1699,79,50,310,11,8,0,17,323,28,87,6259,360,1218,127,177,257,470,135,52,66,2251,8291,298,0,0,29,357,1182,2822,7,23,1357,1297,38,0,10,0,12,22,0,54,201,405,0,177,1752,657,186,0,0,280,50,16,0,0,563,395748,382090,338332,3996,9378,5222,522,24640,13658,1433,12225,12824,1796,6802,1821,94,2311,733,101
40,WA,53,,,,,040G0US53,Washington -- Not in metropolitan or micropolitan statistical area,153116,131891,888,7156,1714,304,5132,6031,597,5434,137455,1865,10896,3052,743,5831,7156,6295,11,0,18,33,0,196,4,0,98,38,3965,3,0,15,2,0,0,0,49,0,0,0,15,26,0,0,0,0,0,4,70,0,0,108,0,0,0,0,342,0,0,1298,95,134,27,21,12,59,15,0,7,458,167,1714,134,0,0,0,61,178,394,0,10,299,152,127,0,0,0,0,0,0,28,46,189,0,35,61,304,37,84,0,0,88,17,38,40,0,0,0,11277,9546,26,20,148,97,0,819,11,13,239,119,4785,14,0,52,52,0,0,0,70,0,0,0,63,43,0,0,0,0,32,4,191,44,0,261,0,0,0,0,499,0,0,1944,189,334,27,57,12,195,26,17,19,1189,3140,134,0,0,0,116,450,747,0,19,539,224,187,0,0,0,0,0,2,37,61,337,0,287,743,144,149,10,9,108,17,38,52,0,216,153116,147085,131891,888,7156,1714,304,5132,6031,597,5434,5419,579,3060,811,134,835,537,75
40,WA,53,,,,,040H0US53,Washington -- Not in metropolitan statistical area,712659,601592,8483,18631,15039,1366,39388,28160,3301,24859,627332,13522,33176,22075,3842,43561,18631,15615,117,0,73,70,0,681,79,3,416,122,4430,3,14,32,2,0,0,0,60,0,22,20,369,152,0,10,0,0,53,8,1376,27,16,306,7,8,0,0,476,0,0,6663,202,884,139,127,189,372,44,13,50,1436,444,15039,1157,0,0,29,548,3363,4030,7,146,1711,1794,139,41,0,85,0,31,10,92,260,820,31,206,539,1366,381,314,0,0,318,110,120,76,0,23,24,34598,27246,275,56,907,274,8,3549,86,142,864,384,5432,14,53,159,62,16,0,0,150,3,26,33,730,220,16,31,5,0,92,28,2262,143,50,687,24,8,0,17,850,28,96,9466,731,1866,241,285,289,758,186,107,85,4670,22831,1359,0,0,29,761,4318,6895,12,216,3529,2607,229,55,24,85,12,53,12,178,392,1277,31,757,3914,1119,689,44,24,670,110,139,103,0,1016,712659,684499,601592,8483,18631,15039,1366,39388,28160,3301,24859,25711,3559,11838,4821,263,5230,2261,188
50,WA,53,001,,,,05000US53001,"Adams County, Washington",19081,12893,39,82,173,24,5369,501,120,381,13377,128,245,305,48,5498,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,9,4,0,0,5,0,0,0,0,0,173,12,0,0,0,0,37,90,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,9,0,24,2,0,0,0,22,0,0,0,0,0,0,254,182,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,9,54,0,34,4,0,0,30,0,0,0,38,315,22,0,0,0,0,37,120,0,41,52,19,5,0,10,0,0,0,0,0,0,0,0,9,48,26,0,0,0,22,0,0,0,0,0,19081,18580,12893,39,82,173,24,5369,501,120,381,482,72,136,122,8,144,19,0
50,WA,53,003,,,,05000US53003,"Asotin County, Washington",22040,20614,98,268,193,61,168,638,97,541,21244,269,543,284,91,265,268,201,0,0,0,0,0,27,0,0,37,0,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,67,0,193,89,0,0,0,0,5,15,0,2,10,20,0,0,0,14,0,0,0,0,0,38,0,0,0,61,59,2,0,0,0,0,0,0,0,0,0,557,399,0,0,0,0,0,185,0,0,45,17,8,0,0,0,10,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,95,14,17,0,0,0,11,0,6,0,127,284,105,0,0,0,0,16,28,0,2,26,55,0,0,0,14,0,0,0,0,0,38,0,0,91,89,2,0,0,0,0,0,0,0,0,22040,21402,20614,98,268,193,61,168,638,97,541,620,155,257,83,0,125,18,0
50,WA,53,005,,,,05000US53005,"Benton County, Washington",184930,148246,2755,1380,4837,203,20196,7313,1942,5371,154769,4182,3385,7118,822,22303,1380,913,13,0,16,25,0,366,13,8,45,76,24,0,0,0,0,0,0,0,35,0,0,0,46,23,0,0,0,0,8,0,8,0,0,48,0,0,0,0,49,0,0,110,18,140,55,0,63,4,0,18,0,294,15,4837,869,46,0,70,13,1132,842,0,0,299,273,63,0,0,0,0,37,28,34,212,746,4,49,120,203,107,45,28,0,19,0,0,0,0,0,4,3456,2511,82,0,108,63,0,629,23,28,83,151,38,18,0,50,230,13,0,0,96,0,0,0,95,54,0,0,0,0,17,0,79,0,0,152,0,0,0,0,181,0,0,321,33,207,55,21,76,7,0,48,0,705,7292,988,46,0,70,52,1594,1475,0,17,623,503,158,0,0,0,0,51,28,34,232,851,28,542,826,321,90,59,4,119,0,0,0,0,233,184930,177617,148246,2755,1380,4837,203,20196,7313,1942,5371,6977,1161,1684,1512,46,2574,336,0
50,WA,53,007,,,,05000US53007,"Chelan County, Washington",74267,66916,340,907,591,77,3839,1597,319,1278,68418,667,1539,1048,223,4158,907,546,0,0,23,193,0,31,0,0,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,26,0,15,0,80,0,0,36,0,0,0,0,2,0,0,61,8,318,14,0,298,6,0,0,0,35,0,591,0,0,0,0,28,223,59,0,1,47,150,0,0,0,16,0,0,0,28,0,39,0,0,0,77,57,0,0,0,20,0,0,0,0,0,0,1539,823,36,0,27,193,0,77,0,0,35,0,71,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,63,0,15,0,117,0,0,36,0,0,0,0,2,0,0,117,27,414,14,0,385,15,0,0,0,275,1117,0,0,0,0,28,279,274,0,1,124,213,0,0,0,16,0,0,0,68,52,57,0,5,235,69,19,0,0,100,0,0,0,0,47,74267,72670,66916,340,907,591,77,3839,1597,319,1278,1455,165,467,357,48,418,95,47
50,WA,53,009,,,,05000US53009,"Clallam County, Washington",72397,63774,664,3418,1072,43,595,2831,149,2682,66404,1042,5175,1766,276,759,3418,3043,32,0,0,12,0,43,0,0,32,9,2,0,9,3,0,0,0,0,9,0,0,0,0,24,0,0,0,0,13,0,48,0,0,11,0,0,0,0,10,0,0,2786,25,108,0,11,21,68,8,0,41,159,42,1072,65,0,0,9,11,232,166,0,21,108,145,0,0,0,0,0,0,0,17,84,126,0,0,88,43,33,6,0,0,0,0,4,0,0,0,0,5243,4453,32,0,56,22,0,276,0,0,151,15,2,0,15,23,10,14,0,0,14,3,0,0,0,31,0,0,5,0,20,0,158,7,0,18,0,0,0,0,38,0,0,3543,90,178,10,17,51,92,8,0,54,468,1854,105,0,0,9,11,386,426,0,21,322,203,0,0,14,0,0,0,0,29,117,211,0,0,276,72,8,0,15,13,0,4,0,0,164,72397,69566,63774,664,3418,1072,43,595,2831,149,2682,2667,280,1589,517,5,276,149,15
50,WA,53,011,,,,05000US53011,"Clark County, Washington",444506,376619,8576,3140,18782,3337,13838,20214,1742,18472,394612,14916,9310,26490,5803,15885,3140,2119,17,4,191,0,9,126,44,12,81,89,72,13,0,0,14,0,13,0,14,3,0,0,133,68,0,6,18,0,12,10,151,4,0,167,56,8,0,0,9,0,0,775,154,277,42,15,44,106,37,33,20,498,72,18782,1942,17,13,22,619,3142,3015,90,58,1769,2101,626,0,0,89,0,33,51,298,221,3602,0,119,955,3337,573,687,145,74,502,12,904,78,0,210,152,9851,6993,216,4,641,31,9,1750,112,76,412,297,87,54,21,6,18,31,26,0,92,3,17,25,244,165,23,6,26,27,24,10,253,30,15,415,80,12,0,77,142,0,0,1516,309,573,77,76,81,186,45,108,38,1938,28075,2505,33,13,22,1003,4985,5622,168,107,3465,3307,908,0,0,89,0,33,70,401,359,4355,0,630,6315,1912,1005,204,74,952,17,1115,174,0,862,444506,424292,376619,8576,3140,18782,3337,13838,20214,1742,18472,18114,4211,4568,5224,204,3907,1920,180
50,WA,53,013,,,,05000US53013,"Columbia County, Washington",3989,3660,14,21,22,37,134,101,0,101,3761,36,100,31,37,134,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,4,22,0,0,0,0,0,5,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,37,0,0,0,0,108,46,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,21,32,2,0,0,2,0,0,0,0,28,31,0,0,0,0,0,5,13,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,37,0,0,0,0,0,0,37,0,0,0,3989,3888,3660,14,21,22,37,134,101,0,101,92,13,70,9,0,0,9,0
50,WA,53,015,,,,05000US53015,"Cowlitz County, Washington",102338,92834,634,1101,1350,181,1534,4704,392,4312,97289,1714,3559,2392,508,1966,1101,842,0,0,14,0,0,81,0,0,30,3,0,0,0,5,119,0,0,0,20,0,18,12,3,37,0,0,7,0,0,0,78,0,3,112,0,0,0,0,9,0,0,291,12,4,0,0,0,4,0,0,22,195,26,1350,31,0,0,0,226,214,290,0,14,132,86,0,0,0,15,0,9,0,0,54,204,0,0,75,181,19,29,0,18,0,109,0,0,0,0,6,3851,3034,90,0,169,108,0,633,30,0,151,176,0,0,0,35,119,40,0,0,32,0,18,12,51,101,43,0,7,0,0,0,124,30,23,213,0,0,0,0,9,32,0,788,78,36,0,0,0,28,8,0,22,681,2622,107,0,0,0,344,396,527,0,32,368,360,0,0,0,15,0,9,0,0,188,237,0,39,544,280,50,15,39,51,109,0,0,0,0,102338,97634,92834,634,1101,1350,181,1534,4704,392,4312,4349,763,2054,763,45,724,324,31
50,WA,53,017,,,,05000US53017,"Douglas County, Washington",39599,29041,135,441,294,18,8378,1292,292,1000,30318,418,828,619,90,8690,441,426,0,0,9,0,0,48,9,0,106,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34,0,0,0,0,0,0,0,44,0,0,64,1,0,0,0,0,0,0,0,0,14,0,294,73,0,0,0,0,17,37,0,41,96,20,6,0,0,0,0,0,0,0,4,0,0,0,0,18,9,0,0,0,9,0,0,0,0,0,0,828,691,15,0,9,0,0,148,9,29,111,17,94,0,0,0,0,0,0,0,10,0,0,0,4,0,10,0,0,0,0,18,84,0,0,0,0,0,0,0,44,0,0,89,1,0,0,0,0,0,0,0,19,117,619,73,0,0,0,0,45,111,0,79,236,20,11,0,0,0,0,0,0,0,10,24,0,10,102,43,0,0,0,30,0,0,0,0,29,39599,38307,29041,135,441,294,18,8378,1292,292,1000,1221,237,353,295,0,336,70,1
50,WA,53,019,,,,05000US53019,"Ferry County, Washington",7652,5820,20,1205,10,49,82,466,50,416,6252,140,1564,30,62,135,1205,1111,10,0,5,2,0,24,2,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,74,43,3,3,0,0,0,0,0,0,27,21,10,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,8,0,0,4,17,19,0,0,0,0,1593,1421,18,20,52,2,0,63,2,0,5,2,1062,3,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,57,0,0,0,0,9,0,0,106,43,3,3,0,0,0,0,0,0,126,30,6,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,8,10,0,4,17,19,0,0,0,7652,7186,5820,20,1205,10,49,82,466,50,416,401,55,276,7,0,63,65,0
50,WA,53,021,,,,05000US53021,"Franklin County, Washington",86443,60363,1779,366,1826,59,19299,2751,981,1770,62791,2504,1145,2371,204,20307,366,217,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,161,41,24,0,15,0,0,0,9,0,14,70,1826,184,13,0,0,51,66,142,0,0,204,39,416,0,77,0,0,0,0,0,23,516,0,32,63,59,23,21,0,0,15,0,0,0,0,0,0,1264,1036,35,7,120,0,7,253,0,0,13,5,61,7,0,7,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,23,0,0,27,111,0,0,0,29,6,0,272,46,32,0,15,8,0,0,9,0,150,2475,210,13,0,25,53,135,387,0,0,370,98,458,0,77,0,0,0,0,0,80,516,0,53,204,44,48,0,0,15,0,0,0,0,97,86443,83692,60363,1779,366,1826,59,19299,2751,981,1770,2644,602,590,288,7,1157,86,21
50,WA,53,023,,,,05000US53023,"Garfield County, Washington",2230,2173,0,3,27,0,0,27,0,27,2200,24,6,38,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,6,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,3,6,0,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2230,2203,2173,0,3,27,0,0,27,0,27,16,13,3,0,0,0,11,0
