SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,CT,09,,,,,04000US09,Connecticut,3593222,2778362,370501,8908,150670,981,181881,101919,24131,77788,2861270,422002,33311,175370,4239,208214,8908,5355,298,0,104,55,357,715,0,9,60,11,33,7,5,63,0,7,0,0,45,0,73,0,413,56,85,0,0,0,26,4,0,30,0,71,1192,119,0,0,0,0,0,1517,354,83,12,29,23,19,0,0,5,2958,153,150670,54019,2487,27,746,3142,34948,13425,34,320,3836,10010,3751,88,7,1118,0,6379,765,959,1381,8536,115,1701,2876,981,183,188,0,0,313,0,33,5,0,251,8,34884,22311,502,0,1930,220,499,4928,78,104,439,216,33,15,107,125,15,238,80,0,1072,9,153,150,559,155,90,31,5,0,63,4,0,612,11,527,2292,136,0,0,26,132,8,6747,1585,303,99,112,62,30,0,0,5,10680,179398,58207,2636,27,825,3815,41630,18546,42,519,6664,12698,4311,206,17,1141,14,6963,909,1183,2163,10168,186,6528,4364,711,289,0,9,548,0,130,56,12,2609,3593222,3491303,2778362,370501,8908,150670,981,181881,101919,24131,77788,93348,30542,12308,17599,4533,28366,7978,593
40,CT,09,,,,,04001US09,Connecticut -- Urban,3164929,2375770,365554,8125,142578,964,179696,92242,23378,68864,2449849,413070,29064,164725,3897,205070,8125,4753,298,0,101,51,357,640,0,9,60,6,33,7,5,63,0,7,0,0,45,0,23,0,403,56,85,0,0,0,26,4,0,30,0,71,1156,119,0,0,0,0,0,1098,291,83,12,29,23,19,0,0,5,2840,153,142578,51618,2480,27,746,3019,32815,12382,0,305,3597,8987,3649,64,7,1118,0,6100,647,914,1314,8340,115,1589,2745,964,178,188,0,0,307,0,33,5,0,245,8,30524,19045,440,0,1835,177,483,4328,43,28,364,184,33,15,107,101,6,183,80,0,890,9,90,150,549,126,90,31,5,0,47,4,0,486,11,503,2230,136,0,0,26,53,8,5194,1252,289,99,112,52,26,0,0,5,9933,168592,55472,2629,27,825,3666,38996,16812,0,501,6061,11361,4184,111,17,1141,14,6684,791,1118,2069,9714,186,6213,3994,663,275,0,9,518,0,108,21,12,2388,3164929,3072687,2375770,365554,8125,142578,964,179696,92242,23378,68864,84334,27670,9684,15483,4295,27202,7413,495
40,CT,09,,,,,04043US09,Connecticut -- Rural,428293,402592,4947,783,8092,17,2185,9677,753,8924,411421,8932,4247,10645,342,3144,783,602,0,0,3,4,0,75,0,0,0,5,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,419,63,0,0,0,0,0,0,0,0,118,0,8092,2401,7,0,0,123,2133,1043,34,15,239,1023,102,24,0,0,0,279,118,45,67,196,0,112,131,17,5,0,0,0,6,0,0,0,0,6,0,4360,3266,62,0,95,43,16,600,35,76,75,32,0,0,0,24,9,55,0,0,182,0,63,0,10,29,0,0,0,0,16,0,0,126,0,24,62,0,0,0,0,79,0,1553,333,14,0,0,10,4,0,0,0,747,10806,2735,7,0,0,149,2634,1734,42,18,603,1337,127,95,0,0,0,279,118,65,94,454,0,315,370,48,14,0,0,30,0,22,35,0,221,428293,418616,402592,4947,783,8092,17,2185,9677,753,8924,9014,2872,2624,2116,238,1164,565,98
40,CT,09,,,,,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,3593222,2778362,370501,8908,150670,981,181881,101919,24131,77788,2861270,422002,33311,175370,4239,208214,8908,5355,298,0,104,55,357,715,0,9,60,11,33,7,5,63,0,7,0,0,45,0,73,0,413,56,85,0,0,0,26,4,0,30,0,71,1192,119,0,0,0,0,0,1517,354,83,12,29,23,19,0,0,5,2958,153,150670,54019,2487,27,746,3142,34948,13425,34,320,3836,10010,3751,88,7,1118,0,6379,765,959,1381,8536,115,1701,2876,981,183,188,0,0,313,0,33,5,0,251,8,34884,22311,502,0,1930,220,499,4928,78,104,439,216,33,15,107,125,15,238,80,0,1072,9,153,150,559,155,90,31,5,0,63,4,0,612,11,527,2292,136,0,0,26,132,8,6747,1585,303,99,112,62,30,0,0,5,10680,179398,58207,2636,27,825,3815,41630,18546,42,519,6664,12698,4311,206,17,1141,14,6963,909,1183,2163,10168,186,6528,4364,711,289,0,9,548,0,130,56,12,2609,3593222,3491303,2778362,370501,8908,150670,981,181881,101919,24131,77788,93348,30542,12308,17599,4533,28366,7978,593
40,CT,09,,,,,040C0US09,Connecticut -- In metropolitan statistical area,3406918,2604142,367674,8567,147300,975,179493,98767,23555,75212,2684068,418077,32061,171306,4107,205166,8567,5163,298,0,104,55,357,682,0,9,60,11,33,7,5,63,0,7,0,0,45,0,73,0,374,56,85,0,0,0,26,4,0,0,0,71,1175,119,0,0,0,0,0,1444,297,76,12,22,23,19,0,0,5,2873,153,147300,53501,2383,27,746,3082,34263,12955,34,320,3736,9679,3666,88,7,1118,0,6126,765,929,1368,8041,115,1534,2817,975,183,188,0,0,307,0,33,5,0,251,8,33613,21738,502,0,1930,220,499,4796,43,104,432,216,33,15,107,125,15,238,80,0,1051,9,153,150,520,155,90,31,5,0,63,4,0,582,11,527,2270,125,0,0,26,132,8,6471,1510,296,99,105,62,30,0,0,5,10064,175244,57605,2504,27,821,3755,40734,17866,42,516,6465,12284,4208,206,17,1141,14,6710,909,1153,2147,9632,186,6302,4145,604,289,0,9,542,0,130,56,12,2503,3406918,3308151,2604142,367674,8567,147300,975,179493,98767,23555,75212,90359,29603,11516,17038,4484,27718,7817,591
40,CT,09,,,,,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,1033795,598783,225822,3968,52535,515,113813,38359,11894,26465,626428,248746,12617,59905,1995,126509,3968,2142,292,0,85,41,276,113,0,9,45,0,0,0,5,0,0,0,0,0,0,0,0,0,250,25,0,0,0,0,26,4,0,0,0,38,584,91,0,0,0,0,0,258,178,42,0,0,23,19,0,0,0,1569,37,52535,20078,886,2,549,1661,11874,3422,0,161,1110,2326,1341,24,7,769,0,2258,214,247,410,3563,10,611,1012,515,117,106,0,0,185,0,33,0,0,66,8,13265,7526,315,0,719,76,324,1696,6,9,88,100,0,0,64,0,0,0,0,0,188,0,10,29,285,54,5,0,0,0,26,4,0,360,11,166,1122,91,0,0,26,14,0,1738,664,212,87,51,48,26,0,0,0,4863,61303,21573,992,2,558,1989,14152,4739,0,267,1748,2710,1554,53,17,769,14,2439,268,310,624,4317,14,2194,2005,321,106,0,0,185,0,72,0,12,1309,1033795,995436,598783,225822,3968,52535,515,113813,38359,11894,26465,34707,11156,2354,4517,2623,14057,3351,301
40,CT,09,,,,,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,2373123,2005359,141852,4599,94765,460,65680,60408,11661,48747,2057640,169331,19444,111401,2112,78657,4599,3021,6,0,19,14,81,569,0,0,15,11,33,7,0,63,0,7,0,0,45,0,73,0,124,31,85,0,0,0,0,0,0,0,0,33,591,28,0,0,0,0,0,1186,119,34,12,22,0,0,0,0,5,1304,116,94765,33423,1497,25,197,1421,22389,9533,34,159,2626,7353,2325,64,0,349,0,3868,551,682,958,4478,105,923,1805,460,66,82,0,0,122,0,0,5,0,185,0,20348,14212,187,0,1211,144,175,3100,37,95,344,116,33,15,43,125,15,238,80,0,863,9,143,121,235,101,85,31,5,0,37,0,0,222,0,361,1148,34,0,0,0,118,8,4733,846,84,12,54,14,4,0,0,5,5201,113941,36032,1512,25,263,1766,26582,13127,42,249,4717,9574,2654,153,0,372,0,4271,641,843,1523,5315,172,4108,2140,283,183,0,9,357,0,58,56,0,1194,2373123,2312715,2005359,141852,4599,94765,460,65680,60408,11661,48747,55652,18447,9162,12521,1861,13661,4466,290
40,CT,09,,,,,040E0US09,Connecticut -- In micropolitan statistical area,186304,174220,2827,341,3370,6,2388,3152,576,2576,177202,3925,1250,4064,132,3048,341,192,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,0,73,57,7,0,7,0,0,0,0,0,85,0,3370,518,104,0,0,60,685,470,0,0,100,331,85,0,0,0,0,253,0,30,13,495,0,167,59,6,0,0,0,0,6,0,0,0,0,0,0,1271,573,0,0,0,0,0,132,35,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,22,11,0,0,0,0,0,276,75,7,0,7,0,0,0,0,0,616,4154,602,132,0,4,60,896,680,0,3,199,414,103,0,0,0,0,253,0,30,16,536,0,226,219,107,0,0,0,6,0,0,0,0,106,186304,183152,174220,2827,341,3370,6,2388,3152,576,2576,2989,939,792,561,49,648,161,2
40,CT,09,,,,,040E1US09,Connecticut -- In micropolitan statistical area -- in principal city,35493,31935,873,21,1102,0,619,943,109,834,32812,1291,271,1301,33,728,21,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,1102,50,49,0,0,26,85,26,0,0,15,60,62,0,0,0,0,71,0,0,8,471,0,161,18,0,0,0,0,0,0,0,0,0,0,0,0,271,52,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,19,11,7,0,7,0,0,0,0,0,201,1339,69,49,0,0,26,141,53,0,0,76,93,80,0,0,0,0,71,0,0,8,471,0,202,33,20,0,0,0,0,0,0,0,0,13,35493,34550,31935,873,21,1102,0,619,943,109,834,943,382,226,169,24,142,0,0
40,CT,09,,,,,040E2US09,Connecticut -- In micropolitan statistical area -- not in principal city,150811,142285,1954,320,2268,6,1769,2209,467,1742,144390,2634,979,2763,99,2320,320,178,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,0,73,57,0,0,0,0,0,0,0,0,85,0,2268,468,55,0,0,34,600,444,0,0,85,271,23,0,0,0,0,182,0,30,5,24,0,6,41,6,0,0,0,0,6,0,0,0,0,0,0,1000,521,0,0,0,0,0,110,35,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,22,0,0,0,0,0,0,257,64,0,0,0,0,0,0,0,0,415,2815,533,83,0,4,34,755,627,0,3,123,321,23,0,0,0,0,182,0,30,8,65,0,24,186,87,0,0,0,6,0,0,0,0,93,150811,148602,142285,1954,320,2268,6,1769,2209,467,1742,2046,557,566,392,25,506,161,2
40,CT,09,,,,,040H0US09,Connecticut -- Not in metropolitan statistical area,186304,174220,2827,341,3370,6,2388,3152,576,2576,177202,3925,1250,4064,132,3048,341,192,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,0,73,57,7,0,7,0,0,0,0,0,85,0,3370,518,104,0,0,60,685,470,0,0,100,331,85,0,0,0,0,253,0,30,13,495,0,167,59,6,0,0,0,0,6,0,0,0,0,0,0,1271,573,0,0,0,0,0,132,35,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,22,11,0,0,0,0,0,276,75,7,0,7,0,0,0,0,0,616,4154,602,132,0,4,60,896,680,0,3,199,414,103,0,0,0,0,253,0,30,16,536,0,226,219,107,0,0,0,6,0,0,0,0,106,186304,183152,174220,2827,341,3370,6,2388,3152,576,2576,2989,939,792,561,49,648,161,2
50,CT,09,001,,,,05000US09001,"Fairfield County, Connecticut",939983,694797,105683,2234,47398,322,65297,24252,7262,16990,713615,116828,6206,55297,1279,73053,2234,1380,292,0,65,31,139,71,0,0,10,0,0,7,5,0,0,7,0,0,16,0,0,0,150,4,0,0,0,0,26,0,0,0,0,11,286,0,0,0,0,0,0,260,68,42,0,0,23,19,0,0,0,691,53,47398,17240,633,0,7,1633,11349,4283,0,48,1985,3050,774,20,0,246,0,1703,112,131,355,2163,0,693,973,322,115,35,0,0,92,0,28,0,0,44,8,6523,4327,346,0,217,42,192,917,6,0,126,42,0,7,29,0,0,121,0,0,227,0,0,0,186,23,0,0,0,0,26,0,0,94,0,96,733,0,0,0,0,0,8,889,201,144,51,51,23,19,0,0,0,1851,56661,18583,708,0,42,2011,13626,5635,0,126,2794,3891,878,20,0,246,0,1889,112,237,592,2723,48,2500,1317,271,49,0,0,154,0,28,35,8,772,939983,915731,694797,105683,2234,47398,322,65297,24252,7262,16990,22275,5579,1424,5512,821,8939,1922,55
50,CT,09,003,,,,05000US09003,"Hartford County, Connecticut",896943,651466,120172,2284,42973,375,51145,28528,7867,20661,673921,136545,7794,48556,1195,59730,2284,1095,0,0,10,10,132,332,0,0,9,0,0,0,0,0,0,0,0,0,13,0,10,0,61,31,0,0,0,0,0,4,0,0,0,14,277,79,0,0,0,0,0,113,93,12,12,0,0,0,0,0,0,1025,59,42973,19516,880,25,563,692,6513,2817,9,135,666,2259,1579,0,0,539,0,1665,54,212,247,3286,0,396,920,375,25,38,0,0,119,0,5,0,0,188,0,8031,4614,81,0,413,39,148,1252,0,5,100,16,0,0,16,22,6,51,0,0,278,0,10,0,89,37,0,0,5,0,0,4,0,106,0,140,620,79,0,0,26,0,0,1071,380,37,12,25,0,0,0,0,0,3000,49735,20613,886,25,576,866,8389,3570,17,158,1144,2835,1803,18,0,539,0,1844,84,291,422,3944,19,1692,1195,145,108,0,9,128,0,18,0,0,787,896943,868415,651466,120172,2284,42973,375,51145,28528,7867,20661,26416,10157,2443,3849,1146,8821,1954,158
50,CT,09,005,,,,05000US09005,"Litchfield County, Connecticut",186304,174220,2827,341,3370,6,2388,3152,576,2576,177202,3925,1250,4064,132,3048,341,192,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,17,0,0,0,0,0,0,73,57,7,0,7,0,0,0,0,0,85,0,3370,518,104,0,0,60,685,470,0,0,100,331,85,0,0,0,0,253,0,30,13,495,0,167,59,6,0,0,0,0,6,0,0,0,0,0,0,1271,573,0,0,0,0,0,132,35,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,39,0,0,0,0,0,0,0,0,30,0,0,22,11,0,0,0,0,0,276,75,7,0,7,0,0,0,0,0,616,4154,602,132,0,4,60,896,680,0,3,199,414,103,0,0,0,0,253,0,30,16,536,0,226,219,107,0,0,0,6,0,0,0,0,106,186304,183152,174220,2827,341,3370,6,2388,3152,576,2576,2989,939,792,561,49,648,161,2
50,CT,09,007,,,,05000US09007,"Middlesex County, Connecticut",165165,146977,8383,130,4558,8,1538,3571,424,3147,150167,9967,1085,5660,109,2000,130,117,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,13,0,4558,1383,175,0,26,179,906,646,0,7,104,439,74,6,7,27,0,112,113,25,55,157,0,80,37,8,0,0,0,0,8,0,0,0,0,0,0,1158,767,0,0,16,23,30,177,0,76,51,0,0,0,0,19,0,0,0,0,66,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,229,14,36,36,0,0,0,0,0,0,341,5746,1493,186,0,26,179,1314,782,0,7,246,629,81,6,7,27,0,112,113,29,78,201,0,230,109,16,0,0,0,21,0,0,16,4,52,165165,161594,146977,8383,130,4558,8,1538,3571,424,3147,3323,1068,610,993,154,498,244,4
50,CT,09,009,,,,05000US09009,"New Haven County, Connecticut",862224,646775,110719,1785,33587,143,47893,21322,5863,15459,663729,121210,6568,38399,636,54150,1785,1028,6,0,20,10,86,155,0,9,18,0,0,0,0,0,0,0,0,0,0,0,13,0,51,0,85,0,0,0,0,0,0,0,0,0,212,40,0,0,0,0,0,323,48,0,0,0,0,0,0,0,5,663,41,33587,10339,493,2,69,299,8836,3110,0,119,604,2741,796,14,0,205,0,1861,430,329,429,1891,100,237,683,143,38,100,0,0,0,0,0,5,0,0,0,6725,3959,65,0,419,38,129,1020,37,9,73,38,0,0,26,16,0,0,80,0,117,9,80,0,111,36,85,0,0,0,0,0,0,81,0,56,280,46,0,0,0,14,0,1094,460,36,0,0,29,7,0,0,5,2265,39217,11304,522,2,96,383,10131,4037,0,199,1176,3213,902,43,10,221,14,2017,529,364,525,2043,104,1382,636,91,117,0,0,39,0,0,5,0,384,862224,840902,646775,110719,1785,33587,143,47893,21322,5863,15459,20220,6609,2423,3222,1211,6755,1066,36
50,CT,09,011,,,,05000US09011,"New London County, Connecticut",273185,222560,15345,1614,11358,101,8704,13503,1553,11950,234062,22414,6657,14410,744,10576,1614,1266,0,0,9,4,0,95,0,0,6,6,33,0,0,63,0,0,0,0,16,0,0,0,36,21,0,0,0,0,0,0,0,0,0,39,289,0,0,0,0,0,0,649,88,22,0,22,0,0,0,0,0,238,0,11358,2846,162,0,70,266,4380,1624,6,10,247,459,79,0,0,0,0,533,23,12,106,378,15,68,74,101,0,0,0,0,88,0,0,0,0,13,0,7190,5624,0,0,468,28,0,1063,0,14,69,107,33,8,36,63,0,0,0,0,230,0,0,29,36,50,5,0,0,0,21,0,0,175,11,160,419,0,0,0,0,39,0,2560,225,29,0,29,0,0,0,0,0,1312,14608,3300,162,0,70,303,4574,3014,6,25,725,821,179,0,0,0,0,533,38,12,179,423,15,229,744,57,0,0,0,200,0,84,0,0,403,273185,259682,222560,15345,1614,11358,101,8704,13503,1553,11950,11641,3871,2564,2193,980,2033,1631,231
50,CT,09,013,,,,05000US09013,"Tolland County, Connecticut",151948,135481,4752,70,5981,6,2080,3578,234,3344,138774,6653,1274,6995,63,2395,70,48,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,22,0,5981,2050,21,0,11,5,1819,263,19,1,102,643,62,29,0,101,0,252,30,211,107,124,0,15,116,6,0,0,0,0,0,0,0,0,0,6,0,1305,833,2,0,28,8,0,124,0,0,0,0,0,0,0,0,0,66,0,0,74,0,13,121,0,9,0,31,0,0,16,0,0,0,0,13,24,0,0,0,0,79,0,225,211,0,0,0,0,0,0,0,0,261,7274,2112,21,0,11,5,2176,416,19,1,321,738,63,100,0,108,0,309,30,211,265,222,0,146,63,19,0,0,0,0,0,0,0,0,44,151948,148370,135481,4752,70,5981,6,2080,3578,234,3344,2988,1133,648,813,122,272,552,38
50,CT,09,015,,,,05000US09015,"Windham County, Connecticut",117470,106086,2620,450,1445,20,2836,4013,352,3661,109800,4460,2477,1989,81,3262,450,229,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,7,107,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,221,0,1445,127,19,0,0,8,460,212,0,0,28,88,302,19,0,0,0,0,3,9,69,42,0,45,14,20,5,15,0,0,0,0,0,0,0,0,0,2681,1614,8,0,369,42,0,243,0,0,13,13,0,0,0,5,9,0,0,0,59,0,0,0,98,0,0,0,0,0,0,0,0,126,0,62,164,0,0,0,0,0,0,403,19,14,0,0,10,4,0,0,0,1034,2003,200,19,0,0,8,524,412,0,0,59,157,302,19,0,0,0,6,3,9,86,76,0,123,81,5,15,0,0,0,0,0,0,0,61,117470,113457,106086,2620,450,1445,20,2836,4013,352,3661,3496,1186,1404,456,50,400,448,69
160,CT,09,,01150,,,16000US0901150,"Ansonia city, Connecticut",19035,15093,1861,0,644,0,982,455,314,141,15548,1967,34,645,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,106,0,0,0,47,106,34,0,0,0,48,0,0,0,0,0,38,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,645,106,0,0,0,47,106,34,0,0,1,48,0,0,0,0,0,38,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,19035,18580,15093,1861,0,644,0,982,455,314,141,455,106,34,1,0,314,0,0
160,CT,09,,02550,,,16000US0902550,"Baltic CDP, Connecticut",1026,847,25,20,21,0,0,113,0,113,960,97,61,21,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,913,847,25,20,21,0,0,113,0,113,113,72,41,0,0,0,0,0
160,CT,09,,02690,,,16000US0902690,"Bantam borough, Connecticut",842,793,19,0,11,0,2,17,0,17,810,19,7,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,825,793,19,0,11,0,2,17,0,17,17,0,7,10,0,0,0,0
160,CT,09,,04790,,,16000US0904790,"Bethel CDP, Connecticut",9731,8207,182,0,791,0,366,185,0,185,8392,348,0,869,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,313,0,0,0,0,278,32,0,0,74,46,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,320,0,0,0,48,278,52,0,0,74,46,0,0,0,0,0,0,0,0,48,0,0,51,0,0,0,0,0,0,0,0,0,0,0,9731,9546,8207,182,0,791,0,366,185,0,185,126,107,0,19,0,0,59,0
160,CT,09,,04945,,,16000US0904945,"Bethlehem Village CDP, Connecticut",1850,1814,36,0,0,0,0,0,0,0,1814,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,1850,1814,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,CT,09,,06050,,,16000US0906050,"Blue Hills CDP, Connecticut",2872,219,2585,0,0,0,14,54,6,48,267,2633,13,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2872,2818,219,2585,0,0,0,14,54,6,48,47,35,0,0,6,6,7,0
