SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,HI,15,,,,,04000US15,Hawaii,1406299,357164,28688,3012,530551,138901,14864,333119,10332,322787,604474,48863,32989,788539,363422,34848,3012,2125,114,0,66,0,4,491,0,17,22,69,0,0,0,49,28,0,61,0,45,0,14,16,190,311,60,0,12,0,4,17,21,5,19,78,51,8,17,7,0,22,6,301,37,181,23,30,26,25,0,77,16,520,133,530551,2338,49,0,126,504,56402,202501,70,666,182295,23017,2440,28,138,218,2069,111,158,732,1939,9795,50,411,44494,138901,87000,15791,3304,628,2576,7546,15328,117,35,800,5776,34582,24160,1191,16,1737,178,36,10877,113,271,487,1108,4,86,179,167,65,84,140,0,703,101,49,50,684,831,162,81,68,92,42,156,93,176,228,1313,511,24,56,7,13,75,30,1876,882,676,48,149,139,71,0,269,29,8835,945907,4504,56,0,196,790,196986,352100,70,1415,310595,47394,3426,134,242,264,6821,268,209,919,3675,13373,86,2384,384106,299451,35554,6241,4026,6570,9215,18675,370,61,3943,1406299,1073180,357164,28688,3012,530551,138901,14864,333119,10332,322787,212705,5232,9425,70395,1468,126185,108551,11863
40,HI,15,,,,,04001US15,Hawaii -- Urban,1300638,313802,28002,2648,512607,124280,13452,305847,9618,296229,540321,46700,29519,751783,329100,31872,2648,1858,83,0,66,0,3,414,0,17,16,65,0,0,0,49,28,0,17,0,42,0,14,16,140,301,60,0,0,0,4,17,18,5,19,75,51,8,14,7,0,22,6,281,37,155,23,11,22,22,0,77,16,449,133,512607,2278,48,0,126,323,55547,194139,70,541,175940,22605,2431,28,138,218,1996,107,158,724,1766,9658,50,396,43320,124280,74541,15601,3272,588,2471,7055,14882,117,35,687,5031,31012,21726,1065,16,1590,178,30,9550,76,258,360,1070,0,83,179,160,65,84,96,0,639,101,44,50,521,821,145,81,56,62,42,156,90,170,219,1288,488,24,43,7,13,40,10,1756,820,625,48,130,117,68,0,262,29,7812,900680,4374,55,0,196,609,187478,333111,70,1152,296855,45900,3410,134,242,264,6582,264,209,904,3414,13107,86,2264,348332,268070,34159,5793,3783,6330,8272,18036,249,61,3579,1300638,994791,313802,28002,2648,512607,124280,13452,305847,9618,296229,195240,4579,8116,66616,1396,114533,99755,10852
40,HI,15,,,,,04043US15,Hawaii -- Rural,105661,43362,686,364,17944,14621,1412,27272,714,26558,64153,2163,3470,36756,34322,2976,364,267,31,0,0,0,1,77,0,0,6,4,0,0,0,0,0,0,44,0,3,0,0,0,50,10,0,0,12,0,0,0,3,0,0,3,0,0,3,0,0,0,0,20,0,26,0,19,4,3,0,0,0,71,0,17944,60,1,0,0,181,855,8362,0,125,6355,412,9,0,0,0,73,4,0,8,173,137,0,15,1174,14621,12459,190,32,40,105,491,446,0,0,113,745,3570,2434,126,0,147,0,6,1327,37,13,127,38,4,3,0,7,0,0,44,0,64,0,5,0,163,10,17,0,12,30,0,0,3,6,9,25,23,0,13,0,0,35,20,120,62,51,0,19,22,3,0,7,0,1023,45227,130,1,0,0,181,9508,18989,0,263,13740,1494,16,0,0,0,239,4,0,15,261,266,0,120,35774,31381,1395,448,243,240,943,639,121,0,364,105661,78389,43362,686,364,17944,14621,1412,27272,714,26558,17465,653,1309,3779,72,11652,8796,1011
40,HI,15,,,,,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1406299,357164,28688,3012,530551,138901,14864,333119,10332,322787,604474,48863,32989,788539,363422,34848,3012,2125,114,0,66,0,4,491,0,17,22,69,0,0,0,49,28,0,61,0,45,0,14,16,190,311,60,0,12,0,4,17,21,5,19,78,51,8,17,7,0,22,6,301,37,181,23,30,26,25,0,77,16,520,133,530551,2338,49,0,126,504,56402,202501,70,666,182295,23017,2440,28,138,218,2069,111,158,732,1939,9795,50,411,44494,138901,87000,15791,3304,628,2576,7546,15328,117,35,800,5776,34582,24160,1191,16,1737,178,36,10877,113,271,487,1108,4,86,179,167,65,84,140,0,703,101,49,50,684,831,162,81,68,92,42,156,93,176,228,1313,511,24,56,7,13,75,30,1876,882,676,48,149,139,71,0,269,29,8835,945907,4504,56,0,196,790,196986,352100,70,1415,310595,47394,3426,134,242,264,6821,268,209,919,3675,13373,86,2384,384106,299451,35554,6241,4026,6570,9215,18675,370,61,3943,1406299,1073180,357164,28688,3012,530551,138901,14864,333119,10332,322787,212705,5232,9425,70395,1468,126185,108551,11863
40,HI,15,,,,,040C0US15,Hawaii -- In metropolitan statistical area,1145126,270038,26897,1955,463642,107375,10412,264807,8713,256094,466207,44419,25368,670996,282416,26889,1955,1401,70,0,66,0,3,280,0,17,8,40,0,0,0,34,28,0,6,0,37,0,14,16,66,272,60,0,0,0,4,17,0,5,19,52,51,8,0,0,0,12,6,210,31,69,16,0,22,11,0,20,16,347,91,463642,1929,49,0,122,288,53685,170369,70,434,157929,21447,2418,24,127,218,1893,107,147,731,1670,9448,50,390,40097,107375,61270,15226,3196,598,2270,5439,13610,100,22,565,5079,26619,18372,842,16,1562,145,20,7771,76,246,342,775,4,83,144,139,65,84,85,0,609,101,49,50,359,782,145,81,56,92,42,153,67,157,180,1213,459,24,24,0,13,65,6,1246,727,453,41,65,100,35,0,212,29,7038,801767,3578,56,0,192,574,171356,289446,70,1024,262763,42824,3374,121,231,264,6207,256,198,911,3233,12870,86,2133,300588,226673,32886,5782,3570,5906,6278,16292,285,48,2868,1145126,880319,270038,26897,1955,463642,107375,10412,264807,8713,256094,169121,4397,6913,58580,1209,98022,86286,9400
40,HI,15,,,,,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,404631,73879,7219,464,210774,34728,3282,74285,3061,71224,128607,12589,7453,269033,81742,9157,464,295,21,0,14,0,0,60,0,17,0,0,0,0,0,0,9,0,6,0,0,0,0,16,0,23,0,0,0,0,4,0,0,5,10,0,13,0,0,0,0,5,0,92,0,28,0,0,17,11,0,0,11,103,27,210774,1036,46,0,78,34,35966,61757,17,204,72422,14029,857,15,84,130,603,64,58,378,595,6887,29,157,15328,34728,13275,5571,1011,31,646,3205,9147,25,0,242,1575,7760,4962,232,0,663,24,0,1903,5,22,74,270,0,6,61,13,9,0,15,0,233,9,0,50,150,77,81,0,26,40,35,52,0,53,83,264,66,0,0,0,0,23,0,423,327,61,0,5,27,19,0,10,11,2399,309254,1464,53,0,117,120,71701,93795,17,465,106167,20578,1219,42,133,152,2111,107,58,478,1032,8807,29,609,86313,57629,9743,1899,695,1601,3675,10081,71,13,906,404631,330346,73879,7219,464,210774,34728,3282,74285,3061,71224,47835,1335,1875,16992,388,27245,23601,2849
40,HI,15,,,,,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,740495,196159,19678,1491,252868,72647,7130,190522,5652,184870,337600,31830,17915,401963,200674,17732,1491,1106,49,0,52,0,3,220,0,0,8,40,0,0,0,34,19,0,0,0,37,0,14,0,66,249,60,0,0,0,0,17,0,0,9,52,38,8,0,0,0,7,6,118,31,41,16,0,5,0,0,20,5,244,64,252868,893,3,0,44,254,17719,108612,53,230,85507,7418,1561,9,43,88,1290,43,89,353,1075,2561,21,233,24769,72647,47995,9655,2185,567,1624,2234,4463,75,22,323,3504,18859,13410,610,16,899,121,20,5868,71,224,268,505,4,77,83,126,56,84,70,0,376,92,49,0,209,705,64,81,30,52,7,101,67,104,97,949,393,24,24,0,13,42,6,823,400,392,41,60,73,16,0,202,18,4639,492513,2114,3,0,75,454,99655,195651,53,559,156596,22246,2155,79,98,112,4096,149,140,433,2201,4063,57,1524,214275,169044,23143,3883,2875,4305,2603,6211,214,35,1962,740495,549973,196159,19678,1491,252868,72647,7130,190522,5652,184870,121286,3062,5038,41588,821,70777,62685,6551
40,HI,15,,,,,040E0US15,Hawaii -- In micropolitan statistical area,261173,87126,1791,1057,66909,31526,4452,68312,1619,66693,138267,4444,7621,117543,81006,7959,1057,724,44,0,0,0,1,211,0,0,14,29,0,0,0,15,0,0,55,0,8,0,0,0,124,39,0,0,12,0,0,0,21,0,0,26,0,0,17,7,0,10,0,91,6,112,7,30,4,14,0,57,0,173,42,66909,409,0,0,4,216,2717,32132,0,232,24366,1570,22,4,11,0,176,4,11,1,269,347,0,21,4397,31526,25730,565,108,30,306,2107,1718,17,13,235,697,7963,5788,349,0,175,33,16,3106,37,25,145,333,0,3,35,28,0,0,55,0,94,0,0,0,325,49,17,0,12,0,0,3,26,19,48,100,52,0,32,7,0,10,24,630,155,223,7,84,39,36,0,57,0,1797,144140,926,0,0,4,216,25630,62654,0,391,47832,4570,52,13,11,0,614,12,11,8,442,503,0,251,83518,72778,2668,459,456,664,2937,2383,85,13,1075,261173,192861,87126,1791,1057,66909,31526,4452,68312,1619,66693,43584,835,2512,11815,259,28163,22265,2463
40,HI,15,,,,,040E1US15,Hawaii -- In micropolitan statistical area -- in principal city,56174,12044,572,121,17471,5286,301,20379,339,20040,27262,1298,1624,33041,21117,923,121,94,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,25,0,22,0,19,0,3,0,0,0,3,2,17471,198,0,0,0,0,809,3746,0,37,10505,432,17,0,11,0,109,0,0,0,55,165,0,0,1387,5286,4066,69,51,0,115,183,538,17,0,85,162,1707,1151,107,0,26,0,10,600,0,18,0,97,0,0,35,15,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,10,0,172,22,57,0,19,13,25,0,0,0,477,42349,290,0,0,0,0,8850,11798,0,56,18695,1833,25,0,11,0,392,0,0,0,148,210,0,41,21893,18981,580,165,117,277,234,947,43,0,549,56174,35795,12044,572,121,17471,5286,301,20379,339,20040,12389,88,419,3111,20,8751,7307,683
40,HI,15,,,,,040E2US15,Hawaii -- In micropolitan statistical area -- not in principal city,204999,75082,1219,936,49438,26240,4151,47933,1280,46653,111005,3146,5997,84502,59889,7036,936,630,44,0,0,0,1,211,0,0,14,29,0,0,0,0,0,0,55,0,8,0,0,0,111,10,0,0,12,0,0,0,21,0,0,26,0,0,15,7,0,0,0,66,6,90,7,11,4,11,0,57,0,170,40,49438,211,0,0,4,216,1908,28386,0,195,13861,1138,5,4,0,0,67,4,11,1,214,182,0,21,3010,26240,21664,496,57,30,191,1924,1180,0,13,150,535,6256,4637,242,0,149,33,6,2506,37,7,145,236,0,3,0,13,0,0,55,0,94,0,0,0,312,20,17,0,12,0,0,3,26,19,48,88,52,0,25,7,0,0,24,458,133,166,7,65,26,11,0,57,0,1320,101791,636,0,0,4,216,16780,50856,0,335,29137,2737,27,13,0,0,222,12,11,8,294,293,0,210,61625,53797,2088,294,339,387,2703,1436,42,13,526,204999,157066,75082,1219,936,49438,26240,4151,47933,1280,46653,31195,747,2093,8704,239,19412,14958,1780
40,HI,15,,,,,040H0US15,Hawaii -- Not in metropolitan statistical area,261173,87126,1791,1057,66909,31526,4452,68312,1619,66693,138267,4444,7621,117543,81006,7959,1057,724,44,0,0,0,1,211,0,0,14,29,0,0,0,15,0,0,55,0,8,0,0,0,124,39,0,0,12,0,0,0,21,0,0,26,0,0,17,7,0,10,0,91,6,112,7,30,4,14,0,57,0,173,42,66909,409,0,0,4,216,2717,32132,0,232,24366,1570,22,4,11,0,176,4,11,1,269,347,0,21,4397,31526,25730,565,108,30,306,2107,1718,17,13,235,697,7963,5788,349,0,175,33,16,3106,37,25,145,333,0,3,35,28,0,0,55,0,94,0,0,0,325,49,17,0,12,0,0,3,26,19,48,100,52,0,32,7,0,10,24,630,155,223,7,84,39,36,0,57,0,1797,144140,926,0,0,4,216,25630,62654,0,391,47832,4570,52,13,11,0,614,12,11,8,442,503,0,251,83518,72778,2668,459,456,664,2937,2383,85,13,1075,261173,192861,87126,1791,1057,66909,31526,4452,68312,1619,66693,43584,835,2512,11815,259,28163,22265,2463
50,HI,15,001,,,,05000US15001,"Hawaii County, Hawaii",191482,63927,1324,843,42071,24623,3988,54706,1240,53466,104855,3299,6269,81868,65587,7007,843,528,14,0,0,0,1,149,0,0,14,29,0,0,0,0,0,0,44,0,3,0,0,0,100,32,0,0,12,0,0,0,21,0,0,3,0,0,14,0,0,10,0,82,6,97,7,30,0,3,0,57,0,170,42,42071,232,0,0,0,200,1632,17573,0,104,17623,1180,22,0,11,0,167,4,0,0,181,276,0,6,2860,24623,19527,457,71,30,292,2038,1289,17,8,228,666,6557,4734,196,0,159,33,16,2514,37,25,145,310,0,3,35,13,0,0,44,0,76,0,0,0,294,42,17,0,12,0,0,0,21,11,48,59,23,0,19,0,0,10,24,548,148,137,7,30,18,25,0,57,0,1538,102708,536,0,0,0,200,20501,40667,0,134,35575,3626,52,0,11,0,523,12,0,0,269,395,0,207,67850,58647,2336,406,271,473,2868,1793,85,8,963,191482,136776,63927,1324,843,42071,24623,3988,54706,1240,53466,34283,651,1958,8243,230,23201,18265,2158
50,HI,15,003,,,,05000US15003,"Honolulu County, Hawaii",984178,213878,25901,1685,419451,90740,9009,223514,7808,215706,378113,41436,21022,595049,236488,23873,1685,1210,65,0,64,0,3,240,0,17,8,36,0,0,0,34,19,0,6,0,37,0,5,16,53,272,60,0,0,0,4,16,0,5,0,52,51,8,0,0,0,12,6,121,31,64,11,0,22,11,0,20,11,278,91,419451,1818,49,0,122,288,52460,143567,70,240,146639,20729,2355,24,125,218,1832,107,145,659,1522,9103,50,363,36966,90740,50229,14765,1595,424,2170,3935,12181,94,22,539,4786,22048,14957,579,16,1297,143,20,6585,24,115,271,726,0,20,144,139,56,84,85,0,478,23,18,50,337,719,108,81,56,62,35,131,5,151,110,997,361,24,24,0,0,30,6,847,632,416,36,65,100,27,0,188,24,6019,709347,3167,56,0,192,574,155730,241298,70,564,239186,40455,3277,105,229,264,5792,256,196,839,2920,12180,86,1911,252813,187778,31423,3413,2735,5625,4692,14473,187,48,2439,984178,760664,213878,25901,1685,419451,90740,9009,223514,7808,215706,144274,3768,5302,50859,1071,83274,71278,7962
50,HI,15,005,,,,05000US15005,"Kalawao County, Hawaii",85,32,0,0,20,30,2,1,0,1,32,0,0,21,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,30,22,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,4,0,0,0,10,2,0,0,0,0,0,0,0,0,0,9,0,0,31,23,7,0,0,0,1,0,0,0,0,85,84,32,0,0,20,30,2,1,0,1,1,0,0,0,0,1,0,0
50,HI,15,007,,,,05000US15007,"Kauai County, Hawaii",69691,23199,467,214,24838,6903,464,13606,379,13227,33412,1145,1352,35675,15419,952,214,196,30,0,0,0,0,62,0,0,0,0,0,0,0,15,0,0,11,0,5,0,0,0,24,7,0,0,0,0,0,0,0,0,0,23,0,0,3,7,0,0,0,9,0,15,0,0,4,11,0,0,0,3,0,24838,177,0,0,4,16,1085,14559,0,128,6743,390,0,4,0,0,9,0,11,1,88,71,0,15,1537,6903,6203,108,37,0,14,69,429,0,5,7,31,1406,1054,153,0,16,0,0,592,0,0,0,23,0,0,0,15,0,0,11,0,18,0,0,0,31,7,0,0,0,0,0,3,5,8,0,41,29,0,13,7,0,0,0,82,7,86,0,54,21,11,0,0,0,259,41432,390,0,0,4,16,5129,21987,0,257,12257,944,0,13,0,0,91,0,11,8,173,108,0,44,15668,14131,332,53,185,191,69,590,0,5,112,69691,56085,23199,467,214,24838,6903,464,13606,379,13227,9301,184,554,3572,29,4962,4000,305
50,HI,15,009,,,,05000US15009,"Maui County, Hawaii",160863,56128,996,270,44171,16605,1401,41292,905,40387,88062,2983,4346,75926,45897,3014,270,191,5,0,2,0,0,40,0,0,0,4,0,0,0,0,9,0,0,0,0,0,9,0,13,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,89,0,5,5,0,0,0,0,0,5,69,0,44171,111,0,0,0,0,1224,26802,0,194,11284,718,63,0,2,0,61,0,2,72,148,336,0,27,3127,16605,11019,454,1601,174,100,1503,1429,6,0,26,293,4571,3415,263,0,265,2,0,1186,52,131,71,49,4,63,0,0,9,0,0,0,131,78,31,0,22,63,37,0,0,30,7,22,62,6,70,216,98,0,0,0,13,35,0,399,95,37,5,0,0,8,0,24,5,1019,92395,411,0,0,0,0,15622,48148,0,460,23567,2367,97,16,2,0,415,0,2,72,313,681,0,222,47744,38872,1456,2369,835,281,1585,1819,98,0,429,160863,119571,56128,996,270,44171,16605,1401,41292,905,40387,24846,629,1611,7721,138,14747,15008,1438
160,HI,15,,00400,,,16000US1500400,"Ahuimanu CDP, Hawaii",8354,1749,53,47,2731,339,124,3311,63,3248,4590,195,449,5356,2293,484,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2731,13,0,0,0,0,159,280,0,0,1688,97,0,0,0,0,56,0,0,7,14,0,0,0,417,339,292,46,0,0,0,0,1,0,0,0,0,449,346,0,0,48,114,0,99,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,88,6966,13,0,0,0,0,1768,1524,0,0,3121,407,0,0,0,0,98,0,0,21,14,0,0,0,2337,2184,120,0,0,14,0,19,0,0,0,8354,5043,1749,53,47,2731,339,124,3311,63,3248,1772,0,182,811,18,761,1391,148
160,HI,15,,00550,,,16000US1500550,"Aiea CDP, Hawaii",9262,1777,0,0,4918,574,43,1950,187,1763,3169,28,59,6666,1831,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4918,3,0,0,0,0,400,1157,0,0,2706,152,9,0,0,0,17,0,0,28,0,14,0,0,432,574,243,327,0,0,0,0,4,0,0,0,0,59,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8069,3,0,0,0,0,1480,2013,0,0,3894,531,13,0,0,0,84,0,0,28,0,14,0,9,1878,1475,393,0,6,0,0,4,0,0,0,9262,7312,1777,0,0,4918,574,43,1950,187,1763,1166,20,0,429,0,717,753,31
160,HI,15,,01085,,,16000US1501085,"Ainaloa CDP, Hawaii",3596,1322,12,89,739,564,75,795,40,755,1890,12,183,1215,1230,115,89,48,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,17,739,0,0,0,0,0,22,426,0,0,229,23,0,0,0,0,0,0,0,0,0,0,0,0,39,564,548,0,0,0,0,0,16,0,0,0,0,200,135,17,0,3,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,59,1540,19,0,0,0,0,252,719,0,0,426,115,0,0,0,0,0,0,0,0,0,0,0,9,1249,1205,19,0,0,0,0,25,0,0,0,3596,2801,1322,12,89,739,564,75,795,40,755,557,0,57,45,0,455,222,16
160,HI,15,,02200,,,16000US1502200,"Anahola CDP, Hawaii",1951,320,1,0,113,974,0,543,0,543,677,1,30,505,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,7,59,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,17,974,919,49,2,0,2,0,0,0,0,0,2,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19,623,9,0,0,0,0,181,248,0,0,162,18,0,0,0,0,3,0,0,0,0,2,0,0,1493,1413,70,2,0,4,0,0,0,0,4,1951,1408,320,1,0,113,974,0,543,0,543,351,0,7,20,0,324,192,0
160,HI,15,,03850,,,16000US1503850,"Captain Cook CDP, Hawaii",4594,1413,0,0,905,505,19,1752,26,1726,2527,143,178,2205,1872,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,139,0,0,521,214,0,0,0,0,0,0,0,0,7,0,0,0,24,505,505,0,0,0,0,0,0,0,0,0,0,178,17,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,2804,0,0,0,0,0,891,727,0,0,886,293,0,0,0,0,0,0,0,0,7,0,0,0,1904,1872,32,0,0,0,0,0,0,0,0,4594,2842,1413,0,0,905,505,19,1752,26,1726,1081,0,18,190,0,873,595,76
160,HI,15,,05900,,,16000US1505900,"Discovery Harbour CDP, Hawaii",1107,568,0,0,133,198,0,208,7,201,716,20,61,244,332,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,38,62,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,6,198,198,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,0,9,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,86,170,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,332,332,0,0,0,0,0,0,0,0,0,1107,899,568,0,0,133,198,0,208,7,201,153,20,45,9,0,79,39,16
160,HI,15,,06290,,,16000US1506290,"East Honolulu CDP, Hawaii",48092,12409,297,154,23494,2247,269,9222,144,9078,20397,547,734,31234,6937,612,154,138,0,0,0,0,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,23494,99,0,0,15,15,5120,1459,0,9,12609,1325,7,9,0,0,49,6,13,70,42,187,0,24,2436,2247,1857,95,52,69,41,18,20,9,0,0,86,767,676,64,0,0,0,0,216,0,0,6,91,0,0,0,35,24,0,0,0,56,0,0,0,0,98,0,0,0,0,0,28,0,0,0,25,11,0,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,74,36439,251,0,0,15,15,10632,3502,0,40,18492,2403,53,9,0,0,272,6,24,85,136,371,0,133,7457,6436,398,106,248,173,18,27,18,0,33,48092,38870,12409,297,154,23494,2247,269,9222,144,9078,6282,155,208,3687,0,2232,2733,207
160,HI,15,,06325,,,16000US1506325,"Eden Roc CDP, Hawaii",687,268,17,0,12,171,4,215,0,215,402,17,27,152,358,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,171,137,0,0,0,3,0,31,0,0,0,0,27,27,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,116,96,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3,358,321,0,0,0,6,0,31,0,0,0,687,472,268,17,0,12,171,4,215,0,215,157,0,21,7,0,129,58,0
