SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,OH,39,,,,,04000US39,Ohio,11575977,9538328,1412045,21646,216170,3060,97516,287212,23289,263923,9799302,1585347,96544,269614,10872,123682,21646,13573,309,0,592,115,191,5393,0,86,741,370,0,256,77,178,41,159,25,8,456,0,172,48,507,393,44,21,32,0,41,115,0,58,62,803,1043,113,0,9,0,24,16,1075,812,374,29,18,98,0,18,211,53,5884,950,216170,71128,890,1978,1667,5310,50546,16582,589,1177,10351,16417,3546,469,194,4198,44,4115,1012,2931,2629,14909,72,2043,3373,3060,1133,299,30,30,572,268,269,18,47,349,45,101568,69824,1641,40,7408,221,356,36128,559,393,2056,2028,0,427,351,612,257,561,130,8,2064,103,491,87,1098,1196,101,114,51,17,184,255,35,410,188,3010,1938,171,7,104,0,58,93,4873,3879,741,76,33,244,97,41,250,74,27050,275545,77489,948,2334,1852,6357,57961,30186,694,1593,18684,22845,4885,795,217,4555,127,4770,1231,3420,4738,18058,101,11705,11120,3405,890,72,64,1379,278,342,84,65,4541,11575977,11288765,9538328,1412045,21646,216170,3060,97516,287212,23289,263923,266572,136900,47600,38949,10704,32419,19225,1415
40,OH,39,,,,,04001US39,Ohio -- Urban,9038214,7078843,1389290,18037,206658,2538,88710,254138,20612,233526,7307759,1549150,78506,255215,9600,111968,18037,11005,230,0,463,98,191,4164,0,73,641,296,0,200,77,147,38,131,11,8,386,0,133,48,404,302,38,0,32,0,29,115,0,52,56,554,1035,66,0,9,0,20,7,951,752,373,29,18,98,0,18,210,53,5073,781,206658,68886,875,1978,1571,5074,48805,15148,533,1167,9864,15040,3341,458,194,4173,44,3961,995,2802,2434,14248,72,1736,3259,2538,930,233,5,30,498,266,165,13,47,310,41,82724,56443,1433,8,6545,202,354,28282,542,347,1740,1516,0,354,237,485,143,410,15,8,1688,81,420,69,980,909,94,77,32,17,108,232,25,375,166,2364,1853,75,4,18,0,52,17,4166,2951,666,34,33,228,81,41,249,73,22591,260904,74721,933,2334,1741,6090,55527,27452,631,1567,17267,20748,4567,784,217,4530,127,4534,1186,3247,4357,17284,101,10959,9836,2904,758,22,64,1203,276,227,79,63,4240,9038214,8784076,7078843,1389290,18037,206658,2538,88710,254138,20612,233526,235660,125949,35379,35026,10407,28899,17215,1263
40,OH,39,,,,,04043US39,Ohio -- Rural,2537763,2459485,22755,3609,9512,522,8806,33074,2677,30397,2491543,36197,18038,14399,1272,11714,3609,2568,79,0,129,17,0,1229,0,13,100,74,0,56,0,31,3,28,14,0,70,0,39,0,103,91,6,21,0,0,12,0,0,6,6,249,8,47,0,0,0,4,9,124,60,1,0,0,0,0,0,1,0,811,169,9512,2242,15,0,96,236,1741,1434,56,10,487,1377,205,11,0,25,0,154,17,129,195,661,0,307,114,522,203,66,25,0,74,2,104,5,0,39,4,18844,13381,208,32,863,19,2,7846,17,46,316,512,0,73,114,127,114,151,115,0,376,22,71,18,118,287,7,37,19,0,76,23,10,35,22,646,85,96,3,86,0,6,76,707,928,75,42,0,16,16,0,1,1,4459,14641,2768,15,0,111,267,2434,2734,63,26,1417,2097,318,11,0,25,0,236,45,173,381,774,0,746,1284,501,132,50,0,176,2,115,5,2,301,2537763,2504689,2459485,22755,3609,9512,522,8806,33074,2677,30397,30912,10951,12221,3923,297,3520,2010,152
40,OH,39,,,,,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,11121803,9100501,1407460,20987,214886,2840,94427,280702,22756,257946,9355109,1577365,93204,267954,10576,119925,20987,13104,303,0,565,115,191,5139,0,86,718,341,0,237,77,178,41,137,25,8,454,0,172,43,492,393,44,0,32,0,41,115,0,58,57,786,1036,113,0,9,0,24,16,1058,808,373,29,18,98,0,18,210,53,5768,881,214886,70908,890,1978,1625,5224,50281,16339,589,1177,10257,16302,3493,469,194,4191,44,4115,1012,2916,2617,14805,72,2043,3345,2840,1107,286,5,30,516,260,181,18,47,345,45,98073,67533,1610,40,7303,221,356,34990,545,367,1930,1964,0,405,291,580,243,492,130,8,2041,103,491,71,1053,1176,92,77,51,17,166,255,35,410,167,2859,1921,171,7,104,0,56,26,4709,3680,740,76,33,244,97,41,249,74,26046,273846,77136,948,2334,1810,6271,57664,29800,694,1593,18564,22679,4814,795,217,4548,127,4770,1203,3403,4726,17946,101,11703,10824,3332,877,34,64,1316,270,253,84,65,4529,11121803,10841101,9100501,1407460,20987,214886,2840,94427,280702,22756,257946,260550,134066,45362,38643,10668,31811,18793,1359
40,OH,39,,,,,040C0US39,Ohio -- In metropolitan statistical area,9198923,7288948,1362397,17469,203278,2345,81798,242688,19810,222878,7507683,1511018,77393,251528,9070,103918,17469,10775,234,0,483,115,82,4389,0,38,590,315,0,175,54,144,12,103,25,8,386,0,172,16,429,304,21,0,32,0,31,115,0,44,57,494,938,113,0,9,0,14,16,817,647,315,29,0,58,0,18,210,53,4910,769,203278,68772,868,1978,1584,4954,47151,14878,525,1055,9104,15282,3047,442,194,4021,44,3969,994,2782,2429,14125,64,1816,3200,2345,978,250,5,9,473,56,181,18,47,287,41,81646,56252,1386,40,6200,206,216,28956,508,296,1633,1595,0,327,246,508,196,353,72,8,1803,81,460,37,968,868,69,52,32,17,115,232,19,325,157,2290,1688,163,0,104,0,42,26,3958,2906,585,34,15,186,82,41,227,54,21849,257023,74558,926,2334,1769,5992,54006,26970,623,1437,16476,21047,4224,732,217,4378,127,4559,1185,3259,4412,17054,93,10645,9304,2836,805,22,27,1218,66,243,71,54,3962,9198923,8956235,7288948,1362397,17469,203278,2345,81798,242688,19810,222878,225042,116216,35727,35242,10016,27841,16410,1236
40,OH,39,,,,,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,2598034,1525281,853665,7332,65252,731,42096,103677,9566,94111,1616045,927626,32493,79878,3090,52916,7332,4484,96,0,137,51,37,1909,0,0,184,95,0,65,19,63,0,31,0,8,111,0,46,0,126,27,0,0,0,0,14,19,0,24,55,248,738,43,0,0,0,0,7,331,339,80,22,0,58,0,0,0,2,2100,327,65252,17167,361,1725,1108,2862,16144,4308,360,293,2318,4425,1703,190,53,2517,34,733,473,719,630,4763,40,720,1606,731,360,110,5,9,56,40,0,12,43,61,35,34196,23226,563,8,2731,72,82,12248,330,161,572,568,0,136,61,212,62,154,4,8,437,56,171,21,270,242,10,34,0,17,60,116,19,154,78,828,1155,43,0,0,0,0,7,1536,1135,221,22,15,173,11,0,0,2,9612,82276,18739,409,2036,1187,3512,18367,7725,405,462,4408,5785,2566,237,53,2799,34,831,564,823,1416,5830,50,4038,3225,1228,308,5,27,261,40,0,32,43,1281,2598034,2494357,1525281,853665,7332,65252,731,42096,103677,9566,94111,94070,54901,10722,9337,6311,12799,8915,692
40,OH,39,,,,,040C2US39,Ohio -- In metropolitan statistical area -- not in principal city,6600889,5763667,508732,10137,138026,1614,39702,139011,10244,128767,5891638,583392,44900,171650,5980,51002,10137,6291,138,0,346,64,45,2480,0,38,406,220,0,110,35,81,12,72,25,0,275,0,126,16,303,277,21,0,32,0,17,96,0,20,2,246,200,70,0,9,0,14,9,486,308,235,7,0,0,0,18,210,51,2810,442,138026,51605,507,253,476,2092,31007,10570,165,762,6786,10857,1344,252,141,1504,10,3236,521,2063,1799,9362,24,1096,1594,1614,618,140,0,0,417,16,181,6,4,226,6,47450,33026,823,32,3469,134,134,16708,178,135,1061,1027,0,191,185,296,134,199,68,0,1366,25,289,16,698,626,59,18,32,0,55,116,0,171,79,1462,533,120,0,104,0,42,19,2422,1771,364,12,0,13,71,41,227,52,12237,174747,55819,517,298,582,2480,35639,19245,218,975,12068,15262,1658,495,164,1579,93,3728,621,2436,2996,11224,43,6607,6079,1608,497,17,0,957,26,243,39,11,2681,6600889,6461878,5763667,508732,10137,138026,1614,39702,139011,10244,128767,130972,61315,25005,25905,3705,15042,7495,544
40,OH,39,,,,,040E0US39,Ohio -- In micropolitan statistical area,1922880,1811553,45063,3518,11608,495,12629,38014,2946,35068,1847426,66347,15811,16426,1506,16007,3518,2329,69,0,82,0,109,750,0,48,128,26,0,62,23,34,29,34,0,0,68,0,0,27,63,89,23,0,0,0,10,0,0,14,0,292,98,0,0,0,0,10,0,241,161,58,0,18,40,0,0,0,0,858,112,11608,2136,22,0,41,270,3130,1461,64,122,1153,1020,446,27,0,170,0,146,18,134,188,680,8,227,145,495,129,36,0,21,43,204,0,0,0,58,4,16427,11281,224,0,1103,15,140,6034,37,71,297,369,0,78,45,72,47,139,58,0,238,22,31,34,85,308,23,25,19,0,51,23,16,85,10,569,233,8,7,0,0,14,0,751,774,155,42,18,58,15,0,22,20,4197,16823,2578,22,0,41,279,3658,2830,71,156,2088,1632,590,63,0,170,0,211,18,144,314,892,8,1058,1520,496,72,12,37,98,204,10,13,11,567,1922880,1884866,1811553,45063,3518,11608,495,12629,38014,2946,35068,35508,17850,9635,3401,652,3970,2383,123
40,OH,39,,,,,040E1US39,Ohio -- In micropolitan statistical area -- in principal city,564323,505725,28173,1220,6359,300,6090,16456,1416,15040,521069,39199,5322,8081,685,7802,1220,818,30,0,65,0,109,166,0,21,29,0,0,0,21,0,0,34,0,0,9,0,0,27,26,57,0,0,0,0,10,0,0,9,0,89,10,0,0,0,0,0,0,106,84,40,0,0,40,0,0,0,0,211,67,6359,1286,22,0,18,170,1777,576,29,120,685,443,379,7,0,160,0,19,6,121,96,347,0,6,92,300,92,0,0,21,37,107,0,0,0,43,0,5623,3870,120,0,614,9,140,1773,34,44,29,31,0,13,21,4,15,97,0,0,52,0,0,27,31,151,0,25,0,0,34,0,6,49,0,218,34,0,4,0,0,4,0,291,217,40,0,0,40,0,0,0,20,1476,8283,1460,22,0,18,170,1929,1062,29,138,960,636,410,43,0,160,0,27,6,131,121,527,0,434,687,106,16,0,21,88,107,0,13,9,327,564323,547867,505725,28173,1220,6359,300,6090,16456,1416,15040,15141,9053,2664,1220,402,1802,1251,64
40,OH,39,,,,,040E2US39,Ohio -- In micropolitan statistical area -- not in principal city,1358557,1305828,16890,2298,5249,195,6539,21558,1530,20028,1326357,27148,10489,8345,821,8205,2298,1511,39,0,17,0,0,584,0,27,99,26,0,62,2,34,29,0,0,0,59,0,0,0,37,32,23,0,0,0,0,0,0,5,0,203,88,0,0,0,0,10,0,135,77,18,0,18,0,0,0,0,0,647,45,5249,850,0,0,23,100,1353,885,35,2,468,577,67,20,0,10,0,127,12,13,92,333,8,221,53,195,37,36,0,0,6,97,0,0,0,15,4,10804,7411,104,0,489,6,0,4261,3,27,268,338,0,65,24,68,32,42,58,0,186,22,31,7,54,157,23,0,19,0,17,23,10,36,10,351,199,8,3,0,0,10,0,460,557,115,42,18,18,15,0,22,0,2721,8540,1118,0,0,23,109,1729,1768,42,18,1128,996,180,20,0,10,0,184,12,13,193,365,8,624,833,390,56,12,16,10,97,10,0,2,240,1358557,1336999,1305828,16890,2298,5249,195,6539,21558,1530,20028,20367,8797,6971,2181,250,2168,1132,59
40,OH,39,,,,,040G0US39,Ohio -- Not in metropolitan or micropolitan statistical area,454174,437827,4585,659,1284,220,3089,6510,533,5977,444193,7982,3340,1660,296,3757,659,469,6,0,27,0,0,254,0,0,23,29,0,19,0,0,0,22,0,0,2,0,0,5,15,0,0,21,0,0,0,0,0,0,5,17,7,0,0,0,0,0,0,17,4,1,0,0,0,0,0,1,0,116,69,1284,220,0,0,42,86,265,243,0,0,94,115,53,0,0,7,0,0,0,15,12,104,0,0,28,220,26,13,25,0,56,8,88,0,0,4,0,3495,2291,31,0,105,0,0,1138,14,26,126,64,0,22,60,32,14,69,0,0,23,0,0,16,45,20,9,37,0,0,18,0,0,0,21,151,17,0,0,0,0,2,67,164,199,1,0,0,0,0,0,1,0,1004,1699,353,0,0,42,86,297,386,0,0,120,166,71,0,0,7,0,0,28,17,12,112,0,2,296,73,13,38,0,63,8,89,0,0,12,454174,447664,437827,4585,659,1284,220,3089,6510,533,5977,6022,2834,2238,306,36,608,432,56
40,OH,39,,,,,040H0US39,Ohio -- Not in metropolitan statistical area,2377054,2249380,49648,4177,12892,715,15718,44524,3479,41045,2291619,74329,19151,18086,1802,19764,4177,2798,75,0,109,0,109,1004,0,48,151,55,0,81,23,34,29,56,0,0,70,0,0,32,78,89,23,21,0,0,10,0,0,14,5,309,105,0,0,0,0,10,0,258,165,59,0,18,40,0,0,1,0,974,181,12892,2356,22,0,83,356,3395,1704,64,122,1247,1135,499,27,0,177,0,146,18,149,200,784,8,227,173,715,155,49,25,21,99,212,88,0,0,62,4,19922,13572,255,0,1208,15,140,7172,51,97,423,433,0,100,105,104,61,208,58,0,261,22,31,50,130,328,32,62,19,0,69,23,16,85,31,720,250,8,7,0,0,16,67,915,973,156,42,18,58,15,0,23,20,5201,18522,2931,22,0,83,365,3955,3216,71,156,2208,1798,661,63,0,177,0,211,46,161,326,1004,8,1060,1816,569,85,50,37,161,212,99,13,11,579,2377054,2332530,2249380,49648,4177,12892,715,15718,44524,3479,41045,41530,20684,11873,3707,688,4578,2815,179
50,OH,39,001,,,,05000US39001,"Adams County, Ohio",28229,27503,108,64,31,0,26,497,12,485,28000,281,360,47,0,38,64,53,0,0,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,7,0,31,0,0,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,242,0,0,19,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,92,0,0,0,0,0,0,0,25,46,0,0,0,0,0,0,0,0,76,47,0,0,0,0,0,0,36,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28229,27732,27503,108,64,31,0,26,497,12,485,497,173,296,16,0,12,0,0
50,OH,39,003,,,,05000US39003,"Allen County, Ohio",105196,87886,12685,297,791,0,559,2978,277,2701,90494,14851,1071,1167,0,836,297,258,0,0,7,0,0,160,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,25,6,0,0,0,0,0,0,0,2,23,8,791,306,0,0,0,0,128,105,0,0,11,40,0,0,0,0,0,0,0,0,16,141,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,663,0,0,87,0,0,371,6,0,23,0,0,0,0,16,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,49,12,0,59,0,0,0,0,0,25,13,6,0,6,0,0,0,0,2,438,1169,312,0,0,0,0,146,169,0,0,126,117,0,0,0,0,0,0,0,0,88,143,0,68,0,0,0,0,0,0,0,0,0,0,0,105196,102218,87886,12685,297,791,0,559,2978,277,2701,2743,1573,295,302,278,295,225,10
50,OH,39,005,,,,05000US39005,"Ashland County, Ohio",53189,51560,445,35,286,0,182,681,0,681,52239,768,280,413,24,182,35,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,286,0,6,0,0,0,119,34,0,0,88,30,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,280,215,0,0,8,0,31,143,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,56,419,0,6,0,0,0,135,88,0,0,94,42,0,3,0,0,0,0,0,10,0,0,0,41,26,2,0,0,0,19,0,0,0,0,5,53189,52508,51560,445,35,286,0,182,681,0,681,645,287,221,113,0,24,36,0
50,OH,39,007,,,,05000US39007,"Ashtabula County, Ohio",99777,93048,3399,125,471,23,483,2228,104,2124,95183,4843,737,682,33,591,125,95,0,0,0,0,0,34,0,0,0,0,0,0,21,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,0,0,0,0,0,0,0,11,0,471,174,0,0,0,0,36,161,0,0,33,15,0,0,0,0,0,0,0,0,0,39,0,0,13,23,23,0,0,0,0,0,0,0,0,0,0,739,555,0,0,15,0,0,202,0,0,8,208,0,0,21,0,22,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,59,56,0,0,0,0,0,0,0,0,128,721,174,0,0,0,0,36,248,0,0,181,20,0,0,0,0,0,0,0,0,0,39,0,23,33,23,0,0,0,0,0,10,0,0,0,99777,97549,93048,3399,125,471,23,483,2228,104,2124,2164,1297,553,131,39,144,64,0
50,OH,39,009,,,,05000US39009,"Athens County, Ohio",64974,59154,1513,330,2168,25,217,1567,55,1512,60668,2319,1031,2471,59,316,330,38,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,24,13,18,0,18,0,0,0,0,0,261,0,2168,339,0,0,8,36,1169,156,0,120,135,68,29,7,0,45,0,0,18,0,0,30,0,0,8,25,0,0,0,0,0,0,0,0,0,25,0,1108,467,34,0,27,0,0,191,0,0,0,9,0,0,18,0,0,30,0,0,26,0,0,0,7,0,0,0,0,0,17,0,6,9,0,41,2,0,0,0,0,0,0,50,46,28,0,18,10,0,0,0,20,547,2503,367,0,0,8,44,1169,259,0,138,174,89,29,7,0,45,0,0,18,0,0,73,0,83,59,0,0,0,0,0,0,0,0,0,59,64974,63407,59154,1513,330,2168,25,217,1567,55,1512,1256,511,444,219,16,66,299,12
50,OH,39,011,,,,05000US39011,"Auglaize County, Ohio",45873,44677,207,112,235,19,167,456,24,432,45116,425,230,347,25,191,112,83,0,0,0,0,0,46,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,5,0,235,0,0,0,0,0,75,13,0,0,93,26,28,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,230,114,14,0,0,0,0,52,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,38,0,0,0,0,0,0,0,0,78,358,0,0,0,0,0,89,51,0,0,164,26,28,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,45873,45417,44677,207,112,235,19,167,456,24,432,451,218,99,90,0,44,5,0
50,OH,39,013,,,,05000US39013,"Belmont County, Ohio",69560,65031,2667,153,256,6,282,1165,54,1111,65955,3470,585,388,6,336,153,81,0,0,18,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,256,13,0,0,0,0,133,64,0,0,4,12,6,0,0,0,0,0,0,14,0,10,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,611,447,4,0,60,17,0,335,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,148,388,13,0,0,0,0,133,116,0,0,23,58,6,0,0,0,0,0,0,14,0,10,0,15,6,0,0,0,0,6,0,0,0,0,0,69560,68395,65031,2667,153,256,6,282,1165,54,1111,1150,547,207,126,210,60,15,0
50,OH,39,015,,,,05000US39015,"Brown County, Ohio",44247,43024,436,41,82,3,86,575,26,549,43599,659,320,129,3,112,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,82,40,0,0,0,0,18,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,334,243,14,0,18,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,76,129,40,0,0,0,0,18,49,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,44247,43672,43024,436,41,82,3,86,575,26,549,575,223,279,47,0,26,0,0
50,OH,39,017,,,,05000US39017,"Butler County, Ohio",372538,320503,29004,820,9950,204,3731,8326,409,7917,328107,33794,2764,12001,413,4229,820,173,0,0,9,0,0,70,0,0,36,0,0,23,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,44,554,32,9950,3440,12,39,0,489,2694,566,0,7,204,632,0,8,40,91,0,217,67,26,38,1335,0,30,15,204,24,18,0,0,0,0,129,0,0,33,0,2829,1624,46,0,92,36,0,1057,0,0,64,16,0,37,0,0,0,0,0,0,22,0,0,0,26,0,0,0,0,0,0,0,0,8,0,69,0,0,0,0,0,0,0,151,86,0,0,0,0,0,0,0,44,1075,12129,3799,12,39,0,489,2982,1115,0,7,367,736,0,13,40,91,0,228,130,26,141,1557,0,357,425,130,22,0,0,6,0,129,15,0,123,372538,364212,320503,29004,820,9950,204,3731,8326,409,7917,7882,4006,1405,1495,158,818,444,0
50,OH,39,019,,,,05000US39019,"Carroll County, Ohio",28361,27558,237,28,63,11,103,361,71,290,27848,366,213,110,11,186,28,28,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,25,0,0,0,0,6,23,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,289,267,0,0,90,0,0,73,0,0,0,0,0,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,22,110,25,0,0,0,0,13,26,0,0,15,19,0,0,0,8,0,0,0,0,0,4,0,0,11,0,0,0,0,11,0,0,0,0,0,28361,28000,27558,237,28,63,11,103,361,71,290,349,58,173,47,0,71,12,0
50,OH,39,021,,,,05000US39021,"Champaign County, Ohio",39393,37204,747,59,152,15,154,1062,85,977,38199,1333,442,260,15,243,59,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,152,0,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0,0,0,0,0,44,0,65,0,15,0,0,0,0,0,0,0,0,0,15,0,442,243,13,0,28,0,0,136,0,0,0,0,0,0,0,0,0,9,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,4,0,0,60,0,0,0,0,0,0,0,0,139,290,6,0,0,0,0,53,14,0,0,6,28,0,0,0,0,0,0,0,0,0,50,0,133,15,0,0,0,0,0,0,0,0,0,15,39393,38331,37204,747,59,152,15,154,1062,85,977,1025,525,316,71,28,85,37,0
50,OH,39,023,,,,05000US39023,"Clark County, Ohio",136827,118001,11648,273,991,70,1637,4207,116,4091,122024,14694,1288,1342,169,1768,273,233,0,0,0,0,0,153,0,0,25,8,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,31,9,991,194,0,0,0,2,273,165,0,20,88,69,30,0,0,0,0,48,0,5,12,77,0,8,0,70,11,12,5,0,0,0,16,0,0,26,0,1363,931,8,0,75,0,0,622,48,0,35,8,0,12,0,0,0,0,0,0,7,0,25,0,0,0,0,0,0,0,10,0,0,6,0,39,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,426,1342,214,0,0,0,6,301,279,0,48,122,146,70,0,0,0,0,48,0,5,12,83,0,8,169,16,55,5,0,12,0,16,20,0,45,136827,132620,118001,11648,273,991,70,1637,4207,116,4091,3980,2670,781,274,57,198,215,12
