SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,MS,28,,,,,04000US28,Mississippi,2988081,1768174,1116457,12896,28900,409,25911,35334,3464,31870,1798727,1136159,23962,35682,2014,29701,12896,10719,95,0,103,0,0,766,0,27,48,8529,0,15,0,97,0,0,0,84,0,0,6,0,184,162,8,53,20,0,0,0,10,189,10,22,0,19,0,13,2,22,0,235,461,12,0,0,12,0,0,0,14,1449,241,28900,6077,194,0,14,108,5168,3838,36,115,1207,1997,407,0,0,211,0,401,156,122,508,7753,0,309,279,409,141,48,0,0,90,0,0,3,0,98,29,24982,20085,332,0,414,26,12,5035,7,411,102,11021,0,58,0,356,24,74,0,293,135,0,56,7,231,307,8,90,20,0,4,0,10,224,23,120,57,29,0,13,2,22,0,562,1082,45,0,0,45,0,0,0,14,3756,36247,6921,194,0,14,132,5848,5870,36,348,2448,2902,566,42,5,211,8,401,156,157,622,8112,0,1254,2148,554,145,0,0,352,0,0,14,0,1083,2988081,2952747,1768174,1116457,12896,28900,409,25911,35334,3464,31870,32720,14098,7548,4112,1641,5321,2398,216
40,MS,28,,,,,04001US28,Mississippi -- Urban,1485280,742965,677927,3623,23572,171,16010,21012,2166,18846,760710,690318,9220,27984,1206,18396,3623,2647,87,0,103,0,0,259,0,23,0,1570,0,0,0,17,0,0,0,58,0,0,6,0,158,148,8,0,20,0,0,0,10,20,10,0,0,0,0,0,0,13,0,137,235,12,0,0,12,0,0,0,14,663,52,23572,5068,194,0,14,88,4317,2610,15,83,864,1610,358,0,0,211,0,258,94,114,444,6725,0,246,259,171,53,5,0,0,27,0,0,3,0,83,0,9634,7042,231,0,124,18,0,2180,7,292,42,2619,0,17,0,133,0,74,0,218,77,0,14,7,182,200,8,0,20,0,0,0,10,46,10,44,24,0,0,0,0,13,0,432,470,12,0,0,12,0,0,0,14,2096,28344,5441,194,0,14,91,4906,4073,15,198,1562,2214,494,0,0,211,8,258,94,124,523,6988,0,936,1206,247,61,0,0,84,0,0,3,0,811,1485280,1464268,742965,677927,3623,23572,171,16010,21012,2166,18846,19528,8737,3462,2654,1182,3493,1426,58
40,MS,28,,,,,04043US28,Mississippi -- Rural,1502801,1025209,438530,9273,5328,238,9901,14322,1298,13024,1038017,445841,14742,7698,808,11305,9273,8072,8,0,0,0,0,507,0,4,48,6959,0,15,0,80,0,0,0,26,0,0,0,0,26,14,0,53,0,0,0,0,0,169,0,22,0,19,0,13,2,9,0,98,226,0,0,0,0,0,0,0,0,786,189,5328,1009,0,0,0,20,851,1228,21,32,343,387,49,0,0,0,0,143,62,8,64,1028,0,63,20,238,88,43,0,0,63,0,0,0,0,15,29,15348,13043,101,0,290,8,12,2855,0,119,60,8402,0,41,0,223,24,0,0,75,58,0,42,0,49,107,0,90,0,0,4,0,0,178,13,76,33,29,0,13,2,9,0,130,612,33,0,0,33,0,0,0,0,1660,7903,1480,0,0,0,41,942,1797,21,150,886,688,72,42,5,0,0,143,62,33,99,1124,0,318,942,307,84,0,0,268,0,0,11,0,272,1502801,1488479,1025209,438530,9273,5328,238,9901,14322,1298,13024,13192,5361,4086,1458,459,1828,972,158
40,MS,28,,,,,040A0US28,Mississippi -- In metropolitan or micropolitan statistical area,2318938,1364593,871355,4620,26997,242,21696,29435,3015,26420,1390117,887454,13419,33143,1676,24956,4620,3271,87,0,103,0,0,571,0,18,0,1517,0,0,0,65,0,0,0,84,0,0,6,0,157,156,8,53,20,0,0,0,10,156,10,19,0,19,0,0,2,13,0,197,377,12,0,0,12,0,0,0,14,832,114,26997,5760,194,0,14,91,4622,3534,15,93,1157,1763,376,0,0,211,0,401,156,114,481,7507,0,238,270,242,72,26,0,0,83,0,0,3,0,45,13,14150,10435,284,0,382,18,0,3910,7,387,45,3099,0,17,0,260,24,74,0,293,77,0,56,7,204,274,8,90,20,0,4,0,10,182,10,72,57,29,0,0,2,13,0,520,875,45,0,0,45,0,0,0,14,2781,33683,6497,194,0,14,94,5241,5468,15,326,2242,2662,535,42,5,211,8,401,156,114,579,7855,0,1024,1794,381,98,0,0,335,0,0,3,0,977,2318938,2289503,1364593,871355,4620,26997,242,21696,29435,3015,26420,27228,11500,6014,3836,1282,4596,2022,185
40,MS,28,,,,,040C0US28,Mississippi -- In metropolitan statistical area,1359313,820507,480925,2766,19947,148,14473,20547,2148,18399,838334,492401,8592,24218,1041,16733,2766,2001,37,0,67,0,0,404,0,14,0,888,0,0,0,40,0,0,0,58,0,0,6,0,146,148,0,3,0,0,0,0,10,20,10,0,0,0,0,0,0,13,0,137,234,0,0,0,0,0,0,0,0,459,72,19947,3265,169,0,14,84,3051,3048,15,55,628,961,376,0,0,187,0,259,62,110,357,7015,0,101,190,148,57,3,0,0,27,0,0,3,0,45,13,9042,6726,152,0,196,18,0,2662,7,346,36,1775,0,17,0,161,0,74,0,218,77,0,14,7,169,187,0,3,0,0,0,0,10,46,10,44,33,0,0,0,0,13,0,451,473,33,0,0,33,0,0,0,0,1810,24557,3701,169,0,14,87,3513,4421,15,279,1340,1552,535,42,0,187,8,259,62,110,447,7338,0,478,1066,219,56,0,0,187,0,0,3,0,601,1359313,1338766,820507,480925,2766,19947,148,14473,20547,2148,18399,19142,8448,3978,2612,828,3276,1351,54
40,MS,28,,,,,040C1US28,Mississippi -- In metropolitan statistical area -- in principal city,357671,136062,205848,866,4715,29,3889,6262,528,5734,141165,210190,2245,6041,321,4437,866,548,0,0,50,0,0,160,0,0,0,237,0,0,0,0,0,0,0,29,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,121,0,0,0,0,0,0,0,0,172,25,4715,675,109,0,0,69,748,516,15,45,204,230,179,0,0,0,0,6,0,31,133,1643,0,34,78,29,0,0,0,0,22,0,0,3,0,4,0,2297,1527,44,0,63,0,0,559,7,0,11,548,0,17,0,9,0,10,0,29,0,0,0,0,0,38,0,0,0,0,0,0,0,6,0,39,0,0,0,0,0,13,0,134,175,0,0,0,0,0,0,0,0,595,6180,750,109,0,0,72,860,1106,15,45,495,285,306,0,0,0,0,6,0,31,185,1770,0,145,333,97,0,0,0,47,0,0,3,0,186,357671,351409,136062,205848,866,4715,29,3889,6262,528,5734,5796,2996,665,707,350,1078,466,0
40,MS,28,,,,,040C2US28,Mississippi -- In metropolitan statistical area -- not in principal city,1001642,684445,275077,1900,15232,119,10584,14285,1620,12665,697169,282211,6347,18177,720,12296,1900,1453,37,0,17,0,0,244,0,14,0,651,0,0,0,40,0,0,0,29,0,0,6,0,146,110,0,3,0,0,0,0,10,20,10,0,0,0,0,0,0,0,0,116,113,0,0,0,0,0,0,0,0,287,47,15232,2590,60,0,14,15,2303,2532,0,10,424,731,197,0,0,187,0,253,62,79,224,5372,0,67,112,119,57,3,0,0,5,0,0,0,0,41,13,6745,5199,108,0,133,18,0,2103,0,346,25,1227,0,0,0,152,0,64,0,189,77,0,14,7,169,149,0,3,0,0,0,0,10,40,10,5,33,0,0,0,0,0,0,317,298,33,0,0,33,0,0,0,0,1215,18377,2951,60,0,14,15,2653,3315,0,234,845,1267,229,42,0,187,8,253,62,79,262,5568,0,333,733,122,56,0,0,140,0,0,0,0,415,1001642,987357,684445,275077,1900,15232,119,10584,14285,1620,12665,13346,5452,3313,1905,478,2198,885,54
40,MS,28,,,,,040E0US28,Mississippi -- In micropolitan statistical area,959625,544086,390430,1854,7050,94,7223,8888,867,8021,551783,395053,4827,8925,635,8223,1854,1270,50,0,36,0,0,167,0,4,0,629,0,0,0,25,0,0,0,26,0,0,0,0,11,8,8,50,20,0,0,0,0,136,0,19,0,19,0,0,2,0,0,60,143,12,0,0,12,0,0,0,14,373,42,7050,2495,25,0,0,7,1571,486,0,38,529,802,0,0,0,24,0,142,94,4,124,492,0,137,80,94,15,23,0,0,56,0,0,0,0,0,0,5108,3709,132,0,186,0,0,1248,0,41,9,1324,0,0,0,99,24,0,0,75,0,0,42,0,35,87,8,87,20,0,4,0,0,136,0,28,24,29,0,0,2,0,0,69,402,12,0,0,12,0,0,0,14,971,9126,2796,25,0,0,7,1728,1047,0,47,902,1110,0,0,5,24,0,142,94,4,132,517,0,546,728,162,42,0,0,148,0,0,0,0,376,959625,950737,544086,390430,1854,7050,94,7223,8888,867,8021,8086,3052,2036,1224,454,1320,671,131
40,MS,28,,,,,040E1US28,Mississippi -- In micropolitan statistical area -- in principal city,355140,145505,198800,527,4406,0,2227,3675,402,3273,148579,201087,1521,5117,223,2754,527,279,50,0,36,0,0,55,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,12,0,0,12,0,0,0,14,201,0,4406,1765,25,0,0,0,1050,211,0,38,155,373,0,0,0,12,0,62,94,0,97,332,0,112,80,0,0,0,0,0,0,0,0,0,0,0,0,1571,966,50,0,36,0,0,444,0,0,9,285,0,0,0,17,0,0,0,0,0,0,0,0,24,32,0,0,20,0,0,0,0,0,0,0,24,0,0,0,0,0,0,25,69,12,0,0,12,0,0,0,14,510,5197,1870,25,0,0,0,1201,453,0,38,343,462,0,0,0,12,0,62,94,0,97,338,0,202,223,48,0,0,0,15,0,0,0,0,160,355140,351465,145505,198800,527,4406,0,2227,3675,402,3273,3237,1452,432,445,265,643,410,28
40,MS,28,,,,,040E2US28,Mississippi -- In micropolitan statistical area -- not in principal city,604485,398581,191630,1327,2644,94,4996,5213,465,4748,403204,193966,3306,3808,412,5469,1327,991,0,0,0,0,0,112,0,4,0,536,0,0,0,25,0,0,0,26,0,0,0,0,11,8,8,50,0,0,0,0,0,136,0,19,0,19,0,0,2,0,0,35,122,0,0,0,0,0,0,0,0,172,42,2644,730,0,0,0,7,521,275,0,0,374,429,0,0,0,12,0,80,0,4,27,160,0,25,0,94,15,23,0,0,56,0,0,0,0,0,0,3537,2743,82,0,150,0,0,804,0,41,0,1039,0,0,0,82,24,0,0,75,0,0,42,0,11,55,8,87,0,0,4,0,0,136,0,28,0,29,0,0,2,0,0,44,333,0,0,0,0,0,0,0,0,461,3929,926,0,0,0,7,527,594,0,9,559,648,0,0,5,12,0,80,0,4,35,179,0,344,505,114,42,0,0,133,0,0,0,0,216,604485,599272,398581,191630,1327,2644,94,4996,5213,465,4748,4849,1600,1604,779,189,677,261,103
40,MS,28,,,,,040G0US28,Mississippi -- Not in metropolitan or micropolitan statistical area,669143,403581,245102,8276,1903,167,4215,5899,449,5450,408610,248705,10543,2539,338,4745,8276,7448,8,0,0,0,0,195,0,9,48,7012,0,15,0,32,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,33,0,3,0,0,0,13,0,9,0,38,84,0,0,0,0,0,0,0,0,617,127,1903,317,0,0,0,17,546,304,21,22,50,234,31,0,0,0,0,0,0,8,27,246,0,71,9,167,69,22,0,0,7,0,0,0,0,53,16,10832,9650,48,0,32,8,12,1125,0,24,57,7922,0,41,0,96,0,0,0,0,58,0,0,0,27,33,0,0,0,0,0,0,0,42,13,48,0,0,0,13,0,9,0,42,207,0,0,0,0,0,0,0,0,975,2564,424,0,0,0,38,607,402,21,22,206,240,31,0,0,0,0,0,0,43,43,257,0,230,354,173,47,0,0,17,0,0,11,0,106,669143,663244,403581,245102,8276,1903,167,4215,5899,449,5450,5492,2598,1534,276,359,725,376,31
40,MS,28,,,,,040H0US28,Mississippi -- Not in metropolitan statistical area,1628768,947667,635532,10130,8953,261,11438,14787,1316,13471,960393,643758,15370,11464,973,12968,10130,8718,58,0,36,0,0,362,0,13,48,7641,0,15,0,57,0,0,0,26,0,0,0,0,38,14,8,50,20,0,0,0,0,169,0,22,0,19,0,13,2,9,0,98,227,12,0,0,12,0,0,0,14,990,169,8953,2812,25,0,0,24,2117,790,21,60,579,1036,31,0,0,24,0,142,94,12,151,738,0,208,89,261,84,45,0,0,63,0,0,0,0,53,16,15940,13359,180,0,218,8,12,2373,0,65,66,9246,0,41,0,195,24,0,0,75,58,0,42,0,62,120,8,87,20,0,4,0,0,178,13,76,24,29,0,13,2,9,0,111,609,12,0,0,12,0,0,0,14,1946,11690,3220,25,0,0,45,2335,1449,21,69,1108,1350,31,0,5,24,0,142,94,47,175,774,0,776,1082,335,89,0,0,165,0,0,11,0,482,1628768,1613981,947667,635532,10130,8953,261,11438,14787,1316,13471,13578,5650,3570,1500,813,2045,1047,162
50,MS,28,001,,,,05000US28001,"Adams County, Mississippi",31979,12856,17757,31,75,0,997,263,43,220,13065,17958,93,75,22,1097,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,75,7,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,93,50,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,43,75,7,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,22,31979,31716,12856,17757,31,75,0,997,263,43,220,195,133,19,0,0,43,68,0
50,MS,28,003,,,,05000US28003,"Alcorn County, Mississippi",37319,31563,4281,79,101,0,466,829,134,695,32392,4775,206,244,0,600,79,53,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,101,0,0,0,0,0,55,24,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,180,0,0,0,0,0,57,0,0,0,49,0,0,0,0,0,0,0,0,0,0,42,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,244,20,0,0,0,0,55,121,0,0,26,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,37319,36490,31563,4281,79,101,0,466,829,134,695,760,425,127,74,0,134,69,0
50,MS,28,005,,,,05000US28005,"Amite County, Mississippi",12840,7395,5416,3,12,0,0,14,0,14,7409,5421,12,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12840,12826,7395,5416,3,12,0,0,14,0,14,14,5,9,0,0,0,0,0
50,MS,28,007,,,,05000US28007,"Attala County, Mississippi",19175,10649,8194,4,32,0,68,228,22,206,10852,8350,52,63,7,90,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,0,0,0,0,0,0,0,12,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,0,0,0,0,0,0,57,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,19175,18947,10649,8194,4,32,0,68,228,22,206,217,120,12,31,25,29,11,0
50,MS,28,009,,,,05000US28009,"Benton County, Mississippi",8470,5166,3078,10,0,0,121,95,0,95,5261,3126,102,0,0,121,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,85,0,0,0,0,0,49,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8470,8375,5166,3078,10,0,0,121,95,0,95,50,3,47,0,0,0,45,0
50,MS,28,011,,,,05000US28011,"Bolivar County, Mississippi",33803,11197,21648,74,252,0,520,112,0,112,11264,21713,138,261,24,520,74,63,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,252,127,0,0,0,0,84,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,122,0,0,0,0,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16,261,127,0,0,0,0,84,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,9,0,0,0,15,0,0,0,0,0,33803,33691,11197,21648,74,252,0,520,112,0,112,107,24,14,0,36,33,5,0
50,MS,28,013,,,,05000US28013,"Calhoun County, Mississippi",14789,10103,3991,0,6,78,376,235,2,233,10327,4177,47,17,78,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78,52,10,0,0,0,0,0,0,0,0,16,47,46,2,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,94,68,26,0,0,0,0,0,0,0,0,14789,14554,10103,3991,0,6,78,376,235,2,233,235,175,47,0,0,13,0,0
50,MS,28,015,,,,05000US28015,"Carroll County, Mississippi",10338,6702,3470,17,25,0,0,124,10,114,6826,3491,110,25,0,10,17,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,39,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10338,10214,6702,3470,17,25,0,0,124,10,114,124,21,93,0,0,10,0,0
50,MS,28,017,,,,05000US28017,"Chickasaw County, Mississippi",17391,9522,7549,7,66,0,64,183,41,142,9664,7624,88,91,32,136,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,80,27,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,9,91,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,17391,17208,9522,7549,7,66,0,64,183,41,142,122,0,49,25,2,46,61,0
50,MS,28,019,,,,05000US28019,"Choctaw County, Mississippi",8354,5661,2596,0,13,0,7,77,0,77,5738,2659,48,19,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,19,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,8354,8277,5661,2596,0,13,0,7,77,0,77,23,9,8,6,0,0,29,25
50,MS,28,021,,,,05000US28021,"Claiborne County, Mississippi",9330,1271,7918,15,86,0,17,23,0,23,1271,7941,15,109,18,25,15,10,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,123,6,0,0,0,0,5,9,0,0,20,3,0,0,0,0,0,80,0,0,0,0,0,0,18,0,12,0,0,6,0,0,0,0,0,9330,9307,1271,7918,15,86,0,17,23,0,23,0,0,0,0,0,0,20,3
50,MS,28,023,,,,05000US28023,"Clarke County, Mississippi",16362,10502,5731,27,12,0,11,79,13,66,10581,5787,91,12,0,24,27,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,53,0,0,0,0,0,28,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16362,16283,10502,5731,27,12,0,11,79,13,66,25,2,10,0,0,13,54,0
50,MS,28,025,,,,05000US28025,"Clay County, Mississippi",20279,8213,11809,20,119,0,12,106,10,96,8289,11884,71,119,0,22,20,20,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,0,0,0,0,20,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20279,20173,8213,11809,20,119,0,12,106,10,96,106,45,31,0,20,10,0,0
