SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B02001_001,B02001_002,B02001_003,B02001_004,B02001_005,B02001_006,B02001_007,B02001_008,B02001_009,B02001_010,B02008_001,B02009_001,B02010_001,B02011_001,B02012_001,B02013_001,B02014_001,B02014_002,B02014_003,B02014_004,B02014_005,B02014_006,B02014_007,B02014_008,B02014_009,B02014_010,B02014_011,B02014_012,B02014_013,B02014_014,B02014_015,B02014_016,B02014_017,B02014_018,B02014_019,B02014_020,B02014_021,B02014_022,B02014_023,B02014_024,B02014_025,B02014_026,B02014_027,B02014_028,B02014_029,B02014_030,B02014_031,B02014_032,B02014_033,B02014_034,B02014_035,B02014_036,B02014_037,B02014_038,B02014_039,B02014_040,B02014_041,B02014_042,B02014_043,B02014_044,B02014_045,B02014_046,B02014_047,B02014_048,B02014_049,B02014_050,B02014_051,B02014_052,B02014_053,B02014_054,B02014_055,B02015_001,B02015_002,B02015_003,B02015_004,B02015_005,B02015_006,B02015_007,B02015_008,B02015_009,B02015_010,B02015_011,B02015_012,B02015_013,B02015_014,B02015_015,B02015_016,B02015_017,B02015_018,B02015_019,B02015_020,B02015_021,B02015_022,B02015_023,B02015_024,B02015_025,B02016_001,B02016_002,B02016_003,B02016_004,B02016_005,B02016_006,B02016_007,B02016_008,B02016_009,B02016_010,B02016_011,B02016_012,B02017_001,B02017_002,B02017_003,B02017_004,B02017_005,B02017_006,B02017_007,B02017_008,B02017_009,B02017_010,B02017_011,B02017_012,B02017_013,B02017_014,B02017_015,B02017_016,B02017_017,B02017_018,B02017_019,B02017_020,B02017_021,B02017_022,B02017_023,B02017_024,B02017_025,B02017_026,B02017_027,B02017_028,B02017_029,B02017_030,B02017_031,B02017_032,B02017_033,B02017_034,B02017_035,B02017_036,B02017_037,B02017_038,B02017_039,B02017_040,B02017_041,B02017_042,B02017_043,B02017_044,B02017_045,B02017_046,B02017_047,B02017_048,B02017_049,B02017_050,B02017_051,B02017_052,B02017_053,B02017_054,B02018_001,B02018_002,B02018_003,B02018_004,B02018_005,B02018_006,B02018_007,B02018_008,B02018_009,B02018_010,B02018_011,B02018_012,B02018_013,B02018_014,B02018_015,B02018_016,B02018_017,B02018_018,B02018_019,B02018_020,B02018_021,B02018_022,B02018_023,B02018_024,B02019_001,B02019_002,B02019_003,B02019_004,B02019_005,B02019_006,B02019_007,B02019_008,B02019_009,B02019_010,B02019_011,C02003_001,C02003_002,C02003_003,C02003_004,C02003_005,C02003_006,C02003_007,C02003_008,C02003_009,C02003_010,C02003_011,C02003_012,C02003_013,C02003_014,C02003_015,C02003_016,C02003_017,C02003_018,C02003_019
40,AK,02,,,,,04000US02,Alaska,733375,484250,25022,101313,42921,8841,9273,61755,3202,58553,538294,37906,141686,56670,12824,12708,101313,3954,164,0,26,56,0,585,5,20,299,250,3,57,4,115,11,2,0,7,79,8,46,5,143,256,5,13,13,4,54,140,62,34,24,419,12,0,2,33,6,43,10,939,229,86798,12414,8528,22768,8855,1512,32721,7615,0,2717,42921,856,375,195,2,93,2365,23357,4166,72,1584,4980,1279,62,35,158,11,44,44,13,980,1103,0,176,971,8841,1383,5205,851,57,433,8,562,24,0,122,196,146761,14991,503,0,818,100,202,4554,15,404,1151,845,14,129,29,387,88,21,0,7,308,15,78,9,204,672,75,56,92,22,116,218,138,103,81,995,38,0,2,40,9,89,112,2252,543,117672,19328,13232,30133,14750,2727,37502,12913,642,58597,1184,375,195,7,260,4480,29929,4285,85,4357,6775,1839,82,50,173,15,68,46,53,1800,1874,0,665,13202,3263,6448,1034,82,740,113,679,24,11,808,733375,671620,484250,25022,101313,42921,8841,9273,61755,3202,58553,57193,6886,32336,7879,2285,7807,4166,396
40,AK,02,,,,,04001US02,Alaska -- Urban,484077,319921,22722,43629,35490,8137,7234,46944,2771,44173,360334,33845,73103,46247,11405,10181,43629,2248,110,0,3,10,0,358,0,20,143,128,3,43,0,105,10,0,0,7,11,2,43,0,45,184,5,0,10,0,27,37,22,19,18,213,5,0,0,30,4,34,5,594,187,34214,5554,3550,11289,5203,355,8263,5258,0,1722,35490,778,375,195,0,55,2031,18692,3654,54,1066,4463,1260,58,0,150,11,40,0,12,819,751,0,162,864,8137,1211,4928,817,41,348,1,458,24,0,121,188,76892,10508,308,0,610,41,192,3366,8,343,756,546,14,106,13,366,70,18,0,7,118,9,68,0,95,535,70,43,89,8,82,69,48,35,47,668,31,0,0,30,7,80,103,1509,387,56813,10619,7144,17127,9157,1010,11756,8941,243,47986,1086,375,195,0,195,3835,23887,3773,67,3084,5804,1818,78,15,165,11,64,0,52,1518,1472,0,492,11743,2765,6139,981,57,586,95,573,24,0,523,484077,437133,319921,22722,43629,35490,8137,7234,46944,2771,44173,43175,5870,22729,5982,1894,6700,3444,325
40,AK,02,,,,,04043US02,Alaska -- Rural,249298,164329,2300,57684,7431,704,2039,14811,431,14380,177960,4061,68583,10423,1419,2527,57684,1706,54,0,23,46,0,227,5,0,156,122,0,14,4,10,1,2,0,0,68,6,3,5,98,72,0,13,3,4,27,103,40,15,6,206,7,0,2,3,2,9,5,345,42,52584,6860,4978,11479,3652,1157,24458,2357,0,995,7431,78,0,0,2,38,334,4665,512,18,518,517,19,4,35,8,0,4,44,1,161,352,0,14,107,704,172,277,34,16,85,7,104,0,0,1,8,69869,4483,195,0,208,59,10,1188,7,61,395,299,0,23,16,21,18,3,0,0,190,6,10,9,109,137,5,13,3,14,34,149,90,68,34,327,7,0,2,10,2,9,9,743,156,60859,8709,6088,13006,5593,1717,25746,3972,399,10611,98,0,0,7,65,645,6042,512,18,1273,971,21,4,35,8,4,4,46,1,282,402,0,173,1459,498,309,53,25,154,18,106,0,11,285,249298,234487,164329,2300,57684,7431,704,2039,14811,431,14380,14018,1016,9607,1897,391,1107,722,71
40,AK,02,,,,,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,541220,383217,23281,37082,33547,7677,7276,49140,2467,46673,426122,35163,67210,45136,11114,9924,37082,2830,155,0,9,25,0,470,0,20,232,161,0,55,4,4,11,0,0,7,30,0,43,0,52,193,5,0,10,0,48,101,62,30,18,364,0,0,0,30,4,34,5,648,157,26824,5617,3187,6185,5195,347,6293,5322,0,1949,33547,814,375,195,2,55,2080,15864,4143,62,1351,4638,1170,45,35,158,11,44,18,12,828,715,0,110,822,7677,1111,4731,560,13,394,6,521,24,0,121,196,71307,11916,447,0,718,52,202,3588,8,393,948,566,11,118,28,243,66,18,0,7,235,0,68,0,106,602,64,37,80,8,103,170,123,77,44,873,21,0,0,31,4,80,103,1674,414,49283,11291,6386,11602,9200,1047,9757,9496,198,46820,1108,375,195,7,195,3967,21319,4262,73,3668,6204,1642,45,39,173,15,68,18,52,1484,1390,0,521,11485,2747,5936,724,32,680,108,636,24,0,598,541220,492080,383217,23281,37082,33547,7677,7276,49140,2467,46673,45162,6487,23613,6657,1929,6476,3647,331
40,AK,02,,,,,040C0US02,Alaska -- In metropolitan statistical area,494990,351492,22810,31105,30330,7316,6800,45137,2333,42804,390862,34285,58214,40962,10536,9301,31105,2483,139,0,9,25,0,376,0,20,221,149,0,55,4,4,11,0,0,0,28,0,43,0,52,182,5,0,10,0,27,37,51,30,18,356,0,0,0,0,0,19,5,607,147,22304,5542,3109,6005,1431,171,6046,4659,0,1512,30330,605,375,195,0,51,1826,13600,4124,62,1264,4540,1163,45,35,155,11,37,0,12,816,627,0,94,693,7316,1053,4558,456,0,381,6,521,24,0,121,196,61659,10794,424,0,681,51,202,3235,8,393,899,552,11,98,28,243,66,0,0,0,209,0,68,0,106,432,64,37,80,0,82,106,112,77,44,801,21,0,0,1,0,65,103,1495,383,41768,11020,6179,11190,3653,314,9412,8525,189,42479,893,375,195,0,187,3525,18573,4243,73,3318,6041,1635,45,39,170,15,49,0,52,1463,1169,0,419,10896,2603,5727,620,19,667,62,636,24,0,538,494990,449853,351492,22810,31105,30330,7316,6800,45137,2333,42804,41431,6321,21166,6085,1826,6033,3379,327
40,AK,02,,,,,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,331300,214688,20378,22540,27842,6983,5922,32947,2073,30874,242564,29653,41328,36221,9644,8102,22540,1230,95,0,0,6,0,145,0,20,96,70,0,36,0,0,10,0,0,0,0,0,23,0,22,166,5,0,10,0,27,37,4,0,13,138,0,0,0,0,0,0,5,302,107,16770,3644,2386,4882,1073,87,4698,3475,0,958,27842,529,203,195,0,47,1546,12716,4074,54,1066,4202,1038,45,0,151,11,33,0,12,630,528,0,94,668,6983,1007,4431,453,0,335,1,426,16,0,118,196,43896,6795,251,0,467,28,192,1795,8,343,569,304,0,36,13,239,65,0,0,0,97,0,23,0,66,410,59,8,80,0,72,61,4,0,39,454,21,0,0,0,0,29,103,959,216,30997,7461,4553,8830,2802,149,7202,5803,85,37631,803,203,195,0,183,2949,16848,4173,65,2554,5326,1479,45,4,166,11,45,0,52,1203,1004,0,323,9976,2235,5506,617,6,569,49,541,16,0,437,331300,298353,214688,20378,22540,27842,6983,5922,32947,2073,30874,29885,4823,13633,4586,1647,5196,2859,203
40,AK,02,,,,,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,163690,136804,2432,8565,2488,333,878,12190,260,11930,148298,4632,16886,4741,892,1199,8565,1253,44,0,9,19,0,231,0,0,125,79,0,19,4,4,1,0,0,0,28,0,20,0,30,16,0,0,0,0,0,0,47,30,5,218,0,0,0,0,0,19,0,305,40,5534,1898,723,1123,358,84,1348,1184,0,554,2488,76,172,0,0,4,280,884,50,8,198,338,125,0,35,4,0,4,0,0,186,99,0,0,25,333,46,127,3,0,46,5,95,8,0,3,0,17763,3999,173,0,214,23,10,1440,0,50,330,248,11,62,15,4,1,0,0,0,112,0,45,0,40,22,5,29,0,0,10,45,108,77,5,347,0,0,0,1,0,36,0,536,167,10771,3559,1626,2360,851,165,2210,2722,104,4848,90,172,0,0,4,576,1725,70,8,764,715,156,0,35,4,4,4,0,0,260,165,0,96,920,368,221,3,13,98,13,95,8,0,101,163690,151500,136804,2432,8565,2488,333,878,12190,260,11930,11546,1498,7533,1499,179,837,520,124
40,AK,02,,,,,040E0US02,Alaska -- In micropolitan statistical area,46230,31725,471,5977,3217,361,476,4003,134,3869,35260,878,8996,4174,578,623,5977,347,16,0,0,0,0,94,0,0,11,12,0,0,0,0,0,0,0,7,2,0,0,0,0,11,0,0,0,0,21,64,11,0,0,8,0,0,0,30,4,15,0,41,10,4520,75,78,180,3764,176,247,663,0,437,3217,209,0,0,2,4,254,2264,19,0,87,98,7,0,0,3,0,7,18,0,12,88,0,16,129,361,58,173,104,13,13,0,0,0,0,0,0,9648,1122,23,0,37,1,0,353,0,0,49,14,0,20,0,0,0,18,0,7,26,0,0,0,0,170,0,0,0,8,21,64,11,0,0,72,0,0,0,30,4,15,0,179,31,7515,271,207,412,5547,733,345,971,9,4341,215,0,0,7,8,442,2746,19,0,350,163,7,0,0,3,0,19,18,0,21,221,0,102,589,144,209,104,13,13,46,0,0,0,60,46230,42227,31725,471,5977,3217,361,476,4003,134,3869,3731,166,2447,572,103,443,268,4
40,AK,02,,,,,040E1US02,Alaska -- In micropolitan statistical area -- in principal city,40728,27346,469,5297,3183,361,473,3599,134,3465,30497,798,8001,4076,575,620,5297,317,16,0,0,0,0,74,0,0,11,12,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,21,64,11,0,0,8,0,0,0,30,4,15,0,33,4,4025,75,74,175,3324,130,247,570,0,381,3183,207,0,0,2,4,238,2257,19,0,83,98,7,0,0,3,0,7,18,0,12,83,0,16,129,361,58,173,104,13,13,0,0,0,0,0,0,8529,1006,23,0,37,0,0,316,0,0,49,14,0,20,0,0,0,18,0,7,0,0,0,0,0,170,0,0,0,8,21,64,11,0,0,45,0,0,0,30,4,15,0,154,20,6649,204,173,391,4954,582,345,845,9,4243,213,0,0,7,8,426,2708,19,0,344,157,7,0,0,3,0,19,18,0,21,200,0,93,586,141,209,104,13,13,46,0,0,0,60,40728,37129,27346,469,5297,3183,361,473,3599,134,3465,3363,117,2182,538,103,423,232,4
40,AK,02,,,,,040E2US02,Alaska -- In micropolitan statistical area -- not in principal city,5502,4379,2,680,34,0,3,404,0,404,4763,80,995,98,3,3,680,30,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,495,0,4,5,440,46,0,93,0,56,34,2,0,0,0,0,16,7,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,116,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,25,11,866,67,34,21,593,151,0,126,0,98,2,0,0,0,0,16,38,0,0,6,6,0,0,0,0,0,0,0,0,0,21,0,9,3,3,0,0,0,0,0,0,0,0,0,5502,5098,4379,2,680,34,0,3,404,0,404,368,49,265,34,0,20,36,0
40,AK,02,,,,,040G0US02,Alaska -- Not in metropolitan or micropolitan statistical area,192155,101033,1741,64231,9374,1164,1997,12615,735,11880,112172,2743,74476,11534,1710,2784,64231,1124,9,0,17,31,0,115,5,0,67,89,3,2,0,111,0,2,0,0,49,8,3,5,91,63,0,13,3,4,6,39,0,4,6,55,12,0,2,3,2,9,5,291,72,59974,6797,5341,16583,3660,1165,26428,2293,0,768,9374,42,0,0,0,38,285,7493,23,10,233,342,109,17,0,0,0,0,26,1,152,388,0,66,149,1164,272,474,291,44,39,2,41,0,0,1,0,75454,3075,56,0,100,48,0,966,7,11,203,279,3,11,1,144,22,3,0,0,73,15,10,9,98,70,11,19,12,14,13,48,15,26,37,122,17,0,2,9,5,9,9,578,129,68389,8037,6846,18531,5550,1680,27745,3417,444,11777,76,0,0,0,65,513,8610,23,12,689,571,197,37,11,0,0,0,28,1,316,484,0,144,1717,516,512,310,50,60,5,43,0,11,210,192155,179540,101033,1741,64231,9374,1164,1997,12615,735,11880,12031,399,8723,1222,356,1331,519,65
40,AK,02,,,,,040H0US02,Alaska -- Not in metropolitan statistical area,238385,132758,2212,70208,12591,1525,2473,16618,869,15749,147432,3621,83472,15708,2288,3407,70208,1471,25,0,17,31,0,209,5,0,78,101,3,2,0,111,0,2,0,7,51,8,3,5,91,74,0,13,3,4,27,103,11,4,6,63,12,0,2,33,6,24,5,332,82,64494,6872,5419,16763,7424,1341,26675,2956,0,1205,12591,251,0,0,2,42,539,9757,42,10,320,440,116,17,0,3,0,7,44,1,164,476,0,82,278,1525,330,647,395,57,52,2,41,0,0,1,0,85102,4197,79,0,137,49,0,1319,7,11,252,293,3,31,1,144,22,21,0,7,99,15,10,9,98,240,11,19,12,22,34,112,26,26,37,194,17,0,2,39,9,24,9,757,160,75904,8308,7053,18943,11097,2413,28090,4388,453,16118,291,0,0,7,73,955,11356,42,12,1039,734,204,37,11,3,0,19,46,1,337,705,0,246,2306,660,721,414,63,73,51,43,0,11,270,238385,221767,132758,2212,70208,12591,1525,2473,16618,869,15749,15762,565,11170,1794,459,1774,787,69
50,AK,02,013,,,,05000US02013,"Aleutians East Borough, Alaska",3304,712,304,979,1009,37,123,140,26,114,810,308,1082,1048,51,155,979,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,935,1,924,3,5,0,2,22,0,2,1009,0,0,0,0,4,7,930,0,0,8,11,0,0,0,0,0,0,0,0,0,30,0,0,19,37,0,8,0,4,0,0,25,0,0,0,0,1084,35,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,1023,1,1009,5,6,0,2,26,0,1067,0,0,0,0,4,26,963,0,0,17,11,0,0,0,0,0,0,0,0,0,39,0,7,51,5,8,0,4,0,0,25,0,0,9,3304,3164,712,304,979,1009,37,123,140,26,114,130,0,67,16,0,47,10,0
50,AK,02,016,,,,05000US02016,"Aleutians West Census Area, Alaska",5684,1794,269,738,2112,141,301,329,52,277,2062,301,862,2282,176,353,738,14,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,701,0,665,17,8,0,11,6,0,17,2112,10,0,0,0,0,1,1774,6,0,37,22,17,0,0,0,0,0,0,0,6,239,0,0,0,141,15,112,0,0,5,2,7,0,0,0,0,879,26,0,0,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,0,0,1,0,0,0,4,0,836,15,767,23,13,0,18,17,0,2291,10,0,0,0,0,3,1889,6,0,45,52,17,0,0,0,0,0,0,0,17,250,0,2,176,15,112,0,0,5,4,9,0,0,31,5684,5355,1794,269,738,2112,141,301,329,52,277,306,2,92,108,6,98,23,0
50,AK,02,020,,,,05000US02020,"Anchorage Municipality, Alaska",299107,194254,17511,19745,26323,6436,5226,29612,2056,27556,219053,25376,36848,33965,9016,7389,19745,1052,95,0,0,0,0,114,0,20,96,63,0,36,0,0,10,0,0,0,0,0,0,0,22,166,5,0,10,0,27,24,4,0,13,61,0,0,0,0,0,0,5,281,57,14666,2184,2336,4355,1052,87,4652,3042,0,928,26323,523,203,195,0,47,1334,12258,4055,33,997,3788,916,45,0,71,11,33,0,12,610,487,0,94,611,6436,856,4282,453,0,99,1,415,16,0,118,196,39185,6403,223,0,462,22,192,1653,8,343,561,297,0,36,13,239,65,0,0,0,97,0,0,0,66,410,59,8,80,0,65,48,4,0,39,343,21,0,0,0,0,29,103,917,154,27533,5269,4474,7855,2692,141,7102,5047,48,35287,792,203,195,0,183,2621,16004,4154,44,2350,4753,1288,45,0,86,11,45,0,52,1179,959,0,323,9342,2044,5351,617,0,312,49,516,16,0,437,299107,269495,194254,17511,19745,26323,6436,5226,29612,2056,27556,26882,3855,12415,4050,1485,5077,2532,198
50,AK,02,050,,,,05000US02050,"Bethel Census Area, Alaska",17776,2136,142,14415,209,71,61,742,10,732,2733,221,15104,307,96,71,14415,49,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,6,14035,152,9,531,0,0,13343,288,0,37,209,0,0,0,0,13,7,45,0,0,1,106,0,0,0,0,0,0,0,0,0,10,0,0,27,71,69,0,0,0,2,0,0,0,0,0,0,15141,144,5,0,3,0,0,34,0,0,15,29,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,3,0,0,0,3,0,0,0,31,12,14601,204,11,536,8,0,13842,333,51,334,0,0,0,0,40,9,86,0,0,1,161,0,0,0,0,0,0,0,0,27,10,0,0,96,69,0,0,0,4,0,0,0,0,23,17776,17034,2136,142,14415,209,71,61,742,10,732,728,12,554,17,66,79,14,0
50,AK,02,060,,,,05000US02060,"Bristol Bay Borough, Alaska",970,547,5,284,7,2,19,106,0,106,632,10,378,24,19,19,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,5,131,25,3,0,94,6,0,20,7,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,402,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,375,19,187,48,3,1,117,9,0,24,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,25,6,2,10,0,0,0,0,0,0,7,970,864,547,5,284,7,2,19,106,0,106,100,3,74,3,2,18,6,0
50,AK,02,068,,,,05000US02068,"Denali Borough, Alaska",2060,1799,13,73,59,0,0,116,0,116,1914,19,117,127,0,0,73,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,43,32,0,6,0,0,5,9,0,0,59,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,39,0,0,0,0,0,5,0,1,11,2,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,59,48,0,6,0,0,5,19,0,127,0,0,0,0,0,0,36,0,10,24,18,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,1944,1799,13,73,59,0,0,116,0,116,115,4,42,68,1,0,1,0
50,AK,02,070,,,,05000US02070,"Dillingham Census Area, Alaska",4979,932,17,3619,72,1,24,314,0,314,1196,43,3927,115,1,24,3619,12,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3534,41,24,46,2,0,3421,66,0,7,72,0,0,0,0,0,1,54,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3944,40,0,0,2,0,0,13,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,0,3815,45,41,59,6,0,3664,75,14,115,0,0,0,0,0,6,56,0,0,31,6,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,4979,4665,932,17,3619,72,1,24,314,0,314,301,0,246,6,15,34,13,0
50,AK,02,090,,,,05000US02090,"Fairbanks North Star Borough, Alaska",99705,76423,4340,6288,2621,633,889,8511,97,8414,84354,6886,11210,4526,875,1028,6288,526,29,0,0,6,0,95,0,0,76,16,0,7,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,13,0,0,0,149,0,0,0,0,0,0,0,112,69,4323,2724,97,934,239,28,301,1079,0,291,2621,47,0,0,0,0,298,917,27,21,224,511,225,0,35,84,0,4,0,0,79,91,0,0,58,633,158,152,0,0,236,0,87,0,0,0,0,11747,1824,117,0,63,6,0,799,0,0,204,107,11,7,0,0,0,0,0,0,16,0,23,0,0,0,0,29,0,0,17,50,26,0,0,183,0,0,0,0,0,0,0,166,190,7608,4302,277,1782,543,36,668,1991,134,4645,52,0,0,0,0,612,1573,27,21,712,889,294,0,39,84,0,4,0,0,127,155,0,56,881,320,158,0,12,257,0,101,0,0,33,99705,91194,76423,4340,6288,2621,633,889,8511,97,8414,7895,1807,4155,1268,192,473,569,47
50,AK,02,100,,,,05000US02100,"Haines Borough, Alaska",2560,2062,1,164,77,0,13,243,8,235,2294,7,326,153,5,21,164,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,3,1,146,0,0,10,0,3,77,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,45,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,0,0,0,0,0,0,0,0,3,0,255,0,4,4,247,0,0,29,0,153,0,0,0,0,0,1,66,0,0,17,0,0,0,0,0,0,0,4,0,8,3,0,54,5,0,0,0,0,0,0,0,0,0,5,2560,2317,2062,1,164,77,0,13,243,8,235,240,0,153,68,6,13,3,0
50,AK,02,105,,,,05000US02105,"Hoonah-Angoon Census Area, Alaska",2128,1069,47,708,56,1,13,234,0,234,1277,111,885,81,1,13,708,16,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,623,12,7,26,576,0,2,38,0,28,56,0,0,0,0,0,3,41,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,919,44,2,0,0,2,0,13,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,12,3,824,12,34,54,719,0,5,48,0,81,0,0,0,0,0,9,54,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2128,1894,1069,47,708,56,1,13,234,0,234,228,33,145,24,25,1,6,0
50,AK,02,110,,,,05000US02110,"Juneau City and Borough, Alaska",32531,22445,413,4017,2216,354,386,2700,121,2579,24794,654,6040,2920,477,510,4017,291,16,0,0,0,0,68,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,21,64,11,0,0,8,0,0,0,30,0,15,0,33,0,3176,34,22,156,2705,14,245,412,0,138,2216,131,0,0,2,0,230,1445,0,0,78,81,0,0,0,3,0,7,18,0,1,83,0,12,125,354,51,173,104,13,13,0,0,0,0,0,0,6229,802,23,0,10,0,0,223,0,0,32,0,0,20,0,0,0,18,0,7,0,0,0,0,0,170,0,0,0,0,21,64,11,0,0,8,0,0,0,30,0,15,0,150,11,4770,122,51,367,3800,96,334,646,0,3075,137,0,0,7,0,414,1771,0,0,296,122,0,0,0,3,0,19,18,0,10,200,0,78,477,84,203,104,13,13,46,0,0,0,14,32531,29831,22445,413,4017,2216,354,386,2700,121,2579,2536,74,1622,425,92,323,164,0
50,AK,02,122,,,,05000US02122,"Kenai Peninsula Borough, Alaska",57221,48115,363,4355,732,40,320,3296,137,3159,51100,667,6922,1398,233,492,4355,291,0,0,4,0,0,36,0,0,29,34,0,0,0,6,0,0,0,0,3,0,0,0,6,0,0,3,0,0,0,30,0,0,6,18,5,0,2,0,0,4,0,105,11,3444,1113,882,406,217,30,796,509,0,100,732,2,0,0,0,7,102,427,0,0,42,38,0,0,0,0,0,0,13,0,3,36,0,0,62,40,7,22,0,0,11,0,0,0,0,0,0,7068,1025,9,0,34,0,0,429,0,0,86,73,0,9,0,35,5,1,0,0,9,0,0,4,6,0,11,3,0,0,0,30,0,0,6,25,5,0,2,0,0,4,0,239,22,4930,1672,1208,630,387,62,971,1080,11,1507,6,0,0,0,7,221,841,0,0,242,73,0,0,0,0,0,0,13,0,68,36,0,0,233,95,22,0,4,24,0,0,0,11,77,57221,53925,48115,363,4355,732,40,320,3296,137,3159,3052,184,2196,358,52,262,193,51
50,AK,02,130,,,,05000US02130,"Ketchikan Gateway Borough, Alaska",13699,9280,58,1960,1001,7,90,1303,13,1290,10466,224,2956,1254,101,113,1960,56,0,0,0,0,0,26,0,0,4,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,10,1344,41,56,24,1059,162,2,251,0,299,1001,78,0,0,0,4,24,819,19,0,9,17,7,0,0,0,0,0,0,0,11,5,0,4,4,7,7,0,0,0,0,0,0,0,0,0,0,3419,320,0,0,27,1,0,130,0,0,17,14,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,8,0,0,0,0,0,64,0,0,0,0,4,0,0,29,20,2745,149,156,45,1747,637,11,325,9,1266,78,0,0,0,8,28,975,19,0,54,41,7,0,0,0,0,0,0,0,11,21,0,24,112,60,6,0,0,0,0,0,0,0,46,13699,12396,9280,58,1960,1001,7,90,1303,13,1290,1195,92,825,147,11,120,104,4
