summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,NC,37,,,,,04000US37,North Carolina,9845333,6839831,2115338,116143,244076,6244,292310,231391,28209,203182,7034563,2241952,190209,294535,14796,323820,116143,96687,548,false,608,129,229,16135,false,170,586,297,24,192,22,395,12,106,110,27,1740,26,61609,8,1794,675,117,46,false,23,112,109,16,179,96,612,271,105,false,12,52,23,35,9437,2732,536,134,20,187,195,false,false,52,14940,1196,244076,72627,669,122,4330,3816,40726,20812,11005,985,5899,19951,6001,580,25,3769,49,7551,882,1868,3318,32123,26,3068,3874,6244,1833,727,299,43,1348,107,1235,14,185,431,22,195379,157719,1675,false,4593,248,312,46260,101,604,1082,1521,105,411,188,943,105,371,246,39,3827,106,70495,92,3017,1143,203,84,63,40,267,283,24,487,253,1260,966,147,19,229,78,50,71,15711,5705,787,175,35,361,206,10,false,85,31083,301178,78852,726,481,4458,4688,47879,35500,11315,1435,12914,27280,7134,670,85,3956,128,8530,1126,2337,5300,36705,76,9603,15100,3817,1892,362,308,2439,107,1374,30,229,4542,9845333,9613942,6839831,2115338,116143,244076,6244,292310,231391,28209,203182,209898,81482,40357,33259,15638,39162,20127,1366
40,NC,37,,,,,04001US37,North Carolina -- Urban,6559050,4267424,1639690,40810,222038,5174,214645,169269,20481,148788,4408967,1734010,89636,264127,11423,237825,40810,31667,371,false,387,116,226,5059,false,165,306,203,4,163,16,350,12,72,64,24,409,26,17638,0,1460,421,79,29,false,23,52,42,0,21,84,327,224,47,false,0,0,23,0,3224,1269,339,63,4,147,125,false,false,52,6857,626,222038,69370,609,122,4205,3743,36994,17996,6754,923,4881,18541,5324,566,18,3653,22,6948,831,1766,2898,29360,26,2820,3668,5174,1389,605,296,43,1167,94,1142,9,185,237,7,92827,70581,1138,false,2970,210,306,24215,59,531,554,1119,4,351,118,845,82,305,126,24,2167,106,22793,0,2254,824,132,29,63,40,173,181,8,147,182,803,821,89,0,0,0,45,36,6731,3583,548,84,7,321,136,0,false,83,18032,270120,74916,666,387,4327,4574,43037,29730,7033,1282,10673,24755,6342,630,78,3840,65,7762,1075,2210,4699,33388,76,8575,11595,2788,1216,359,269,1993,94,1245,13,229,3389,6559050,6389781,4267424,1639690,40810,222038,5174,214645,169269,20481,148788,152746,60076,24704,28285,10511,29170,15638,885
40,NC,37,,,,,04043US37,North Carolina -- Rural,3286283,2572407,475648,75333,22038,1070,77665,62122,7728,54394,2625596,507942,100573,30408,3373,85995,75333,65020,177,false,221,13,3,11076,false,5,280,94,20,29,6,45,0,34,46,3,1331,0,43971,8,334,254,38,17,false,0,60,67,16,158,12,285,47,58,false,12,52,0,35,6213,1463,197,71,16,40,70,false,false,0,8083,570,22038,3257,60,0,125,73,3732,2816,4251,62,1018,1410,677,14,7,116,27,603,51,102,420,2763,0,248,206,1070,444,122,3,0,181,13,93,5,0,194,15,102552,87138,537,false,1623,38,6,22045,42,73,528,402,101,60,70,98,23,66,120,15,1660,0,47702,92,763,319,71,55,0,0,94,102,16,340,71,457,145,58,19,229,78,5,35,8980,2122,239,91,28,40,70,10,false,2,13051,31058,3936,60,94,131,114,4842,5770,4282,153,2241,2525,792,40,7,116,63,768,51,127,601,3317,0,1028,3505,1029,676,3,39,446,13,129,17,0,1153,3286283,3224161,2572407,475648,75333,22038,1070,77665,62122,7728,54394,57152,21406,15653,4974,5127,9992,4489,481
40,NC,37,,,,,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,9206208,6407291,1956761,104540,241307,6022,269547,220740,26983,193757,6593155,2078011,172765,290996,14302,299822,104540,86652,504,false,602,129,226,11031,false,170,473,274,8,192,16,350,12,106,110,27,1675,26,60566,8,1637,675,117,46,false,23,79,101,16,136,96,579,271,105,false,12,0,23,35,6196,2359,518,134,16,173,195,false,false,52,13906,1053,241307,72363,669,122,4308,3786,40294,20505,10590,985,5697,19758,5771,580,22,3769,49,7331,882,1868,3247,31861,26,3010,3814,6022,1744,638,299,43,1308,107,1231,14,185,431,22,177612,142673,1583,false,4213,246,306,38484,101,604,832,1461,89,390,168,872,105,364,246,32,3722,106,69100,92,2837,1127,203,46,63,40,227,229,24,365,243,1180,952,147,19,229,13,50,71,11492,5205,769,175,31,347,206,10,false,83,28882,297564,78484,726,481,4436,4658,47359,34907,10900,1419,12675,27022,6887,670,82,3956,103,8306,1126,2337,5156,36407,76,9391,14600,3609,1803,362,296,2304,107,1368,30,229,4492,9206208,8985468,6407291,1956761,104540,241307,6022,269547,220740,26983,193757,200283,78636,36807,32765,14518,37557,19097,1360
40,NC,37,,,,,040C0US37,North Carolina -- In metropolitan statistical area,7639992,5324615,1629545,37099,228242,5378,229215,185898,22602,163296,5481737,1731086,91539,273514,12420,254640,37099,28011,470,false,467,129,220,5660,false,170,417,192,8,172,16,138,12,103,64,24,301,26,12327,8,1521,575,0,39,false,23,24,44,0,120,79,473,242,78,false,0,0,23,0,3846,1095,435,134,16,133,152,false,false,26,6894,638,228242,69934,669,122,4166,3754,38352,18135,9499,929,5064,18992,5278,580,18,3740,41,7030,882,1771,2898,30042,26,2765,3555,5378,1548,540,241,43,1062,89,1231,9,185,408,22,95560,72569,1268,false,3321,246,300,27910,77,567,723,1260,89,370,120,660,82,347,126,24,1929,106,17916,92,2654,995,63,39,63,40,172,172,8,294,226,1032,849,117,19,176,13,50,36,8018,3304,650,153,31,293,163,10,false,57,18980,279538,75511,717,481,4294,4626,44803,30971,9782,1274,11197,25870,6287,640,78,3927,95,7945,1126,2223,4662,34278,76,8675,12618,3085,1356,304,296,1877,89,1368,13,229,4001,7639992,7454094,5324615,1629545,37099,228242,5378,229215,185898,22602,163296,168277,66144,29554,30033,10742,31804,16467,1154
40,NC,37,,,,,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,3110705,1734580,1030739,12000,133993,2690,111960,84743,10765,73978,1804038,1079900,34354,156871,5708,123683,12000,8670,227,false,81,10,115,1993,false,136,50,69,4,55,0,36,12,28,64,20,96,3,2891,0,640,309,0,8,false,0,12,0,0,0,0,178,68,0,false,0,0,0,0,1565,439,79,35,0,44,0,false,false,26,2511,275,133993,37665,502,122,3173,2049,22763,10071,2763,749,2472,11604,3415,347,10,2409,7,4437,374,1162,1621,22266,15,1611,2386,2690,776,357,6,43,598,0,574,1,185,150,0,36159,26956,555,false,1409,104,115,10977,20,352,91,384,4,179,21,253,82,79,126,20,996,67,5076,0,1074,619,26,8,43,17,24,18,8,61,0,493,381,23,0,0,0,22,17,3212,1793,158,35,3,109,11,0,false,46,7206,160312,40996,531,387,3287,2710,26076,15762,2846,978,5172,14777,4043,360,70,2589,50,5013,425,1344,2776,24832,43,5245,5768,1351,767,6,169,962,0,574,5,185,1749,3110705,3025962,1734580,1030739,12000,133993,2690,111960,84743,10765,73978,76236,30176,9720,15114,5443,15783,8051,456
40,NC,37,,,,,040C2US37,North Carolina -- In metropolitan statistical area -- not in principal city,4529287,3590035,598806,25099,94249,2688,117255,101155,11837,89318,3677699,651186,57185,116643,6712,130957,25099,19341,243,false,386,119,105,3667,false,34,367,123,4,117,16,102,0,75,0,4,205,23,9436,8,881,266,0,31,false,23,12,44,0,120,79,295,174,78,false,0,0,23,0,2281,656,356,99,16,89,152,false,false,0,4383,363,94249,32269,167,0,993,1705,15589,8064,6736,180,2592,7388,1863,233,8,1331,34,2593,508,609,1277,7776,11,1154,1169,2688,772,183,235,0,464,89,657,8,0,258,22,59401,45613,713,false,1912,142,185,16933,57,215,632,876,85,191,99,407,0,268,0,4,933,39,12840,92,1580,376,37,31,20,23,148,154,0,233,226,539,468,94,19,176,13,28,19,4806,1511,492,118,28,184,152,10,false,11,11774,119226,34515,186,94,1007,1916,18727,15209,6936,296,6025,11093,2244,280,8,1338,45,2932,701,879,1886,9446,33,3430,6850,1734,589,298,127,915,89,794,8,44,2252,4529287,4428132,3590035,598806,25099,94249,2688,117255,101155,11837,89318,92041,35968,19834,14919,5299,16021,8416,698
40,NC,37,,,,,040E0US37,North Carolina -- In micropolitan statistical area,1566216,1082676,327216,67441,13065,644,40332,34842,4381,30461,1111418,346925,81226,17482,1882,45182,67441,58641,34,false,135,0,6,5371,false,0,56,82,0,20,0,212,0,3,46,3,1374,0,48239,0,116,100,117,7,false,0,55,57,16,16,17,106,29,27,false,12,0,0,35,2350,1264,83,0,0,40,43,false,false,26,7012,415,13065,2429,0,0,142,32,1942,2370,1091,56,633,766,493,0,4,29,8,301,0,97,349,1819,0,245,259,644,196,98,58,0,246,18,0,5,0,23,0,82052,70104,315,false,892,0,6,10574,24,37,109,201,0,20,48,212,23,17,120,8,1793,0,51184,0,183,132,140,7,0,0,55,57,16,71,17,148,103,30,0,53,0,0,35,3474,1901,119,22,0,54,43,0,false,26,9902,18026,2973,9,0,142,32,2556,3936,1118,145,1478,1152,600,30,4,29,8,361,0,114,494,2129,0,716,1982,524,447,58,0,427,18,0,17,0,491,1566216,1531374,1082676,327216,67441,13065,644,40332,34842,4381,30461,32006,12492,7253,2732,3776,5753,2630,206
40,NC,37,,,,,040E1US37,North Carolina -- In micropolitan statistical area -- in principal city,365515,214176,121080,4924,4136,362,12541,8296,1161,7135,220735,126204,7958,5209,691,14023,4924,4173,8,false,13,0,6,403,false,0,0,0,0,0,0,0,0,0,0,0,76,0,3445,0,6,0,12,0,false,0,0,0,0,0,0,0,0,27,false,0,0,0,0,177,75,0,0,0,0,0,false,false,26,622,28,4136,816,0,0,0,0,916,672,210,4,63,254,15,0,0,0,0,186,0,59,25,820,0,87,9,362,90,97,58,0,112,5,0,0,0,0,0,8060,6277,9,false,139,0,6,1203,0,0,5,44,0,0,24,0,0,0,0,0,249,0,3925,0,24,26,12,0,0,0,0,0,0,0,0,8,0,27,0,0,0,0,0,576,263,0,0,0,0,0,0,false,26,1494,5248,966,9,0,0,0,1018,942,210,4,181,393,21,30,0,0,0,186,0,59,61,931,0,237,703,121,174,58,0,173,5,0,0,0,172,365515,357219,214176,121080,4924,4136,362,12541,8296,1161,7135,7338,3055,1083,574,1119,1507,907,51
40,NC,37,,,,,040E2US37,North Carolina -- In micropolitan statistical area -- not in principal city,1200701,868500,206136,62517,8929,282,27791,26546,3220,23326,890683,220721,73268,12273,1191,31159,62517,54468,26,false,122,0,0,4968,false,0,56,82,0,20,0,212,0,3,46,3,1298,0,44794,0,110,100,105,7,false,0,55,57,16,16,17,106,29,0,false,12,0,0,35,2173,1189,83,0,0,40,43,false,false,0,6390,387,8929,1613,0,0,142,32,1026,1698,881,52,570,512,478,0,4,29,8,115,0,38,324,999,0,158,250,282,106,1,0,0,134,13,0,5,0,23,0,73992,63827,306,false,753,0,0,9371,24,37,104,157,0,20,24,212,23,17,120,8,1544,0,47259,0,159,106,128,7,0,0,55,57,16,71,17,140,103,3,0,53,0,0,35,2898,1638,119,22,0,54,43,0,false,0,8408,12778,2007,0,0,142,32,1538,2994,908,141,1297,759,579,0,4,29,8,175,0,55,433,1198,0,479,1279,403,273,0,0,254,13,0,17,0,319,1200701,1174155,868500,206136,62517,8929,282,27791,26546,3220,23326,24668,9437,6170,2158,2657,4246,1723,155
40,NC,37,,,,,040G0US37,North Carolina -- Not in metropolitan or micropolitan statistical area,639125,432540,158577,11603,2769,222,22763,10651,1226,9425,441408,163941,17444,3539,494,23998,11603,10035,44,false,6,0,3,5104,false,0,113,23,16,0,6,45,0,0,0,0,65,0,1043,0,157,0,0,0,false,0,33,8,0,43,0,33,0,0,false,0,52,0,0,3241,373,18,0,4,14,0,false,false,0,1034,143,2769,264,0,0,22,30,432,307,415,0,202,193,230,0,3,0,0,220,0,0,71,262,0,58,60,222,89,89,0,0,40,0,4,0,0,0,0,17767,15046,92,false,380,2,6,7776,0,0,250,60,16,21,20,71,0,7,0,7,105,0,1395,0,180,16,0,38,0,0,40,54,0,122,10,80,14,0,0,0,65,0,0,4219,500,18,0,4,14,0,0,false,2,2201,3614,368,0,0,22,30,520,593,415,16,239,258,247,0,3,0,25,224,0,0,144,298,0,212,500,208,89,0,12,135,0,6,0,0,50,639125,628474,432540,158577,11603,2769,222,22763,10651,1226,9425,9615,2846,3550,494,1120,1605,1030,6
40,NC,37,,,,,040H0US37,North Carolina -- Not in metropolitan statistical area,2205341,1515216,485793,79044,15834,866,63095,45493,5607,39886,1552826,510866,98670,21021,2376,69180,79044,68676,78,false,141,0,9,10475,false,0,169,105,16,20,6,257,0,3,46,3,1439,0,49282,0,273,100,117,7,false,0,88,65,16,59,17,139,29,27,false,12,52,0,35,5591,1637,101,0,4,54,43,false,false,26,8046,558,15834,2693,0,0,164,62,2374,2677,1506,56,835,959,723,0,7,29,8,521,0,97,420,2081,0,303,319,866,285,187,58,0,286,18,4,5,0,23,0,99819,85150,407,false,1272,2,12,18350,24,37,359,261,16,41,68,283,23,24,120,15,1898,0,52579,0,363,148,140,45,0,0,95,111,16,193,27,228,117,30,0,53,65,0,35,7693,2401,137,22,4,68,43,0,false,28,12103,21640,3341,9,0,164,62,3076,4529,1533,161,1717,1410,847,30,7,29,33,585,0,114,638,2427,0,928,2482,732,536,58,12,562,18,6,17,0,541,2205341,2159848,1515216,485793,79044,15834,866,63095,45493,5607,39886,41621,15338,10803,3226,4896,7358,3660,212
50,NC,37,1,,,,05000US37001,"Alamance County, North Carolina",155258,109891,28452,590,2291,79,9549,4406,811,3595,113764,31104,2001,2679,87,10395,590,514,0,false,0,0,0,114,false,0,0,0,0,0,0,10,0,0,0,0,0,0,51,0,205,0,0,0,false,0,8,2,0,0,0,0,0,0,false,0,0,0,0,124,25,0,0,0,0,0,false,false,0,45,6,2291,330,0,0,0,9,719,141,150,0,70,134,169,0,0,0,0,186,0,6,102,275,0,0,0,79,74,0,3,0,0,0,2,0,0,0,0,2061,1609,8,false,93,0,0,760,0,0,0,0,0,0,32,42,0,0,0,0,0,0,117,0,255,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,286,63,0,0,0,0,0,0,false,0,389,2679,330,0,0,0,9,764,199,150,0,125,145,279,0,0,0,0,189,0,12,102,276,0,99,87,82,0,3,0,0,0,2,0,0,0,155258,150852,109891,28452,590,2291,79,9549,4406,811,3595,4040,1807,705,317,362,849,366,0
50,NC,37,3,,,,05000US37003,"Alexander County, North Carolina",37158,33210,2078,100,377,20,816,557,13,544,33759,2329,359,417,52,845,100,85,0,false,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,false,0,0,0,0,77,0,0,0,0,false,0,0,0,0,0,0,8,8,0,0,0,false,false,0,7,0,377,10,0,0,0,7,0,6,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,376,185,0,false,9,0,0,75,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,0,0,false,0,183,417,10,0,0,0,7,0,39,354,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,52,37158,36601,33210,2078,100,377,20,816,557,13,544,511,227,221,10,8,45,46,0
50,NC,37,5,,,,05000US37005,"Alleghany County, North Carolina",10911,9911,237,151,22,0,497,93,0,93,10000,305,174,53,6,497,151,11,4,false,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,140,0,0,0,0,0,false,false,0,0,0,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,11,4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,false,0,23,59,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,6,0,0,0,0,0,0,0,0,6,10911,10818,9911,237,151,22,0,497,93,0,93,74,45,0,25,4,0,13,6
50,NC,37,7,,,,05000US37007,"Anson County, North Carolina",26135,12578,12757,103,306,0,151,240,8,232,12798,12951,181,306,7,159,103,86,0,false,0,0,0,9,false,0,0,0,0,0,0,0,0,0,0,0,15,0,31,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,31,0,0,0,0,0,0,false,false,0,14,3,306,1,0,0,0,0,0,13,214,0,0,0,0,0,0,0,0,63,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,188,133,0,false,30,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,false,0,55,306,1,0,0,0,0,0,13,214,0,0,0,0,0,0,0,0,63,0,0,0,12,0,3,7,7,0,0,0,0,0,0,0,0,0,26135,25895,12578,12757,103,306,0,151,240,8,232,213,147,31,0,20,15,27,0
50,NC,37,9,,,,05000US37009,"Ashe County, North Carolina",27114,25537,186,98,84,13,867,329,67,262,25839,288,195,160,27,934,98,42,0,false,6,0,0,5,false,0,0,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,29,14,0,0,14,0,false,false,0,13,0,84,19,0,0,18,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,13,0,0,0,0,0,0,0,0,0,0,195,120,6,false,6,0,0,61,0,0,0,0,0,0,0,14,0,1,0,0,0,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,0,0,14,0,0,false,0,31,160,19,0,0,18,8,0,49,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,41,27,13,0,0,0,0,0,0,0,0,14,27114,26785,25537,186,98,84,13,867,329,67,262,329,94,97,57,0,81,0,0
50,NC,37,11,,,,05000US37011,"Avery County, North Carolina",17695,15807,738,80,86,0,389,595,7,588,16362,941,531,114,10,396,80,72,8,false,0,0,0,14,false,0,20,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,23,7,0,0,0,0,0,false,false,0,1,0,86,12,0,0,0,0,27,13,0,0,2,1,0,0,0,0,0,0,0,0,1,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,531,398,8,false,0,0,0,283,0,0,20,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,44,7,0,0,0,0,0,0,false,0,126,114,12,0,0,0,0,27,13,0,0,2,1,0,0,0,0,0,0,0,0,17,23,0,19,10,0,0,0,0,0,0,0,0,0,10,17695,17100,15807,738,80,86,0,389,595,7,588,531,109,382,0,5,35,64,0
50,NC,37,13,,,,05000US37013,"Beaufort County, North Carolina",47561,33324,12574,23,42,53,807,738,126,612,33999,13117,176,101,53,933,23,19,0,false,0,0,0,12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,false,false,0,4,0,42,26,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,27,0,0,0,26,0,0,0,0,0,0,179,109,0,false,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,false,0,44,111,60,0,0,0,0,2,11,0,0,10,10,0,0,0,0,0,0,0,0,0,3,0,15,53,27,0,0,0,26,0,0,0,0,0,47561,46823,33324,12574,23,42,53,807,738,126,612,689,449,59,10,45,126,18,31
50,NC,37,15,,,,05000US37015,"Bertie County, North Carolina",20518,7429,12717,119,93,2,33,125,32,93,7517,12749,177,133,2,65,119,62,0,false,0,0,0,12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,21,0,0,0,0,0,0,false,false,0,57,0,93,0,0,0,0,0,40,19,0,0,0,0,14,0,0,0,0,0,0,0,12,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,181,96,0,false,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,false,0,85,133,0,0,0,0,0,40,19,0,0,0,0,14,0,0,0,0,0,0,0,43,8,0,9,2,0,2,0,0,0,0,0,0,0,0,20518,20393,7429,12717,119,93,2,33,125,32,93,125,4,21,31,28,41,0,0
50,NC,37,17,,,,05000US37017,"Bladen County, North Carolina",34720,20102,12228,816,15,0,1062,497,191,306,20470,12447,1026,29,7,1253,816,636,0,false,0,0,0,48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,15,0,0,0,false,0,0,0,0,19,0,0,0,0,false,0,0,0,0,222,6,0,0,0,0,0,false,false,0,112,62,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,939,0,false,58,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,15,0,0,0,0,0,0,0,0,77,0,8,0,0,0,0,0,0,0,296,6,0,0,0,0,0,0,false,0,150,29,3,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,11,0,0,7,7,0,0,0,0,0,0,0,0,0,34720,34223,20102,12228,816,15,0,1062,497,191,306,482,78,148,11,44,201,15,0
50,NC,37,19,,,,05000US37019,"Brunswick County, North Carolina",115926,96724,12524,449,741,504,2593,2391,111,2280,98798,13540,1868,1133,507,2704,449,285,0,false,0,0,0,61,false,5,0,0,0,0,0,0,0,0,0,0,3,0,148,0,0,0,0,0,false,0,0,0,0,0,0,0,6,0,false,0,0,0,0,62,0,4,4,0,0,0,false,false,0,160,0,741,180,0,0,0,0,206,8,0,0,109,85,26,0,0,0,0,0,0,13,71,31,0,0,12,504,108,0,0,0,21,0,344,0,0,31,0,1922,1415,0,false,67,0,0,590,0,5,18,0,0,0,0,0,0,0,0,0,69,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,108,8,16,4,12,0,0,0,false,6,477,1145,189,0,0,0,0,210,176,0,0,170,147,26,0,0,0,0,0,0,13,71,31,0,112,507,108,3,0,0,21,0,344,0,0,31,115926,113535,96724,12524,449,741,504,2593,2391,111,2280,2158,466,1017,250,278,147,233,0
50,NC,37,21,,,,05000US37021,"Buncombe County, North Carolina",247336,219420,16245,979,2678,51,1496,6467,1040,5427,225266,19199,2751,4072,302,2671,979,894,98,false,0,0,0,247,false,0,52,19,0,0,0,0,0,0,0,20,0,0,286,0,20,0,0,0,false,0,12,0,0,8,39,24,0,0,false,0,0,0,0,69,1,0,0,0,0,0,false,false,0,84,0,2678,456,0,0,5,26,899,585,78,8,72,311,56,0,0,0,0,0,0,10,30,32,0,56,54,51,4,0,0,0,47,0,0,0,0,0,0,2793,2364,98,false,7,0,20,1000,7,0,124,31,81,0,0,0,0,0,0,20,41,0,416,84,33,0,0,0,0,0,12,0,0,8,39,38,0,0,0,0,0,0,0,305,88,0,0,0,0,0,0,false,0,341,4189,489,0,0,5,52,1095,1203,78,9,228,555,98,0,0,0,0,0,0,60,189,68,0,60,302,62,13,0,0,64,0,19,0,0,144,247336,240869,219420,16245,979,2678,51,1496,6467,1040,5427,6059,2343,1207,1089,172,1248,358,50
50,NC,37,23,,,,05000US37023,"Burke County, North Carolina",89548,75947,5309,431,3255,0,2912,1694,84,1610,77569,6616,680,3564,9,3010,431,355,0,false,0,0,0,136,false,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,27,81,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,19,0,0,0,0,0,false,false,0,57,0,3255,95,0,0,0,0,108,161,2274,0,23,14,441,0,0,0,0,7,0,0,11,67,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,680,509,0,false,6,0,0,258,0,0,0,12,0,0,0,0,0,0,0,0,10,0,115,0,27,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,false,0,142,3564,95,0,0,0,0,108,206,2284,0,247,14,458,0,0,0,0,7,0,0,11,67,0,67,9,9,0,0,0,0,0,0,0,0,0,89548,87854,75947,5309,431,3255,0,2912,1694,84,1610,1488,1066,150,129,44,99,206,0
