summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,CO,8,,,,,04000US08,Colorado,5278906,4446095,213787,50008,153467,7695,224374,183480,35786,147694,4608186,268990,111240,209119,17266,263739,50008,32073,3475,379,557,82,105,4430,446,208,978,795,12,120,15,368,58,61,136,false,196,70,145,21,2184,6213,51,28,56,107,389,758,24,27,32,3390,223,496,6,3108,23,191,48,2062,2467,722,42,172,277,149,8,74,17,11940,2789,153467,24383,226,103,1989,2001,29649,13900,3939,1466,11212,22012,2437,224,816,4135,false,1444,132,897,3146,23127,48,2592,3589,7695,2552,1794,329,52,1658,55,504,74,159,224,294,118796,85513,8182,642,2943,225,163,21141,1043,1011,2679,2984,12,1013,140,1092,207,197,384,44,1154,265,203,21,4959,10695,446,227,111,279,837,2248,82,676,228,7183,649,620,75,4640,31,468,51,5263,5320,1477,172,409,426,254,53,163,113,26373,215747,27981,270,116,2100,2543,38420,27588,4311,2366,25185,31703,3123,311,1048,4674,40,2004,199,1335,5382,26474,102,8472,17859,6539,2843,401,326,2784,99,645,198,167,3857,5278906,5095426,4446095,213787,50008,153467,7695,224374,183480,35786,147694,168141,34735,43299,39700,4223,46184,14569,770
40,CO,8,,,,,04001US08,Colorado -- Urban,4562261,3781226,206366,41927,146891,7040,210959,167852,33591,134261,3928752,258638,95738,198608,15607,247890,41927,25901,3240,277,373,73,102,3784,385,167,831,689,12,63,11,324,58,50,136,false,154,70,52,21,2099,4835,31,28,51,107,192,643,24,22,11,3242,186,483,6,1044,17,137,42,1829,2159,510,23,157,187,110,8,25,14,10839,2504,146891,23948,208,103,1959,1889,28202,12951,3878,1363,10019,21040,2340,224,810,4114,false,1417,122,875,3021,22604,48,2364,3392,7040,2224,1743,329,26,1489,55,472,32,158,221,291,102461,72734,7538,524,2442,185,154,18064,925,884,2330,2574,12,903,136,910,169,150,352,44,1057,243,110,21,4629,8697,383,220,106,279,601,2024,58,553,207,6483,592,603,65,2413,25,414,42,4613,4868,1218,131,394,311,215,53,114,97,23544,204886,27302,252,116,2070,2392,36367,25547,4160,2191,22906,30173,2919,311,1042,4653,40,1912,189,1313,5151,25796,102,7982,16197,5797,2734,362,245,2532,99,581,156,166,3525,4562261,4394409,3781226,206366,41927,146891,7040,210959,167852,33591,134261,153468,32587,36839,36832,4101,43109,13679,705
40,CO,8,,,,,04043US08,Colorado -- Rural,716645,664869,7421,8081,6576,655,13415,15628,2195,13433,679434,10352,15502,10511,1659,15849,8081,6172,235,102,184,9,3,646,61,41,147,106,0,57,4,44,0,11,0,false,42,0,93,0,85,1378,20,0,5,0,197,115,0,5,21,148,37,13,0,2064,6,54,6,233,308,212,19,15,90,39,0,49,3,1101,285,6576,435,18,0,30,112,1447,949,61,103,1193,972,97,0,6,21,false,27,10,22,125,523,0,228,197,655,328,51,0,26,169,0,32,42,1,3,3,16335,12779,644,118,501,40,9,3077,118,127,349,410,0,110,4,182,38,47,32,0,97,22,93,0,330,1998,63,7,5,0,236,224,24,123,21,700,57,17,10,2227,6,54,9,650,452,259,41,15,115,39,0,49,16,2829,10861,679,18,0,30,151,2053,2041,151,175,2279,1530,204,0,6,21,0,92,10,22,231,678,0,490,1662,742,109,39,81,252,0,64,42,1,332,716645,701017,664869,7421,8081,6576,655,13415,15628,2195,13433,14673,2148,6460,2868,122,3075,890,65
40,CO,8,,,,,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,4974724,4170870,209502,43472,151480,7222,214791,177387,34581,142806,4327318,263554,101734,205892,16468,252800,43472,26970,2760,370,382,73,105,4143,419,185,838,751,12,109,15,260,58,60,136,false,176,70,139,21,2030,4475,51,28,51,82,359,666,24,27,21,3283,223,455,6,1973,23,177,42,1892,2078,696,27,170,268,149,8,74,11,11324,2393,151480,24253,226,103,1960,1966,29268,13589,3939,1377,10898,21701,2437,193,810,4114,false,1444,132,890,3113,22950,48,2560,3509,7222,2229,1790,239,52,1605,55,504,74,159,221,294,108788,77322,7228,617,2715,216,142,20125,872,923,2496,2804,12,980,140,934,207,190,356,44,1092,265,197,21,4680,8399,415,225,81,254,804,2094,82,617,189,6991,627,568,68,3267,31,451,42,4861,4836,1451,157,407,417,254,53,163,103,25076,212240,27790,270,116,2071,2508,37824,26896,4311,2256,24539,31184,3085,274,1042,4653,40,2004,199,1328,5278,26257,71,8244,17061,6035,2828,311,326,2716,99,613,198,167,3768,4974724,4797337,4170870,209502,43472,151480,7222,214791,177387,34581,142806,162491,33936,40882,38828,4150,44695,14182,714
40,CO,8,,,,,040C0US08,Colorado -- In metropolitan statistical area,4590896,3825394,203920,37636,148165,6738,199547,169496,32553,136943,3974706,256328,92128,201329,15718,235470,37636,22810,2617,258,359,73,102,3793,385,177,723,628,0,79,4,232,35,60,136,false,153,70,52,21,1988,3405,44,28,51,51,179,527,24,27,19,3106,180,421,6,916,23,177,42,1639,1824,451,27,170,138,39,8,69,11,10287,2253,148165,24002,226,103,1960,1903,28000,13182,3937,1371,10606,21524,2390,193,795,3845,false,1433,132,890,3107,22543,48,2515,3460,6738,1943,1777,239,52,1495,55,475,32,158,221,291,98773,69928,6785,471,2563,216,139,18741,768,847,2253,2418,0,936,95,895,156,159,333,44,1037,255,63,21,4403,7104,391,225,81,223,619,1907,50,617,187,6724,584,534,51,2087,31,433,42,4440,4434,1174,146,407,276,144,53,148,103,23134,207597,27513,270,116,2071,2445,36458,26200,4309,2250,23770,30783,3031,274,1027,4384,34,1961,199,1328,5263,25772,71,8068,16295,5639,2766,311,326,2592,99,553,156,166,3687,4590896,4421400,3825394,203920,37636,148165,6738,199547,169496,32553,136943,154910,32865,37740,37838,4057,42410,13903,683
40,CO,8,,,,,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,2168399,1689911,156028,20407,75032,3607,131327,92087,19884,72203,1768026,188035,49536,102254,8202,153395,20407,12865,1493,190,247,39,93,2032,314,119,466,388,0,19,0,6,35,24,64,false,54,56,5,11,1363,2106,12,28,42,17,97,298,7,6,2,1399,140,284,6,462,17,22,34,868,1119,161,23,41,47,30,0,20,0,4985,1277,75032,9693,132,28,1861,875,14819,6883,822,655,4985,11296,624,132,518,2596,false,628,36,480,1522,12951,18,1698,1780,3607,1045,864,192,26,745,55,393,32,142,79,34,53315,38028,3831,345,1486,126,130,9761,479,544,1298,1394,0,418,30,299,89,96,168,25,573,173,5,11,3113,4008,150,145,72,149,274,1146,33,391,46,2768,389,359,32,1222,17,128,34,2271,2668,574,68,225,91,72,19,99,83,11962,105430,11527,148,28,1935,1097,19469,13891,927,1112,11150,15934,803,213,700,2807,16,834,89,799,2613,14574,29,4735,8428,2765,1542,214,72,1166,87,458,107,142,1875,2168399,2076312,1689911,156028,20407,75032,3607,131327,92087,19884,72203,83535,18296,18023,18505,3122,25589,8147,405
40,CO,8,,,,,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,2422497,2135483,47892,17229,73133,3131,68220,77409,12669,64740,2206680,68293,42592,99075,7516,82075,17229,9945,1124,68,112,34,9,1761,71,58,257,240,0,60,4,226,0,36,72,false,99,14,47,10,625,1299,32,0,9,34,82,229,17,21,17,1707,40,137,0,454,6,155,8,771,705,290,4,129,91,9,8,49,11,5302,976,73133,14309,94,75,99,1028,13181,6299,3115,716,5621,10228,1766,61,277,1249,false,805,96,410,1585,9592,30,817,1680,3131,898,913,47,26,750,0,82,0,16,142,257,45458,31900,2954,126,1077,90,9,8980,289,303,955,1024,0,518,65,596,67,63,165,19,464,82,58,10,1290,3096,241,80,9,74,345,761,17,226,141,3956,195,175,19,865,14,305,8,2169,1766,600,78,182,185,72,34,49,20,11172,102167,15986,122,88,136,1348,16989,12309,3382,1138,12620,14849,2228,61,327,1577,18,1127,110,529,2650,11198,42,3333,7867,2874,1224,97,254,1426,12,95,49,24,1812,2422497,2345088,2135483,47892,17229,73133,3131,68220,77409,12669,64740,71375,14569,19717,19333,935,16821,5756,278
40,CO,8,,,,,040E0US08,Colorado -- In micropolitan statistical area,383828,345476,5582,5836,3315,484,15244,7891,2028,5863,352612,7226,9606,4563,750,17330,5836,4160,143,112,23,0,3,350,34,8,115,123,12,30,11,28,23,0,0,false,23,0,87,0,42,1070,7,0,0,31,180,139,0,0,2,177,43,34,0,1057,0,0,0,253,254,245,0,0,130,110,0,5,0,1037,140,3315,251,0,0,0,63,1268,407,2,6,292,177,47,0,15,269,false,11,0,0,6,407,0,45,49,484,286,13,0,0,110,0,29,42,1,0,3,10015,7394,443,146,152,0,3,1384,104,76,243,386,12,44,45,39,51,31,23,0,55,10,134,0,277,1295,24,0,0,31,185,187,32,0,2,267,43,34,17,1180,0,18,0,421,402,277,11,0,141,110,0,15,0,1942,4643,277,0,0,0,63,1366,696,2,6,769,401,54,0,15,269,6,43,0,0,15,485,0,176,766,396,62,0,0,124,0,60,42,1,81,383828,375937,345476,5582,5836,3315,484,15244,7891,2028,5863,7581,1071,3142,990,93,2285,279,31
40,CO,8,,,,,040E1US08,Colorado -- In micropolitan statistical area -- in principal city,123648,111009,1654,2053,1545,168,4648,2571,783,1788,113354,2105,3452,1819,211,5433,2053,1296,53,0,18,0,0,29,4,0,8,102,0,7,11,0,0,0,0,false,21,0,0,0,4,640,0,0,0,0,11,53,0,0,0,64,0,24,0,64,0,0,0,183,85,177,0,0,101,71,0,5,0,438,57,1545,63,0,0,0,57,796,83,2,0,34,96,3,0,0,269,false,0,0,0,5,100,0,19,18,168,51,8,0,0,109,0,0,0,0,0,0,3644,2640,117,34,114,0,0,508,43,49,18,275,0,7,32,0,0,0,23,0,49,0,47,0,18,720,4,0,0,0,11,74,0,0,0,91,0,24,7,121,0,0,0,254,133,198,11,0,101,71,0,15,0,673,1868,86,0,0,0,57,821,108,2,0,72,240,3,0,0,269,0,0,0,0,14,114,0,82,224,64,20,0,0,109,0,0,0,0,31,123648,121077,111009,1654,2053,1545,168,4648,2571,783,1788,2444,258,1116,202,45,823,112,15
40,CO,8,,,,,040E2US08,Colorado -- In micropolitan statistical area -- not in principal city,260180,234467,3928,3783,1770,316,10596,5320,1245,4075,239258,5121,6154,2744,539,11897,3783,2864,90,112,5,0,3,321,30,8,107,21,12,23,0,28,23,0,0,false,2,0,87,0,38,430,7,0,0,31,169,86,0,0,2,113,43,10,0,993,0,0,0,70,169,68,0,0,29,39,0,0,0,599,83,1770,188,0,0,0,6,472,324,0,6,258,81,44,0,15,0,false,11,0,0,1,307,0,26,31,316,235,5,0,0,1,0,29,42,1,0,3,6371,4754,326,112,38,0,3,876,61,27,225,111,12,37,13,39,51,31,0,0,6,10,87,0,259,575,20,0,0,31,174,113,32,0,2,176,43,10,10,1059,0,18,0,167,269,79,0,0,40,39,0,0,0,1269,2775,191,0,0,0,6,545,588,0,6,697,161,51,0,15,0,6,43,0,0,1,371,0,94,542,332,42,0,0,15,0,60,42,1,50,260180,254860,234467,3928,3783,1770,316,10596,5320,1245,4075,5137,813,2026,788,48,1462,167,16
40,CO,8,,,,,040G0US08,Colorado -- Not in metropolitan or micropolitan statistical area,304182,275225,4285,6536,1987,473,9583,6093,1205,4888,280868,5436,9506,3227,798,10939,6536,5103,715,9,175,9,0,287,27,23,140,44,0,11,0,108,0,1,0,false,20,0,6,0,154,1738,0,0,5,25,30,92,0,0,11,107,0,41,0,1135,0,14,6,170,389,26,15,2,9,0,0,0,6,616,396,1987,130,0,0,29,35,381,311,0,89,314,311,0,31,6,21,false,0,0,7,33,177,0,32,80,473,323,4,90,0,53,0,0,0,0,3,0,10008,8191,954,25,228,9,21,1016,171,88,183,180,0,33,0,158,0,7,28,0,62,0,6,0,279,2296,31,2,30,25,33,154,0,59,39,192,22,52,7,1373,0,17,9,402,484,26,15,2,9,0,0,0,10,1297,3507,191,0,0,29,35,596,692,0,110,646,519,38,37,6,21,0,0,0,7,104,217,31,228,798,504,15,90,0,68,0,32,0,0,89,304182,298089,275225,4285,6536,1987,473,9583,6093,1205,4888,5650,799,2417,872,73,1489,387,56
40,CO,8,,,,,040H0US08,Colorado -- Not in metropolitan statistical area,688010,620701,9867,12372,5302,957,24827,13984,3233,10751,633480,12662,19112,7790,1548,28269,12372,9263,858,121,198,9,3,637,61,31,255,167,12,41,11,136,23,1,0,false,43,0,93,0,196,2808,7,0,5,56,210,231,0,0,13,284,43,75,0,2192,0,14,6,423,643,271,15,2,139,110,0,5,6,1653,536,5302,381,0,0,29,98,1649,718,2,95,606,488,47,31,21,290,false,11,0,7,39,584,0,77,129,957,609,17,90,0,163,0,29,42,1,3,3,20023,15585,1397,171,380,9,24,2400,275,164,426,566,12,77,45,197,51,38,51,0,117,10,140,0,556,3591,55,2,30,56,218,341,32,59,41,459,65,86,24,2553,0,35,9,823,886,303,26,2,150,110,0,15,10,3239,8150,468,0,0,29,98,1962,1388,2,116,1415,920,92,37,21,290,6,43,0,7,119,702,31,404,1564,900,77,90,0,192,0,92,42,1,170,688010,674026,620701,9867,12372,5302,957,24827,13984,3233,10751,13231,1870,5559,1862,166,3774,666,87
50,CO,8,1,,,,05000US08001,"Adams County, Colorado",471206,390252,15264,5229,17932,608,25669,16252,3823,12429,405073,19054,11324,22221,1329,29733,5229,2896,323,73,56,0,54,489,9,6,52,72,0,0,0,0,0,23,27,false,14,14,0,0,432,288,7,0,0,0,11,89,12,0,0,315,0,41,0,67,17,60,0,345,239,35,0,0,26,9,0,0,0,1883,176,17932,1403,0,28,594,477,2227,1283,2266,62,1415,944,1196,0,22,441,false,210,0,46,621,3998,0,291,408,608,75,164,15,0,88,0,40,0,16,0,210,12127,7802,1162,93,382,10,54,1627,76,22,174,154,0,232,0,0,22,23,27,0,77,14,0,0,761,812,58,29,0,0,11,279,12,12,0,750,107,41,0,211,17,112,0,441,656,90,0,0,26,64,0,0,0,3579,22786,1790,0,41,631,659,2674,1972,2326,80,2750,1635,1256,0,22,441,0,263,0,103,790,4443,0,910,1539,465,164,61,20,283,0,68,0,16,462,471206,454954,390252,15264,5229,17932,608,25669,16252,3823,12429,15021,2510,4639,3103,122,4647,1186,45
50,CO,8,3,,,,05000US08003,"Alamosa County, Colorado",16269,14159,303,327,289,18,747,426,87,339,14550,365,569,371,23,844,327,303,42,0,0,0,0,0,0,0,132,12,0,0,0,0,0,0,0,false,0,0,0,0,89,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,18,6,289,74,0,0,8,0,76,0,0,72,14,5,0,0,0,0,false,0,0,0,8,0,0,32,0,18,10,0,0,0,8,0,0,0,0,0,0,582,477,58,0,5,0,0,20,0,0,132,27,0,16,0,0,0,0,0,0,0,0,0,0,133,22,0,0,17,0,0,35,0,0,0,0,0,0,0,6,0,0,0,6,23,0,0,0,0,0,0,0,0,82,371,74,0,0,8,0,76,10,0,72,55,5,0,0,0,0,0,0,0,0,13,0,0,58,23,10,0,0,0,8,0,0,0,0,5,16269,15843,14159,303,327,289,18,747,426,87,339,399,47,206,54,5,87,27,0
50,CO,8,5,,,,05000US08005,"Arapahoe County, Colorado",608310,444490,62294,3432,32686,1260,35387,28761,6957,21804,468771,73804,10772,40692,2323,43293,3432,2365,238,10,8,39,20,224,26,0,90,79,0,0,0,0,0,11,0,false,27,0,0,0,430,284,15,16,0,10,27,39,7,0,14,283,102,114,0,82,0,14,0,156,70,4,0,0,4,0,0,0,0,657,336,32686,6300,63,75,627,393,4285,2249,57,843,1753,7441,295,66,332,795,false,770,14,216,498,4569,14,602,429,1260,454,278,0,0,210,55,76,0,102,85,0,11881,9513,718,75,384,39,46,2630,62,66,321,350,0,65,15,146,19,11,0,0,338,33,0,0,886,777,71,34,0,36,55,113,7,26,63,859,155,130,0,343,8,14,0,618,273,34,0,0,26,8,0,0,0,2061,41488,6972,63,75,627,511,5343,4402,75,1039,3283,8387,323,117,332,1066,18,961,14,224,897,5014,14,1731,2340,719,434,0,0,409,87,96,45,110,440,608310,579549,444490,62294,3432,32686,1260,35387,28761,6957,21804,26257,7345,3925,5560,1032,8395,2437,67
50,CO,8,7,,,,05000US08007,"Archuleta County, Colorado",12174,10636,110,280,91,0,919,138,36,102,10762,125,344,144,0,955,280,278,32,0,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,false,0,0,6,0,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,4,0,0,21,0,2,13,0,0,51,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,358,44,0,0,0,6,24,0,0,0,30,0,0,0,11,0,0,0,0,0,0,6,0,0,35,14,2,0,0,2,0,0,12,0,2,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,4,0,0,21,0,2,31,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12174,12036,10636,110,280,91,0,919,138,36,102,126,3,46,41,0,36,6,6
50,CO,8,9,,,,05000US08009,"Baca County, Colorado",3701,3544,44,46,3,3,11,50,4,46,3594,52,84,3,3,15,46,34,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,false,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,96,91,7,0,0,0,0,44,0,0,0,2,0,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3701,3651,3544,44,46,3,3,11,50,4,46,50,8,38,0,0,4,0,0
50,CO,8,11,,,,05000US08011,"Bent County, Colorado",5895,4942,545,172,44,0,91,101,26,75,5043,568,219,49,0,117,172,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,3,0,0,3,0,0,0,0,12,0,44,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,false,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,31,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3,0,0,3,0,0,0,0,24,49,3,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,5895,5794,4942,545,172,44,0,91,101,26,75,101,23,47,5,0,26,0,0
50,CO,8,13,,,,05000US08013,"Boulder County, Colorado",310032,274075,2803,1695,13374,214,8812,9059,1122,7937,282614,4685,4346,17349,701,10045,1695,1042,173,0,11,0,9,230,8,0,19,0,0,0,4,0,0,0,28,false,0,26,0,0,68,226,0,0,0,2,0,0,0,0,0,152,0,25,0,44,0,0,0,17,46,8,0,0,8,0,0,0,0,541,58,13374,2889,56,0,0,147,4200,705,387,56,855,1403,0,76,0,1067,false,66,33,76,294,688,7,110,259,214,24,99,0,0,63,0,0,0,0,28,0,4452,3192,216,0,75,4,9,1047,60,0,186,50,0,48,45,29,0,0,28,0,6,38,0,0,99,507,0,0,0,2,13,11,0,15,32,406,27,25,0,91,0,0,0,123,84,60,0,26,34,0,0,0,0,1116,17818,3242,56,0,0,164,5078,1583,446,124,1812,1935,8,96,73,1136,0,76,56,107,369,825,19,613,706,154,203,0,0,118,0,0,49,0,182,310032,300973,274075,2803,1695,13374,214,8812,9059,1122,7937,8465,1352,2262,3196,43,1612,539,55
50,CO,8,14,,,,05000US08014,"Broomfield County, Colorado",60699,52654,608,226,3644,0,1297,2270,246,2024,54899,1182,963,4548,87,1543,226,91,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,36,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,102,0,3644,870,0,0,0,20,482,216,426,0,181,437,77,4,0,136,false,0,0,0,20,391,0,291,93,0,0,0,0,0,0,0,0,0,0,0,0,990,544,13,0,28,53,0,263,7,0,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,61,0,0,0,49,0,0,0,0,0,0,0,0,55,33,0,33,0,0,0,0,0,358,4661,944,0,0,0,58,646,431,452,0,260,703,86,4,0,136,0,0,0,0,22,425,0,494,87,59,0,0,0,0,0,0,0,0,28,60699,58429,52654,608,226,3644,0,1297,2270,246,2024,2035,364,632,731,23,285,217,18
50,CO,8,15,,,,05000US08015,"Chaffee County, Colorado",18309,17184,367,205,51,0,151,351,70,281,17499,474,415,66,0,253,205,137,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,5,0,0,0,25,0,0,0,0,0,27,0,0,0,21,0,0,0,29,0,0,0,0,0,0,0,0,6,18,44,51,23,0,0,0,0,2,1,0,0,0,0,0,0,0,0,false,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,420,64,0,54,0,0,92,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,0,0,27,0,0,0,21,0,0,0,100,0,0,0,0,0,0,0,0,6,33,66,23,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18309,17958,17184,367,205,51,0,151,351,70,281,304,107,127,0,0,70,47,0
50,CO,8,17,,,,05000US08017,"Cheyenne County, Colorado",2002,1928,6,11,31,0,6,20,7,13,1948,17,13,33,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,31,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,false,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1982,1928,6,11,31,0,6,20,7,13,18,11,0,0,0,7,2,0
50,CO,8,19,,,,05000US08019,"Clear Creek County, Colorado",9136,8589,120,59,58,37,101,172,8,164,8760,136,164,102,37,109,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,58,12,0,0,0,4,29,0,0,0,9,4,0,0,0,0,false,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0,0,165,86,0,0,14,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,70,102,27,0,0,0,4,29,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,0,0,0,9136,8964,8589,120,59,58,37,101,172,8,164,172,15,104,44,1,8,0,0
50,CO,8,21,,,,05000US08021,"Conejos County, Colorado",8249,7561,8,155,14,15,358,138,64,74,7677,33,226,21,15,437,155,135,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,false,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,false,0,0,0,3,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,226,145,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,14,0,0,0,0,0,0,0,0,67,21,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,15,0,0,0,0,15,0,0,0,0,0,8249,8111,7561,8,155,14,15,358,138,64,74,116,9,43,0,0,64,22,0
