summarylevel,state,statefips,countyfips,placefips,cbsacode,congressdistrict,geoid,areaname,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010,b02008_001,b02009_001,b02010_001,b02011_001,b02012_001,b02013_001,b02014_001,b02014_002,b02014_003,b02014_004,b02014_005,b02014_006,b02014_007,b02014_008,b02014_009,b02014_010,b02014_011,b02014_012,b02014_013,b02014_014,b02014_015,b02014_016,b02014_017,b02014_018,b02014_019,b02014_020,b02014_021,b02014_022,b02014_023,b02014_024,b02014_025,b02014_026,b02014_027,b02014_028,b02014_029,b02014_030,b02014_031,b02014_032,b02014_033,b02014_034,b02014_035,b02014_036,b02014_037,b02014_038,b02014_039,b02014_040,b02014_041,b02014_042,b02014_043,b02014_044,b02014_045,b02014_046,b02014_047,b02014_048,b02014_049,b02014_050,b02014_051,b02014_052,b02014_053,b02014_054,b02014_055,b02015_001,b02015_002,b02015_003,b02015_004,b02015_005,b02015_006,b02015_007,b02015_008,b02015_009,b02015_010,b02015_011,b02015_012,b02015_013,b02015_014,b02015_015,b02015_016,b02015_017,b02015_018,b02015_019,b02015_020,b02015_021,b02015_022,b02015_023,b02015_024,b02015_025,b02016_001,b02016_002,b02016_003,b02016_004,b02016_005,b02016_006,b02016_007,b02016_008,b02016_009,b02016_010,b02016_011,b02016_012,b02017_001,b02017_002,b02017_003,b02017_004,b02017_005,b02017_006,b02017_007,b02017_008,b02017_009,b02017_010,b02017_011,b02017_012,b02017_013,b02017_014,b02017_015,b02017_016,b02017_017,b02017_018,b02017_019,b02017_020,b02017_021,b02017_022,b02017_023,b02017_024,b02017_025,b02017_026,b02017_027,b02017_028,b02017_029,b02017_030,b02017_031,b02017_032,b02017_033,b02017_034,b02017_035,b02017_036,b02017_037,b02017_038,b02017_039,b02017_040,b02017_041,b02017_042,b02017_043,b02017_044,b02017_045,b02017_046,b02017_047,b02017_048,b02017_049,b02017_050,b02017_051,b02017_052,b02017_053,b02017_054,b02018_001,b02018_002,b02018_003,b02018_004,b02018_005,b02018_006,b02018_007,b02018_008,b02018_009,b02018_010,b02018_011,b02018_012,b02018_013,b02018_014,b02018_015,b02018_016,b02018_017,b02018_018,b02018_019,b02018_020,b02018_021,b02018_022,b02018_023,b02018_024,b02019_001,b02019_002,b02019_003,b02019_004,b02019_005,b02019_006,b02019_007,b02019_008,b02019_009,b02019_010,b02019_011,c02003_001,c02003_002,c02003_003,c02003_004,c02003_005,c02003_006,c02003_007,c02003_008,c02003_009,c02003_010,c02003_011,c02003_012,c02003_013,c02003_014,c02003_015,c02003_016,c02003_017,c02003_018,c02003_019
40,KY,21,,,,,04000US21,Kentucky,4397353,3851591,347034,9063,55483,2197,41149,90836,7466,83370,3935181,400648,32682,70726,4768,50247,9063,6386,171,false,189,17,106,2945,17,30,336,125,11,18,17,56,false,22,33,false,114,false,159,false,486,291,15,46,false,84,133,false,false,10,25,209,111,false,false,false,false,false,11,599,326,63,34,16,11,false,false,2,9,1922,357,55483,13068,163,612,2944,1391,10143,5368,154,200,4327,4594,526,23,42,1403,false,1183,218,277,1199,6071,false,624,953,2197,732,525,false,45,368,12,370,25,false,97,23,34276,24861,783,false,1529,84,125,14632,96,439,644,563,11,82,44,213,62,65,65,15,483,false,214,false,683,561,87,83,6,84,230,29,19,130,76,836,288,false,25,5,false,12,11,1547,1227,122,45,16,28,31,false,2,19,8047,72261,14780,230,612,2967,1513,11561,9152,154,341,7201,7152,757,47,50,1435,22,1427,239,431,1851,7162,false,3177,4890,1870,828,false,239,581,12,456,25,false,879,4397353,4306517,3851591,347034,9063,55483,2197,41149,90836,7466,83370,85169,43194,17614,11347,2225,10789,5320,347
40,KY,21,,,,,04001US21,Kentucky -- Urban,2595903,2118191,317980,6469,50449,1716,32512,68586,5541,63045,2180527,361665,21571,62880,3566,39557,6469,4529,99,false,123,13,78,1850,17,0,236,109,0,18,6,44,false,4,33,false,95,false,70,false,449,273,15,46,false,65,68,false,false,10,25,124,111,false,false,false,false,false,11,537,190,35,19,16,0,false,false,0,9,1457,249,50449,12085,163,612,2934,1363,9086,4599,154,200,3757,4022,477,23,35,1398,false,1016,218,277,994,5571,false,606,859,1716,467,469,false,36,278,12,370,25,false,36,23,22565,16466,546,false,1066,65,97,9088,66,396,430,479,0,18,21,169,23,13,63,0,221,false,118,false,616,511,37,83,6,65,106,29,19,91,76,592,206,false,25,5,false,6,11,1103,790,75,19,16,9,31,false,0,19,5215,64100,13458,230,612,2957,1465,10258,7719,154,330,6012,6034,702,33,43,1430,0,1253,239,431,1457,6458,false,2825,3665,1211,761,false,230,430,12,456,25,false,540,2595903,2527317,2118191,317980,6469,50449,1716,32512,68586,5541,63045,63671,34552,9889,9185,1860,8185,4592,323
40,KY,21,,,,,04043US21,Kentucky -- Rural,1801450,1733400,29054,2594,5034,481,8637,22250,1925,20325,1754654,38983,11111,7846,1202,10690,2594,1857,72,false,66,4,28,1095,0,30,100,16,11,0,11,12,false,18,0,false,19,false,89,false,37,18,0,0,false,19,65,false,false,0,0,85,0,false,false,false,false,false,0,62,136,28,15,0,11,false,false,2,0,465,108,5034,983,0,0,10,28,1057,769,0,0,570,572,49,0,7,5,false,167,0,0,205,500,false,18,94,481,265,56,false,9,90,0,0,0,false,61,0,11711,8395,237,false,463,19,28,5544,30,43,214,84,11,64,23,44,39,52,2,15,262,false,96,false,67,50,50,0,0,19,124,0,0,39,0,244,82,false,0,0,false,6,0,444,437,47,26,0,19,0,false,2,0,2832,8161,1322,0,0,10,48,1303,1433,0,11,1189,1118,55,14,7,5,22,174,0,0,394,704,false,352,1225,659,67,false,9,151,0,0,0,false,339,1801450,1779200,1733400,29054,2594,5034,481,8637,22250,1925,20325,21498,8642,7725,2162,365,2604,728,24
40,KY,21,,,,,040A0US21,Kentucky -- In metropolitan or micropolitan statistical area,3402549,2904878,320907,7592,52900,1683,35845,78744,6039,72705,2976984,369007,26787,66895,3918,43343,7592,5354,124,false,183,9,78,2381,17,20,327,124,0,18,17,49,false,22,33,false,79,false,155,false,474,273,8,46,false,70,128,false,false,10,25,105,111,false,false,false,false,false,11,457,263,48,19,16,11,false,false,2,9,1636,282,52900,12511,163,612,2936,1391,9498,4930,154,196,4018,4411,516,23,36,1398,false,1158,218,277,1129,5856,false,556,913,1683,456,452,false,36,273,12,370,25,false,36,23,28054,20714,606,false,1276,76,97,11926,71,422,635,533,0,56,32,179,42,31,65,15,384,false,210,false,663,543,80,83,6,70,225,18,19,113,76,602,240,false,25,5,false,12,11,1267,981,99,30,16,20,31,false,2,19,6241,68329,14127,230,612,2959,1513,10801,8384,154,323,6648,6630,747,47,44,1430,22,1390,239,431,1773,6868,false,2957,4032,1405,751,false,230,450,12,456,25,false,703,3402549,3323805,2904878,320907,7592,52900,1683,35845,78744,6039,72705,73499,38482,13720,10307,1969,9021,4898,347
40,KY,21,,,,,040C0US21,Kentucky -- In metropolitan statistical area,2558548,2125687,283336,5489,47332,1435,31463,63806,4870,58936,2183615,323557,19893,59576,3162,37625,5489,3966,112,false,132,0,78,1526,17,0,263,112,0,18,6,44,false,0,33,false,66,false,41,false,454,217,8,19,false,5,128,false,false,10,25,98,111,false,false,false,false,false,11,432,105,19,19,0,0,false,false,0,9,1165,225,47332,11157,145,612,2925,1229,8206,4136,154,196,3730,3690,516,15,26,1257,false,1106,218,277,1125,5337,false,385,890,1435,359,374,false,36,209,12,370,25,false,27,23,20781,15433,520,false,1019,54,97,8458,33,236,447,458,0,56,21,146,42,9,65,0,309,false,82,false,619,420,58,56,6,5,225,18,19,108,53,473,227,false,25,5,false,12,11,1041,635,70,30,0,9,31,false,0,19,4624,60924,12614,197,612,2948,1351,9357,7075,154,312,6042,5597,747,39,34,1289,22,1338,239,371,1731,6247,false,2608,3261,1067,616,false,230,352,12,454,25,false,505,2558548,2494742,2125687,283336,5489,47332,1435,31463,63806,4870,58936,59067,31561,9457,8900,1771,7378,4443,296
40,KY,21,,,,,040C1US21,Kentucky -- In metropolitan statistical area -- in principal city,1097502,813589,200989,2061,30310,690,15866,33997,2696,31301,843908,223712,9252,36996,1502,19468,2061,1367,26,false,44,0,6,440,0,0,129,0,0,18,6,21,false,0,0,false,20,false,31,false,312,9,8,5,false,0,58,false,false,0,0,33,6,false,false,false,false,false,0,195,45,19,19,0,0,false,false,0,9,610,11,30310,6793,112,612,2437,805,5591,1992,154,96,1752,2251,418,14,25,1073,false,762,121,190,721,3767,false,235,389,690,97,155,false,0,95,0,298,25,false,20,0,9719,6879,283,false,362,39,6,3879,7,189,192,260,0,18,17,57,0,0,30,0,102,false,57,false,400,165,8,5,6,0,96,18,0,70,28,91,47,false,0,5,false,0,0,442,351,28,19,0,9,0,false,0,19,2442,37523,7395,157,612,2460,892,6208,3436,154,132,2839,3086,619,22,33,1105,0,934,121,234,798,4442,false,1844,1547,518,248,false,0,156,0,382,25,false,218,1097502,1063505,813589,200989,2061,30310,690,15866,33997,2696,31301,30852,16850,3764,4898,1223,4117,2959,186
40,KY,21,,,,,040C2US21,Kentucky -- In metropolitan statistical area -- not in principal city,1461046,1312098,82347,3428,17022,745,15597,29809,2174,27635,1339707,99845,10641,22580,1660,18157,3428,2599,86,false,88,0,72,1086,17,0,134,112,0,0,0,23,false,0,33,false,46,false,10,false,142,208,0,14,false,5,70,false,false,10,25,65,105,false,false,false,false,false,11,237,60,0,0,0,0,false,false,0,0,555,214,17022,4364,33,0,488,424,2615,2144,0,100,1978,1439,98,1,1,184,false,344,97,87,404,1570,false,150,501,745,262,219,false,36,114,12,72,0,false,7,23,11062,8554,237,false,657,15,91,4579,26,47,255,198,0,38,4,89,42,9,35,0,207,false,25,false,219,255,50,51,0,5,129,0,19,38,25,382,180,false,25,0,false,12,11,599,284,42,11,0,0,31,false,0,0,2182,23401,5219,40,0,488,459,3149,3639,0,180,3203,2511,128,17,1,184,22,404,118,137,933,1805,false,764,1714,549,368,false,230,196,12,72,0,false,287,1461046,1431237,1312098,82347,3428,17022,745,15597,29809,2174,27635,28215,14711,5693,4002,548,3261,1484,110
40,KY,21,,,,,040E0US21,Kentucky -- In micropolitan statistical area,844001,779191,37571,2103,5568,248,4382,14938,1169,13769,793369,45450,6894,7319,756,5718,2103,1388,12,false,51,9,0,855,0,20,64,12,0,0,11,5,false,22,0,false,13,false,114,false,20,56,0,27,false,65,0,false,false,0,0,7,0,false,false,false,false,false,0,25,158,29,0,16,11,false,false,2,0,471,57,5568,1354,18,0,11,162,1292,794,0,0,288,721,0,8,10,141,false,52,0,0,4,519,false,171,23,248,97,78,false,0,64,0,0,0,false,9,0,7273,5281,86,false,257,22,0,3468,38,186,188,75,0,0,11,33,0,22,0,15,75,false,128,false,44,123,22,27,0,65,0,0,0,5,23,129,13,false,0,0,false,0,0,226,346,29,0,16,11,0,false,2,0,1617,7405,1513,33,0,11,162,1444,1309,0,11,606,1033,0,8,10,141,0,52,0,60,42,621,false,349,771,338,135,false,0,98,0,2,0,false,198,844001,829063,779191,37571,2103,5568,248,4382,14938,1169,13769,14432,6921,4263,1407,198,1643,455,51
40,KY,21,,,,,040E1US21,Kentucky -- In micropolitan statistical area -- in principal city,247930,208093,26683,948,2760,56,2279,7111,647,6464,214786,31303,2494,3527,210,3074,948,600,0,false,51,0,0,335,0,0,3,3,0,0,0,0,false,0,0,false,0,false,29,false,6,56,0,27,false,65,0,false,false,0,0,0,0,false,false,false,false,false,0,25,95,16,0,16,0,false,false,0,0,237,0,2760,627,0,0,0,26,818,368,0,0,192,213,0,0,10,137,false,0,0,0,0,264,false,105,0,56,48,0,false,0,8,0,0,0,false,0,0,2553,1827,20,false,80,0,0,1206,0,160,25,26,0,0,0,0,0,0,0,0,0,false,43,false,20,98,0,27,0,65,0,0,0,5,23,0,0,false,0,0,false,0,0,29,114,16,0,16,0,0,false,0,0,596,3565,678,0,0,0,26,857,492,0,0,388,387,0,0,10,137,0,0,0,60,18,290,false,222,210,66,50,false,0,29,0,0,0,false,65,247930,240819,208093,26683,948,2760,56,2279,7111,647,6464,6799,4076,1306,577,41,799,271,41
40,KY,21,,,,,040E2US21,Kentucky -- In micropolitan statistical area -- not in principal city,596071,571098,10888,1155,2808,192,2103,7827,522,7305,578583,14147,4400,3792,546,2644,1155,788,12,false,0,9,0,520,0,20,61,9,0,0,11,5,false,22,0,false,13,false,85,false,14,0,0,0,false,0,0,false,false,0,0,7,0,false,false,false,false,false,0,0,63,13,0,0,11,false,false,2,0,234,57,2808,727,18,0,11,136,474,426,0,0,96,508,0,8,0,4,false,52,0,0,4,255,false,66,23,192,49,78,false,0,56,0,0,0,false,9,0,4720,3454,66,false,177,22,0,2262,38,26,163,49,0,0,11,33,0,22,0,15,75,false,85,false,24,25,22,0,0,0,0,0,0,0,0,129,13,false,0,0,false,0,0,197,232,13,0,0,11,0,false,2,0,1021,3840,835,33,0,11,136,587,817,0,11,218,646,0,8,0,4,0,52,0,0,24,331,false,127,561,272,85,false,0,69,0,2,0,false,133,596071,588244,571098,10888,1155,2808,192,2103,7827,522,7305,7633,2845,2957,830,157,844,184,10
40,KY,21,,,,,040G0US21,Kentucky -- Not in metropolitan or micropolitan statistical area,994804,946713,26127,1471,2583,514,5304,12092,1427,10665,958197,31641,5895,3831,850,6904,1471,1032,47,false,6,8,28,564,0,10,9,1,11,0,0,7,false,0,0,false,35,false,4,false,12,18,7,0,false,14,5,false,false,0,0,104,0,false,false,false,false,false,0,142,63,15,15,0,0,false,false,0,0,286,75,2583,557,0,0,8,0,645,438,0,4,309,183,10,0,6,5,false,25,0,0,70,215,false,68,40,514,276,73,false,9,95,0,0,0,false,61,0,6222,4147,177,false,253,8,28,2706,25,17,9,30,11,26,12,34,20,34,0,0,99,false,4,false,20,18,7,0,0,14,5,11,0,17,0,234,48,false,0,0,false,0,0,280,246,23,15,0,8,0,false,0,0,1806,3932,653,0,0,8,0,760,768,0,18,553,522,10,0,6,5,0,37,0,0,78,294,false,220,858,465,77,false,9,131,0,0,0,false,176,994804,982712,946713,26127,1471,2583,514,5304,12092,1427,10665,11670,4712,3894,1040,256,1768,422,0
40,KY,21,,,,,040H0US21,Kentucky -- Not in metropolitan statistical area,1838805,1725904,63698,3574,8151,762,9686,27030,2596,24434,1751566,77091,12789,11150,1606,12622,3574,2420,59,false,57,17,28,1419,0,30,73,13,11,0,11,12,false,22,0,false,48,false,118,false,32,74,7,27,false,79,5,false,false,0,0,111,0,false,false,false,false,false,0,167,221,44,15,16,11,false,false,2,0,757,132,8151,1911,18,0,19,162,1937,1232,0,4,597,904,10,8,16,146,false,77,0,0,74,734,false,239,63,762,373,151,false,9,159,0,0,0,false,70,0,13495,9428,263,false,510,30,28,6174,63,203,197,105,11,26,23,67,20,56,0,15,174,false,132,false,64,141,29,27,0,79,5,11,0,22,23,363,61,false,0,0,false,0,0,506,592,52,15,16,19,0,false,2,0,3423,11337,2166,33,0,19,162,2204,2077,0,29,1159,1555,10,8,16,146,0,89,0,60,120,915,false,569,1629,803,212,false,9,229,0,2,0,false,374,1838805,1811775,1725904,63698,3574,8151,762,9686,27030,2596,24434,26102,11633,8157,2447,454,3411,877,51
50,KY,21,1,,,,05000US21001,"Adair County, Kentucky",18852,17920,528,24,64,0,77,239,15,224,18152,601,109,137,0,92,24,9,0,false,0,0,0,9,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,15,15,0,0,false,false,0,0,0,0,64,0,0,0,0,0,22,24,0,0,12,6,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,116,58,0,false,23,0,0,28,0,0,0,7,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,20,15,15,0,0,0,false,0,0,23,137,0,0,0,0,0,66,24,0,0,12,35,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,false,0,0,0,0,0,false,0,18852,18613,17920,528,24,64,0,77,239,15,224,239,66,85,73,0,15,0,0
50,KY,21,3,,,,05000US21003,"Allen County, Kentucky",20355,19646,276,5,93,0,169,166,0,166,19812,370,77,93,0,169,5,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,5,0,93,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0,false,0,0,0,0,52,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,77,72,0,false,28,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,5,93,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0,0,0,0,0,0,52,false,0,0,0,0,false,0,0,0,0,0,false,0,20355,20189,19646,276,5,93,0,169,166,0,166,166,94,72,0,0,0,0,0
50,KY,21,5,,,,05000US21005,"Anderson County, Kentucky",21761,20807,507,3,124,0,63,257,29,228,21035,660,71,160,0,92,3,3,0,false,0,0,0,3,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,0,0,124,38,0,0,0,0,18,0,0,0,0,68,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,90,73,0,false,19,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,17,0,0,0,0,0,false,0,0,0,160,38,0,0,0,0,18,0,0,0,0,68,0,0,0,0,0,0,0,0,0,36,false,0,0,0,0,false,0,0,0,0,0,false,0,21761,21504,20807,507,3,124,0,63,257,29,228,257,124,68,36,0,29,0,0
50,KY,21,7,,,,05000US21007,"Ballard County, Kentucky",8256,7791,279,50,49,0,4,83,14,69,7874,323,75,49,0,18,50,29,9,false,0,0,0,10,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,10,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,11,0,0,11,false,false,0,0,10,0,49,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,false,0,0,0,2,31,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,75,54,9,false,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,10,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,0,11,0,0,11,0,false,0,0,10,49,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,2,31,false,0,0,0,0,false,0,0,0,0,0,false,0,8256,8173,7791,279,50,49,0,4,83,14,69,83,44,25,0,0,14,0,0
50,KY,21,9,,,,05000US21009,"Barren County, Kentucky",42925,39976,1807,125,229,3,200,585,44,541,40560,2112,279,308,38,251,125,125,0,false,0,0,0,93,0,0,0,0,0,0,0,5,false,0,0,false,0,false,0,false,0,0,0,27,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,0,0,229,16,0,0,10,0,98,57,0,0,0,25,0,0,0,0,false,0,0,0,0,0,false,0,23,3,0,3,false,0,0,0,0,0,false,0,0,279,235,0,false,0,0,0,132,0,0,0,0,0,0,0,33,0,0,0,0,0,false,0,false,0,0,14,27,0,0,0,0,0,0,0,0,13,false,0,0,false,0,0,16,0,0,0,0,0,0,false,0,0,44,346,54,15,0,10,0,106,67,0,0,0,41,0,0,0,0,0,0,0,0,38,0,false,15,53,15,10,false,0,13,0,0,0,false,15,42925,42340,39976,1807,125,229,3,200,585,44,541,547,297,137,48,1,64,38,0
50,KY,21,11,,,,05000US21011,"Bath County, Kentucky",11978,11511,196,11,2,0,121,137,0,137,11648,278,90,31,0,121,11,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,2,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,90,79,0,false,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,69,0,false,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,11,31,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,false,0,0,0,0,false,0,0,0,0,0,false,0,11978,11841,11511,196,11,2,0,121,137,0,137,84,29,26,29,0,0,53,0
50,KY,21,13,,,,05000US21013,"Bell County, Kentucky",27950,26554,897,17,90,0,9,383,10,373,26919,1135,121,134,25,29,17,10,0,false,0,0,0,10,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,7,0,90,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,false,0,0,0,0,50,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,121,81,0,false,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,10,0,0,0,0,0,false,0,0,30,134,0,0,0,0,0,0,59,0,0,0,15,0,0,0,0,0,0,0,0,0,50,false,10,25,0,0,false,0,0,0,0,0,false,25,27950,27567,26554,897,17,90,0,9,383,10,373,373,225,101,19,3,25,0,10
50,KY,21,15,,,,05000US21015,"Boone County, Kentucky",124617,114320,3733,336,2967,0,1128,2133,103,2030,116420,4740,786,3616,0,1231,336,278,0,false,0,0,0,105,0,0,80,0,0,0,0,0,false,0,23,false,0,false,0,false,0,50,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,20,0,0,0,0,0,false,false,0,0,58,0,2967,532,0,0,31,0,409,138,0,31,890,59,0,0,0,0,false,21,31,0,67,387,false,8,363,0,0,0,false,0,0,0,0,0,false,0,0,833,676,0,false,32,0,0,369,0,0,80,0,0,0,0,11,0,0,23,0,0,false,0,false,0,71,0,0,0,0,0,0,0,0,0,13,0,false,0,0,false,0,0,77,29,0,0,0,0,0,false,0,0,128,3979,826,0,0,31,0,530,559,0,31,1063,177,0,0,0,0,0,21,31,0,211,419,false,80,0,0,0,false,0,0,0,0,0,false,0,124617,122484,114320,3733,336,2967,0,1128,2133,103,2030,2090,946,378,634,14,118,43,0
50,KY,21,17,,,,05000US21017,"Bourbon County, Kentucky",20013,18008,1427,16,42,0,380,140,0,140,18148,1541,42,42,0,380,16,12,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,12,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,4,0,42,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,42,38,0,false,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,12,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,4,42,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,false,0,0,0,0,0,false,0,20013,19873,18008,1427,16,42,0,380,140,0,140,140,114,26,0,0,0,0,0
50,KY,21,19,,,,05000US21019,"Boyd County, Kentucky",48917,46346,1334,142,196,0,64,835,50,785,47131,1815,357,349,1,134,142,34,0,false,0,0,0,9,0,0,0,0,0,18,0,0,false,0,0,false,0,false,0,false,7,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,9,15,84,196,94,0,0,0,0,27,65,0,0,0,0,10,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,441,321,84,false,0,0,0,177,0,0,0,0,0,18,0,0,0,6,0,0,9,false,0,false,17,0,0,0,0,0,0,0,0,0,0,0,10,false,0,0,false,0,0,0,0,0,0,0,0,0,false,0,9,111,349,94,0,0,0,0,27,104,0,0,33,64,15,0,0,0,0,2,0,0,0,0,false,10,1,0,0,false,0,0,0,0,0,false,1,48917,48082,46346,1334,142,196,0,64,835,50,785,800,425,170,129,26,50,35,0
50,KY,21,21,,,,05000US21021,"Boyle County, Kentucky",29388,26151,2034,12,238,0,97,856,41,815,26958,2616,222,341,38,138,12,12,0,false,0,0,0,12,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,0,0,238,70,0,0,0,43,87,9,0,0,4,12,0,0,0,0,false,0,0,0,1,0,false,12,0,0,0,0,false,0,0,0,0,0,false,0,0,222,181,0,false,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,5,0,4,0,false,0,0,false,0,0,5,26,0,0,0,0,0,false,0,0,15,341,91,0,0,0,43,111,36,0,0,23,24,0,0,0,0,0,0,0,0,1,0,false,12,38,14,0,false,0,0,0,0,0,false,24,29388,28532,26151,2034,12,238,0,97,856,41,815,787,497,163,48,13,66,69,0
50,KY,21,23,,,,05000US21023,"Bracken County, Kentucky",8425,8335,2,0,0,0,77,11,0,11,8346,10,0,3,3,77,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,false,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,3,3,0,0,false,0,0,0,0,0,false,3,8425,8414,8335,2,0,0,0,77,11,0,11,8,8,0,0,0,0,3,0
50,KY,21,25,,,,05000US21025,"Breathitt County, Kentucky",13591,13272,66,27,59,26,2,139,0,139,13406,179,49,69,26,2,27,20,0,false,0,4,0,6,0,0,0,0,0,0,0,0,false,0,0,false,0,false,0,false,0,0,0,0,false,0,0,false,false,0,0,0,0,false,false,false,false,false,0,10,0,0,0,0,0,false,false,0,0,7,0,59,19,0,0,0,0,0,6,0,0,21,13,0,0,0,0,false,0,0,0,0,0,false,0,0,26,0,26,false,0,0,0,0,0,false,0,0,49,20,0,false,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,false,0,0,10,0,0,0,0,0,0,false,0,0,29,69,25,0,0,0,0,0,6,0,0,25,13,0,0,0,0,0,0,0,0,0,0,false,0,26,0,26,false,0,0,0,0,0,false,0,13591,13452,13272,66,27,59,26,2,139,0,139,138,107,16,10,5,0,1,0
